"","KPoint 1","","KPoint 2","","KPoint 3","","KPoint 4","","KPoint 5","","KPoint 6","","KPoint 7","","KPoint 8","","KPoint 9","","KPoint 10","","KPoint 11","","KPoint 12","","KPoint 13","","KPoint 14","","KPoint 15","","KPoint 16","","KPoint 17","","KPoint 18","","KPoint 19","","KPoint 20","","KPoint 21","","KPoint 22","","KPoint 23","","KPoint 24","","KPoint 25","","KPoint 26","","KPoint 27","","KPoint 28","","KPoint 29","","KPoint 30","","KPoint 31","","KPoint 32","","KPoint 33","","KPoint 34","","KPoint 35","","KPoint 36","","KPoint 37","","KPoint 38","","KPoint 39","","KPoint 40","","KPoint 41","","KPoint 42","","KPoint 43","","KPoint 44","","KPoint 45","","KPoint 46","","KPoint 47","","KPoint 48","","KPoint 49","","KPoint 50","","KPoint 51","","KPoint 52","","KPoint 53","","KPoint 54","","KPoint 55","","KPoint 56","","KPoint 57","","KPoint 58","","KPoint 59","","KPoint 60","","KPoint 61","","KPoint 62","","KPoint 63","","KPoint 64","","KPoint 65","","KPoint 66","","KPoint 67","","KPoint 68",""
"Band","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ"
"1","-22.1486","2.0","-22.1486","2.0","-22.1485","2.0","-22.1484","2.0","-22.1483","2.0","-22.1482","2.0","-22.1481","2.0","-22.1479","2.0","-22.1477","2.0","-22.147599999999997","2.0","-22.147399999999998","2.0","-22.147199999999998","2.0","-22.147","2.0","-22.1468","2.0","-22.1466","2.0","-22.1465","2.0","-22.1463","2.0","-22.146099999999997","2.0","-22.145999999999997","2.0","-22.145899999999997","2.0","-22.145799999999998","2.0","-22.145699999999998","2.0","-22.145699999999998","2.0","-22.145699999999998","2.0","-22.145699999999998","2.0","-22.145699999999998","2.0","-22.145799999999998","2.0","-22.145899999999997","2.0","-22.145999999999997","2.0","-22.146099999999997","2.0","-22.1463","2.0","-22.1464","2.0","-22.1466","2.0","-22.1467","2.0","-22.1469","2.0","-22.147","2.0","-22.1471","2.0","-22.147299999999998","2.0","-22.147399999999998","2.0","-22.147399999999998","2.0","-22.147499999999997","2.0","-22.147499999999997","2.0","-22.147499999999997","2.0","-22.147399999999998","2.0","-22.147399999999998","2.0","-22.147199999999998","2.0","-22.1471","2.0","-22.147","2.0","-22.1469","2.0","-22.1468","2.0","-22.1467","2.0","-22.1466","2.0","-22.1465","2.0","-22.1465","2.0","-22.1464","2.0","-22.1464","2.0","-22.1464","2.0","-22.1464","2.0","-22.1463","2.0","-22.1462","2.0","-22.146099999999997","2.0","-22.145999999999997","2.0","-22.145899999999997","2.0","-22.145899999999997","2.0","-22.145799999999998","2.0","-22.145699999999998","2.0","-22.145699999999998","2.0","-22.145699999999998","2.0"
"2","-18.473699999999997","2.0","-18.473599999999998","2.0","-18.473399999999998","2.0","-18.4729","2.0","-18.472299999999997","2.0","-18.4716","2.0","-18.470699999999997","2.0","-18.4697","2.0","-18.4685","2.0","-18.467299999999998","2.0","-18.466099999999997","2.0","-18.464699999999997","2.0","-18.4634","2.0","-18.4621","2.0","-18.4608","2.0","-18.4595","2.0","-18.458399999999997","2.0","-18.4573","2.0","-18.4564","2.0","-18.4556","2.0","-18.455","2.0","-18.4545","2.0","-18.4542","2.0","-18.4542","2.0","-18.4542","2.0","-18.4545","2.0","-18.4549","2.0","-18.455399999999997","2.0","-18.4561","2.0","-18.456899999999997","2.0","-18.4578","2.0","-18.4587","2.0","-18.459799999999998","2.0","-18.4608","2.0","-18.4619","2.0","-18.462899999999998","2.0","-18.4638","2.0","-18.464599999999997","2.0","-18.4652","2.0","-18.4657","2.0","-18.465999999999998","2.0","-18.466099999999997","2.0","-18.466099999999997","2.0","-18.466099999999997","2.0","-18.465999999999998","2.0","-18.465899999999998","2.0","-18.465799999999998","2.0","-18.465799999999998","2.0","-18.4657","2.0","-18.4656","2.0","-18.4656","2.0","-18.4655","2.0","-18.4655","2.0","-18.4654","2.0","-18.4654","2.0","-18.4653","2.0","-18.4648","2.0","-18.464","2.0","-18.462899999999998","2.0","-18.4617","2.0","-18.4603","2.0","-18.459","2.0","-18.4576","2.0","-18.4565","2.0","-18.455499999999997","2.0","-18.4548","2.0","-18.4543","2.0","-18.4542","2.0"
"3","-18.449099999999998","2.0","-18.448999999999998","2.0","-18.4487","2.0","-18.4483","2.0","-18.447699999999998","2.0","-18.447","2.0","-18.446199999999997","2.0","-18.4452","2.0","-18.4442","2.0","-18.442999999999998","2.0","-18.441799999999997","2.0","-18.4406","2.0","-18.4393","2.0","-18.4381","2.0","-18.436799999999998","2.0","-18.435699999999997","2.0","-18.4346","2.0","-18.4336","2.0","-18.432699999999997","2.0","-18.432","2.0","-18.4314","2.0","-18.430899999999998","2.0","-18.430699999999998","2.0","-18.4306","2.0","-18.430699999999998","2.0","-18.430999999999997","2.0","-18.4316","2.0","-18.432299999999998","2.0","-18.4332","2.0","-18.434199999999997","2.0","-18.435299999999998","2.0","-18.4364","2.0","-18.4376","2.0","-18.438699999999997","2.0","-18.4397","2.0","-18.4407","2.0","-18.441499999999998","2.0","-18.4423","2.0","-18.4428","2.0","-18.443199999999997","2.0","-18.4435","2.0","-18.4436","2.0","-18.4434","2.0","-18.442999999999998","2.0","-18.4422","2.0","-18.4412","2.0","-18.440099999999997","2.0","-18.438799999999997","2.0","-18.4374","2.0","-18.4361","2.0","-18.4349","2.0","-18.433899999999998","2.0","-18.4331","2.0","-18.432599999999997","2.0","-18.432499999999997","2.0","-18.432499999999997","2.0","-18.432399999999998","2.0","-18.432299999999998","2.0","-18.432199999999998","2.0","-18.432","2.0","-18.4318","2.0","-18.4316","2.0","-18.4314","2.0","-18.4312","2.0","-18.430899999999998","2.0","-18.430799999999998","2.0","-18.4306","2.0","-18.4306","2.0"
"4","-18.4011","2.0","-18.4011","2.0","-18.4011","2.0","-18.4012","2.0","-18.4012","2.0","-18.4013","2.0","-18.4013","2.0","-18.4014","2.0","-18.4015","2.0","-18.4016","2.0","-18.401699999999998","2.0","-18.401799999999998","2.0","-18.401899999999998","2.0","-18.401999999999997","2.0","-18.402099999999997","2.0","-18.402199999999997","2.0","-18.4023","2.0","-18.4024","2.0","-18.4024","2.0","-18.4025","2.0","-18.4025","2.0","-18.4026","2.0","-18.4026","2.0","-18.4026","2.0","-18.4026","2.0","-18.4026","2.0","-18.4026","2.0","-18.4025","2.0","-18.4025","2.0","-18.4024","2.0","-18.4024","2.0","-18.4023","2.0","-18.4023","2.0","-18.402199999999997","2.0","-18.402099999999997","2.0","-18.402099999999997","2.0","-18.401999999999997","2.0","-18.401999999999997","2.0","-18.401999999999997","2.0","-18.401899999999998","2.0","-18.401899999999998","2.0","-18.401899999999998","2.0","-18.401899999999998","2.0","-18.401899999999998","2.0","-18.401899999999998","2.0","-18.401899999999998","2.0","-18.401899999999998","2.0","-18.401899999999998","2.0","-18.401899999999998","2.0","-18.401899999999998","2.0","-18.401899999999998","2.0","-18.401899999999998","2.0","-18.401899999999998","2.0","-18.401899999999998","2.0","-18.401899999999998","2.0","-18.401899999999998","2.0","-18.401899999999998","2.0","-18.401999999999997","2.0","-18.402099999999997","2.0","-18.402099999999997","2.0","-18.402199999999997","2.0","-18.4023","2.0","-18.4024","2.0","-18.4025","2.0","-18.4025","2.0","-18.4026","2.0","-18.4026","2.0","-18.4026","2.0"
"5","-18.3831","2.0","-18.3831","2.0","-18.3831","2.0","-18.3831","2.0","-18.3832","2.0","-18.3833","2.0","-18.3833","2.0","-18.383399999999998","2.0","-18.383499999999998","2.0","-18.383599999999998","2.0","-18.383699999999997","2.0","-18.383799999999997","2.0","-18.384","2.0","-18.3841","2.0","-18.3842","2.0","-18.3843","2.0","-18.3844","2.0","-18.3845","2.0","-18.3846","2.0","-18.3846","2.0","-18.3847","2.0","-18.3847","2.0","-18.3847","2.0","-18.3847","2.0","-18.3847","2.0","-18.3847","2.0","-18.3846","2.0","-18.3845","2.0","-18.3844","2.0","-18.3843","2.0","-18.3842","2.0","-18.384","2.0","-18.383899999999997","2.0","-18.383799999999997","2.0","-18.383599999999998","2.0","-18.383499999999998","2.0","-18.383399999999998","2.0","-18.3833","2.0","-18.3832","2.0","-18.3831","2.0","-18.3831","2.0","-18.3831","2.0","-18.3831","2.0","-18.3831","2.0","-18.3832","2.0","-18.3832","2.0","-18.3833","2.0","-18.383399999999998","2.0","-18.383499999999998","2.0","-18.383599999999998","2.0","-18.383699999999997","2.0","-18.383699999999997","2.0","-18.383799999999997","2.0","-18.383799999999997","2.0","-18.383799999999997","2.0","-18.383899999999997","2.0","-18.383899999999997","2.0","-18.384","2.0","-18.384","2.0","-18.3841","2.0","-18.3842","2.0","-18.3843","2.0","-18.3845","2.0","-18.3846","2.0","-18.3846","2.0","-18.3847","2.0","-18.3847","2.0","-18.3847","2.0"
"6","-18.3787","2.0","-18.3787","2.0","-18.3787","2.0","-18.3788","2.0","-18.3788","2.0","-18.378899999999998","2.0","-18.378999999999998","2.0","-18.378999999999998","2.0","-18.379099999999998","2.0","-18.379199999999997","2.0","-18.379299999999997","2.0","-18.3795","2.0","-18.3796","2.0","-18.3797","2.0","-18.3798","2.0","-18.3799","2.0","-18.38","2.0","-18.3801","2.0","-18.3801","2.0","-18.3802","2.0","-18.3803","2.0","-18.3803","2.0","-18.3803","2.0","-18.3803","2.0","-18.3803","2.0","-18.3803","2.0","-18.3803","2.0","-18.3802","2.0","-18.3802","2.0","-18.3801","2.0","-18.3801","2.0","-18.38","2.0","-18.38","2.0","-18.3799","2.0","-18.3798","2.0","-18.3798","2.0","-18.3797","2.0","-18.3797","2.0","-18.3796","2.0","-18.3796","2.0","-18.3796","2.0","-18.3796","2.0","-18.3796","2.0","-18.3796","2.0","-18.3797","2.0","-18.3797","2.0","-18.3798","2.0","-18.3799","2.0","-18.38","2.0","-18.3801","2.0","-18.3802","2.0","-18.3802","2.0","-18.3803","2.0","-18.3803","2.0","-18.3803","2.0","-18.3803","2.0","-18.3803","2.0","-18.3803","2.0","-18.3803","2.0","-18.3803","2.0","-18.3803","2.0","-18.3803","2.0","-18.3803","2.0","-18.3803","2.0","-18.3803","2.0","-18.3803","2.0","-18.3803","2.0","-18.3803","2.0"
"7","-14.6051","2.0","-14.605400000000001","2.0","-14.606200000000001","2.0","-14.6073","2.0","-14.6089","2.0","-14.6106","2.0","-14.612400000000001","2.0","-14.6142","2.0","-14.6158","2.0","-14.6171","2.0","-14.6181","2.0","-14.6187","2.0","-14.619","2.0","-14.6189","2.0","-14.618500000000001","2.0","-14.6179","2.0","-14.617","2.0","-14.616","2.0","-14.615","2.0","-14.614","2.0","-14.6132","2.0","-14.6125","2.0","-14.6121","2.0","-14.612","2.0","-14.612","2.0","-14.612300000000001","2.0","-14.6125","2.0","-14.6128","2.0","-14.613000000000001","2.0","-14.6129","2.0","-14.6127","2.0","-14.612","2.0","-14.611","2.0","-14.6096","2.0","-14.6079","2.0","-14.6061","2.0","-14.6041","2.0","-14.6022","2.0","-14.6006","2.0","-14.599300000000001","2.0","-14.598500000000001","2.0","-14.5982","2.0","-14.598700000000001","2.0","-14.6","2.0","-14.602","2.0","-14.604700000000001","2.0","-14.6079","2.0","-14.6114","2.0","-14.6151","2.0","-14.6186","2.0","-14.6217","2.0","-14.6244","2.0","-14.6264","2.0","-14.627600000000001","2.0","-14.628","2.0","-14.6278","2.0","-14.6272","2.0","-14.626100000000001","2.0","-14.6247","2.0","-14.623000000000001","2.0","-14.6211","2.0","-14.619200000000001","2.0","-14.6173","2.0","-14.6155","2.0","-14.6141","2.0","-14.6129","2.0","-14.6122","2.0","-14.612","2.0"
"8","-13.670200000000001","2.0","-13.6678","2.0","-13.6609","2.0","-13.6495","2.0","-13.6338","2.0","-13.6142","2.0","-13.5911","2.0","-13.5648","2.0","-13.5359","2.0","-13.504900000000001","2.0","-13.4724","2.0","-13.4391","2.0","-13.405700000000001","2.0","-13.373000000000001","2.0","-13.3419","2.0","-13.3134","2.0","-13.288300000000001","2.0","-13.2674","2.0","-13.2512","2.0","-13.2399","2.0","-13.2329","2.0","-13.2291","2.0","-13.227400000000001","2.0","-13.2269","2.0","-13.2277","2.0","-13.23","2.0","-13.234300000000001","2.0","-13.241100000000001","2.0","-13.2509","2.0","-13.263900000000001","2.0","-13.280100000000001","2.0","-13.299000000000001","2.0","-13.3199","2.0","-13.341800000000001","2.0","-13.3636","2.0","-13.384400000000001","2.0","-13.403500000000001","2.0","-13.42","2.0","-13.4334","2.0","-13.443200000000001","2.0","-13.449300000000001","2.0","-13.4513","2.0","-13.4495","2.0","-13.4441","2.0","-13.4353","2.0","-13.4234","2.0","-13.4087","2.0","-13.3918","2.0","-13.3735","2.0","-13.3545","2.0","-13.336","2.0","-13.3194","2.0","-13.306000000000001","2.0","-13.2973","2.0","-13.2943","2.0","-13.2934","2.0","-13.290600000000001","2.0","-13.2863","2.0","-13.2805","2.0","-13.2735","2.0","-13.2658","2.0","-13.2577","2.0","-13.2497","2.0","-13.2423","2.0","-13.2359","2.0","-13.231","2.0","-13.228","2.0","-13.2269","2.0"
"9","-12.8808","2.0","-12.8824","2.0","-12.8873","2.0","-12.8953","2.0","-12.9062","2.0","-12.9197","2.0","-12.9353","2.0","-12.9528","2.0","-12.9716","2.0","-12.9913","2.0","-13.0115","2.0","-13.0317","2.0","-13.0515","2.0","-13.070500000000001","2.0","-13.0882","2.0","-13.1044","2.0","-13.1186","2.0","-13.1305","2.0","-13.139700000000001","2.0","-13.1463","2.0","-13.1503","2.0","-13.1525","2.0","-13.153400000000001","2.0","-13.1537","2.0","-13.1532","2.0","-13.151900000000001","2.0","-13.1498","2.0","-13.1472","2.0","-13.1442","2.0","-13.1411","2.0","-13.138200000000001","2.0","-13.1355","2.0","-13.1334","2.0","-13.1318","2.0","-13.1309","2.0","-13.1305","2.0","-13.130600000000001","2.0","-13.131","2.0","-13.1315","2.0","-13.132","2.0","-13.1324","2.0","-13.1326","2.0","-13.132100000000001","2.0","-13.130700000000001","2.0","-13.1285","2.0","-13.1256","2.0","-13.122200000000001","2.0","-13.118500000000001","2.0","-13.114600000000001","2.0","-13.1109","2.0","-13.1076","2.0","-13.104800000000001","2.0","-13.1026","2.0","-13.1013","2.0","-13.100800000000001","2.0","-13.101600000000001","2.0","-13.103900000000001","2.0","-13.1075","2.0","-13.112300000000001","2.0","-13.118","2.0","-13.1242","2.0","-13.1305","2.0","-13.136700000000001","2.0","-13.1423","2.0","-13.1471","2.0","-13.1507","2.0","-13.1529","2.0","-13.1537","2.0"
