"","KPoint 1","","KPoint 2","","KPoint 3","","KPoint 4","","KPoint 5","","KPoint 6","","KPoint 7","","KPoint 8","","KPoint 9","","KPoint 10","","KPoint 11","","KPoint 12","","KPoint 13","","KPoint 14","","KPoint 15","","KPoint 16","","KPoint 17","","KPoint 18","","KPoint 19","","KPoint 20","","KPoint 21","","KPoint 22","","KPoint 23","","KPoint 24","","KPoint 25","","KPoint 26","","KPoint 27","","KPoint 28","","KPoint 29","","KPoint 30","","KPoint 31","","KPoint 32","","KPoint 33","","KPoint 34","","KPoint 35","","KPoint 36","","KPoint 37","","KPoint 38","","KPoint 39","","KPoint 40","","KPoint 41","","KPoint 42","","KPoint 43","","KPoint 44","","KPoint 45","","KPoint 46","","KPoint 47","","KPoint 48","","KPoint 49","","KPoint 50","","KPoint 51","","KPoint 52","","KPoint 53","","KPoint 54","","KPoint 55","","KPoint 56","","KPoint 57","","KPoint 58","","KPoint 59","","KPoint 60","","KPoint 61","","KPoint 62","","KPoint 63","","KPoint 64","","KPoint 65","","KPoint 66","","KPoint 67","","KPoint 68",""
"Band","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ"
"1","-19.5959","2.0","-19.5959","2.0","-19.595799999999997","2.0","-19.5957","2.0","-19.595599999999997","2.0","-19.5955","2.0","-19.5953","2.0","-19.595100000000002","2.0","-19.594900000000003","2.0","-19.594700000000003","2.0","-19.594499999999996","2.0","-19.594299999999997","2.0","-19.594","2.0","-19.5938","2.0","-19.593600000000002","2.0","-19.593400000000003","2.0","-19.5933","2.0","-19.5931","2.0","-19.5929","2.0","-19.592799999999997","2.0","-19.5927","2.0","-19.592599999999997","2.0","-19.592599999999997","2.0","-19.592599999999997","2.0","-19.592599999999997","2.0","-19.592599999999997","2.0","-19.5927","2.0","-19.592799999999997","2.0","-19.5929","2.0","-19.5931","2.0","-19.593200000000003","2.0","-19.593400000000003","2.0","-19.593600000000002","2.0","-19.5937","2.0","-19.593899999999998","2.0","-19.594099999999997","2.0","-19.5942","2.0","-19.5944","2.0","-19.594499999999996","2.0","-19.5946","2.0","-19.5946","2.0","-19.5946","2.0","-19.5946","2.0","-19.5946","2.0","-19.594499999999996","2.0","-19.594299999999997","2.0","-19.5942","2.0","-19.594","2.0","-19.593899999999998","2.0","-19.5938","2.0","-19.5937","2.0","-19.593600000000002","2.0","-19.5935","2.0","-19.5935","2.0","-19.593400000000003","2.0","-19.593400000000003","2.0","-19.593400000000003","2.0","-19.5933","2.0","-19.5933","2.0","-19.593200000000003","2.0","-19.5931","2.0","-19.593000000000004","2.0","-19.5929","2.0","-19.592799999999997","2.0","-19.5927","2.0","-19.592599999999997","2.0","-19.592599999999997","2.0","-19.592599999999997","2.0"
"2","-16.642","2.0","-16.6419","2.0","-16.6416","2.0","-16.641199999999998","2.0","-16.6405","2.0","-16.639699999999998","2.0","-16.6388","2.0","-16.637700000000002","2.0","-16.636400000000002","2.0","-16.6351","2.0","-16.6338","2.0","-16.6324","2.0","-16.6309","2.0","-16.6295","2.0","-16.6281","2.0","-16.6268","2.0","-16.625500000000002","2.0","-16.6244","2.0","-16.6234","2.0","-16.6226","2.0","-16.6219","2.0","-16.6214","2.0","-16.6211","2.0","-16.621000000000002","2.0","-16.6211","2.0","-16.621299999999998","2.0","-16.6218","2.0","-16.6223","2.0","-16.6231","2.0","-16.6239","2.0","-16.6249","2.0","-16.625999999999998","2.0","-16.6271","2.0","-16.6283","2.0","-16.6294","2.0","-16.630499999999998","2.0","-16.631500000000003","2.0","-16.6324","2.0","-16.633200000000002","2.0","-16.633699999999997","2.0","-16.634","2.0","-16.6342","2.0","-16.6341","2.0","-16.6341","2.0","-16.634","2.0","-16.6339","2.0","-16.6338","2.0","-16.633699999999997","2.0","-16.633499999999998","2.0","-16.633499999999998","2.0","-16.6334","2.0","-16.6333","2.0","-16.6333","2.0","-16.633200000000002","2.0","-16.633200000000002","2.0","-16.633000000000003","2.0","-16.6325","2.0","-16.6316","2.0","-16.630499999999998","2.0","-16.6291","2.0","-16.6277","2.0","-16.6262","2.0","-16.6248","2.0","-16.6235","2.0","-16.6224","2.0","-16.6216","2.0","-16.6211","2.0","-16.621000000000002","2.0"
"3","-16.618499999999997","2.0","-16.6184","2.0","-16.6182","2.0","-16.6177","2.0","-16.6171","2.0","-16.616300000000003","2.0","-16.6154","2.0","-16.6144","2.0","-16.6132","2.0","-16.612000000000002","2.0","-16.6107","2.0","-16.6094","2.0","-16.608","2.0","-16.6067","2.0","-16.6054","2.0","-16.604100000000003","2.0","-16.602899999999998","2.0","-16.6019","2.0","-16.6009","2.0","-16.600099999999998","2.0","-16.5995","2.0","-16.599","2.0","-16.5987","2.0","-16.598599999999998","2.0","-16.5987","2.0","-16.5991","2.0","-16.5997","2.0","-16.6005","2.0","-16.601399999999998","2.0","-16.6025","2.0","-16.6036","2.0","-16.6048","2.0","-16.606","2.0","-16.6072","2.0","-16.6083","2.0","-16.609299999999998","2.0","-16.6102","2.0","-16.611","2.0","-16.6116","2.0","-16.612000000000002","2.0","-16.612299999999998","2.0","-16.6124","2.0","-16.6122","2.0","-16.6117","2.0","-16.6109","2.0","-16.6099","2.0","-16.6087","2.0","-16.607300000000002","2.0","-16.605800000000002","2.0","-16.6045","2.0","-16.6032","2.0","-16.6021","2.0","-16.6012","2.0","-16.6007","2.0","-16.6005","2.0","-16.6005","2.0","-16.6005","2.0","-16.6004","2.0","-16.6003","2.0","-16.600099999999998","2.0","-16.599899999999998","2.0","-16.5997","2.0","-16.5995","2.0","-16.5992","2.0","-16.599","2.0","-16.5988","2.0","-16.5987","2.0","-16.598599999999998","2.0"
"4","-16.5698","2.0","-16.5698","2.0","-16.5698","2.0","-16.5698","2.0","-16.5699","2.0","-16.5699","2.0","-16.57","2.0","-16.5701","2.0","-16.5701","2.0","-16.5702","2.0","-16.5703","2.0","-16.5704","2.0","-16.570500000000003","2.0","-16.5706","2.0","-16.570700000000002","2.0","-16.570700000000002","2.0","-16.5708","2.0","-16.5709","2.0","-16.5709","2.0","-16.570999999999998","2.0","-16.570999999999998","2.0","-16.5711","2.0","-16.5711","2.0","-16.5711","2.0","-16.5711","2.0","-16.5711","2.0","-16.570999999999998","2.0","-16.570999999999998","2.0","-16.570999999999998","2.0","-16.5709","2.0","-16.5709","2.0","-16.5708","2.0","-16.5708","2.0","-16.570700000000002","2.0","-16.570700000000002","2.0","-16.5706","2.0","-16.5706","2.0","-16.5706","2.0","-16.570500000000003","2.0","-16.570500000000003","2.0","-16.570500000000003","2.0","-16.570500000000003","2.0","-16.570500000000003","2.0","-16.570500000000003","2.0","-16.570500000000003","2.0","-16.570500000000003","2.0","-16.570500000000003","2.0","-16.570500000000003","2.0","-16.570500000000003","2.0","-16.570500000000003","2.0","-16.570500000000003","2.0","-16.570500000000003","2.0","-16.570500000000003","2.0","-16.570500000000003","2.0","-16.570500000000003","2.0","-16.570500000000003","2.0","-16.570500000000003","2.0","-16.5706","2.0","-16.5706","2.0","-16.570700000000002","2.0","-16.5708","2.0","-16.5708","2.0","-16.5709","2.0","-16.570999999999998","2.0","-16.570999999999998","2.0","-16.5711","2.0","-16.5711","2.0","-16.5711","2.0"
"5","-16.552500000000002","2.0","-16.552500000000002","2.0","-16.552500000000002","2.0","-16.552599999999998","2.0","-16.552599999999998","2.0","-16.5527","2.0","-16.5527","2.0","-16.552799999999998","2.0","-16.5529","2.0","-16.553","2.0","-16.5531","2.0","-16.5532","2.0","-16.5533","2.0","-16.5534","2.0","-16.5535","2.0","-16.5536","2.0","-16.5537","2.0","-16.553800000000003","2.0","-16.5539","2.0","-16.5539","2.0","-16.554000000000002","2.0","-16.554000000000002","2.0","-16.554000000000002","2.0","-16.554000000000002","2.0","-16.554000000000002","2.0","-16.554000000000002","2.0","-16.5539","2.0","-16.553800000000003","2.0","-16.5537","2.0","-16.5536","2.0","-16.5535","2.0","-16.5534","2.0","-16.5533","2.0","-16.5531","2.0","-16.553","2.0","-16.5529","2.0","-16.552799999999998","2.0","-16.5527","2.0","-16.552599999999998","2.0","-16.552599999999998","2.0","-16.552500000000002","2.0","-16.552500000000002","2.0","-16.552500000000002","2.0","-16.552500000000002","2.0","-16.552599999999998","2.0","-16.552599999999998","2.0","-16.5527","2.0","-16.552799999999998","2.0","-16.5529","2.0","-16.5529","2.0","-16.553","2.0","-16.5531","2.0","-16.5531","2.0","-16.5531","2.0","-16.5532","2.0","-16.5532","2.0","-16.5532","2.0","-16.5533","2.0","-16.5533","2.0","-16.5534","2.0","-16.5535","2.0","-16.5536","2.0","-16.5537","2.0","-16.553800000000003","2.0","-16.5539","2.0","-16.554000000000002","2.0","-16.554000000000002","2.0","-16.554000000000002","2.0"
"6","-16.548299999999998","2.0","-16.548299999999998","2.0","-16.548299999999998","2.0","-16.548299999999998","2.0","-16.5484","2.0","-16.5485","2.0","-16.5485","2.0","-16.5486","2.0","-16.5487","2.0","-16.5488","2.0","-16.5488","2.0","-16.5489","2.0","-16.549","2.0","-16.5491","2.0","-16.5492","2.0","-16.549300000000002","2.0","-16.5494","2.0","-16.549500000000002","2.0","-16.549500000000002","2.0","-16.549599999999998","2.0","-16.549599999999998","2.0","-16.5497","2.0","-16.5497","2.0","-16.5497","2.0","-16.5497","2.0","-16.5497","2.0","-16.5497","2.0","-16.549599999999998","2.0","-16.549599999999998","2.0","-16.549500000000002","2.0","-16.549500000000002","2.0","-16.5494","2.0","-16.5494","2.0","-16.549300000000002","2.0","-16.549300000000002","2.0","-16.5492","2.0","-16.5492","2.0","-16.5492","2.0","-16.5491","2.0","-16.5491","2.0","-16.5491","2.0","-16.5491","2.0","-16.5491","2.0","-16.5491","2.0","-16.5492","2.0","-16.5492","2.0","-16.549300000000002","2.0","-16.5494","2.0","-16.5494","2.0","-16.549500000000002","2.0","-16.549599999999998","2.0","-16.549599999999998","2.0","-16.5497","2.0","-16.5497","2.0","-16.5497","2.0","-16.5497","2.0","-16.5497","2.0","-16.5497","2.0","-16.5497","2.0","-16.5497","2.0","-16.5497","2.0","-16.5497","2.0","-16.5497","2.0","-16.5497","2.0","-16.5497","2.0","-16.5497","2.0","-16.5497","2.0","-16.5497","2.0"
"7","-12.7035","2.0","-12.7041","2.0","-12.7058","2.0","-12.7084","2.0","-12.7114","2.0","-12.7146","2.0","-12.717600000000001","2.0","-12.7201","2.0","-12.7219","2.0","-12.723","2.0","-12.7233","2.0","-12.7229","2.0","-12.7217","2.0","-12.7198","2.0","-12.7175","2.0","-12.7148","2.0","-12.7119","2.0","-12.709","2.0","-12.7061","2.0","-12.7036","2.0","-12.7014","2.0","-12.6998","2.0","-12.6988","2.0","-12.6984","2.0","-12.6987","2.0","-12.6994","2.0","-12.7004","2.0","-12.701600000000001","2.0","-12.7028","2.0","-12.7037","2.0","-12.7042","2.0","-12.704","2.0","-12.7031","2.0","-12.701600000000001","2.0","-12.6994","2.0","-12.6968","2.0","-12.6939","2.0","-12.691","2.0","-12.6884","2.0","-12.6863","2.0","-12.685","2.0","-12.6845","2.0","-12.6852","2.0","-12.6872","2.0","-12.6903","2.0","-12.6945","2.0","-12.6993","2.0","-12.7046","2.0","-12.71","2.0","-12.7152","2.0","-12.7198","2.0","-12.723700000000001","2.0","-12.7266","2.0","-12.7284","2.0","-12.729","2.0","-12.7286","2.0","-12.7274","2.0","-12.7254","2.0","-12.7228","2.0","-12.7196","2.0","-12.7161","2.0","-12.7124","2.0","-12.7088","2.0","-12.7054","2.0","-12.7025","2.0","-12.7003","2.0","-12.6989","2.0","-12.6984","2.0"
"8","-12.3975","2.0","-12.395","2.0","-12.3877","2.0","-12.3759","2.0","-12.3601","2.0","-12.3407","2.0","-12.3185","2.0","-12.2937","2.0","-12.2671","2.0","-12.2391","2.0","-12.2102","2.0","-12.181","2.0","-12.1521","2.0","-12.1242","2.0","-12.098","2.0","-12.0744","2.0","-12.054","2.0","-12.0375","2.0","-12.0251","2.0","-12.0167","2.0","-12.0116","2.0","-12.0089","2.0","-12.0077","2.0","-12.0074","2.0","-12.0081","2.0","-12.0102","2.0","-12.0142","2.0","-12.0204","2.0","-12.0294","2.0","-12.0412","2.0","-12.056","2.0","-12.0732","2.0","-12.0922","2.0","-12.112","2.0","-12.1319","2.0","-12.1509","2.0","-12.1682","2.0","-12.1832","2.0","-12.1954","2.0","-12.2043","2.0","-12.2098","2.0","-12.2117","2.0","-12.2101","2.0","-12.2052","2.0","-12.1973","2.0","-12.1866","2.0","-12.1734","2.0","-12.1582","2.0","-12.1417","2.0","-12.1248","2.0","-12.1083","2.0","-12.0935","2.0","-12.0816","2.0","-12.0739","2.0","-12.0713","2.0","-12.0704","2.0","-12.0678","2.0","-12.0637","2.0","-12.0582","2.0","-12.0516","2.0","-12.0443","2.0","-12.0366","2.0","-12.029","2.0","-12.022","2.0","-12.0159","2.0","-12.0113","2.0","-12.0084","2.0","-12.0074","2.0"
"9","-11.6939","2.0","-11.6953","2.0","-11.6996","2.0","-11.7067","2.0","-11.7163","2.0","-11.7281","2.0","-11.7419","2.0","-11.7573","2.0","-11.7739","2.0","-11.7913","2.0","-11.8092","2.0","-11.827","2.0","-11.8444","2.0","-11.861","2.0","-11.8765","2.0","-11.8904","2.0","-11.9025","2.0","-11.9125","2.0","-11.9203","2.0","-11.9258","2.0","-11.9294","2.0","-11.9316","2.0","-11.9328","2.0","-11.9331","2.0","-11.9325","2.0","-11.9306","2.0","-11.9278","2.0","-11.9242","2.0","-11.9202","2.0","-11.9162","2.0","-11.9125","2.0","-11.9094","2.0","-11.9072","2.0","-11.9058","2.0","-11.9055","2.0","-11.9059","2.0","-11.907","2.0","-11.9085","2.0","-11.9101","2.0","-11.9115","2.0","-11.9124","2.0","-11.9127","2.0","-11.9121","2.0","-11.9102","2.0","-11.9071","2.0","-11.9031","2.0","-11.8984","2.0","-11.8933","2.0","-11.8881","2.0","-11.8832","2.0","-11.8787","2.0","-11.8749","2.0","-11.8721","2.0","-11.8704","2.0","-11.8698","2.0","-11.8707","2.0","-11.8734","2.0","-11.8776","2.0","-11.8833","2.0","-11.8899","2.0","-11.8973","2.0","-11.9049","2.0","-11.9124","2.0","-11.9192","2.0","-11.925","2.0","-11.9294","2.0","-11.9322","2.0","-11.9331","2.0"
