"Index","kx","ky","kz","VB","EV / eV","VB Occ","CB","EC / eV","CB Occ","Eg (Direct) / eV"
"1","0.0","0.0","0.0","9","-0.11629999999999985","2.0","10","0.5172000000000003","0.0","0.6335000000000002"
"2","0.00833333","0.0","0.00833333","9","-0.11829999999999963","2.0","10","0.5356000000000001","0.0","0.6538999999999997"
"3","0.01666667","0.0","0.01666667","9","-0.12429999999999986","2.0","10","0.5855000000000001","0.0","0.7098"
"4","0.025","0.0","0.025","9","-0.13419999999999987","2.0","10","0.6567000000000003","0.0","0.7909000000000002"
"5","0.03333334","0.0","0.03333334","9","-0.14789999999999992","2.0","10","0.7410000000000001","0.0","0.8889"
"6","0.04166667","0.0","0.04166667","9","-0.16529999999999978","2.0","10","0.8330000000000002","0.0","0.9983"
"7","0.05","0.0","0.05","9","-0.1862999999999997","2.0","10","0.9297000000000004","0.0","1.116"
"8","0.05833334","0.0","0.05833334","9","-0.21069999999999967","2.0","10","1.0294000000000003","0.0","1.2401"
"9","0.06666667","0.0","0.06666667","9","-0.23829999999999973","2.0","10","1.1309","0.0","1.3691999999999998"
"10","0.075","0.0","0.075","9","-0.2687999999999997","2.0","10","1.2334","0.0","1.5021999999999998"
"11","0.08333334","0.0","0.08333334","9","-0.3021999999999996","2.0","10","1.3363","0.0","1.6384999999999996"
"12","0.09166667","0.0","0.09166667","9","-0.33799999999999963","2.0","10","1.4392","0.0","1.7771999999999997"
"13","0.10000001","0.0","0.10000001","9","-0.37619999999999987","2.0","10","1.5417","0.0","1.9179"
"14","0.10833333","0.0","0.10833333","9","-0.41649999999999987","2.0","10","1.6433","0.0","2.0598"
"15","0.11666667","0.0","0.11666667","9","-0.4585999999999997","2.0","10","1.7438000000000002","0.0","2.2024"
"16","0.125","0.0","0.125","9","-0.5023999999999997","2.0","10","1.8428000000000004","0.0","2.3452"
"17","0.13333334","0.0","0.13333334","9","-0.5475999999999999","2.0","10","1.9398","0.0","2.4874"
"18","0.14166668","0.0","0.14166668","9","-0.5939999999999999","2.0","10","2.0345000000000004","0.0","2.6285000000000003"
"19","0.15000001","0.0","0.15000001","9","-0.6413999999999997","2.0","10","2.1263000000000005","0.0","2.7677000000000005"
"20","0.15833335","0.0","0.15833335","9","-0.6895999999999998","2.0","10","2.2148000000000003","0.0","2.9044"
"21","0.16666667","0.0","0.16666667","9","-0.7384999999999997","2.0","10","2.2994000000000003","0.0","3.0379"
"22","0.17500001","0.0","0.17500001","9","-0.7878999999999998","2.0","10","2.3794000000000004","0.0","3.1673"
"23","0.18333334","0.0","0.18333334","9","-0.8375999999999997","2.0","10","2.4542","0.0","3.2918"
"24","0.19166668","0.0","0.19166668","9","-0.8874999999999997","2.0","10","2.5229","0.0","3.4103999999999997"
"25","0.20000002","0.0","0.20000002","9","-0.9373999999999998","2.0","10","2.5846","0.0","3.522"
"26","0.20833336","0.0","0.20833336","9","-0.9870999999999999","2.0","10","2.6381000000000006","0.0","3.6252000000000004"
"27","0.21666667","0.0","0.21666667","9","-1.0366999999999997","2.0","10","2.6823000000000006","0.0","3.7190000000000003"
"28","0.22500001","0.0","0.22500001","9","-1.0858999999999999","2.0","10","2.7157","0.0","3.8015999999999996"
"29","0.23333335","0.0","0.23333335","9","-1.1345999999999998","2.0","10","2.7369000000000003","0.0","3.8715"
"30","0.24166669","0.0","0.24166669","9","-1.1826999999999999","2.0","10","2.7454","0.0","3.9280999999999997"
"31","0.25","0.0","0.25","9","-1.2301999999999997","2.0","10","2.7419000000000002","0.0","3.9721"
"32","0.25833333","0.0","0.25833333","9","-1.2769999999999997","2.0","10","2.7285000000000004","0.0","4.0055"
"33","0.26666668","0.0","0.26666668","9","-1.3227999999999998","2.0","10","2.7081","0.0","4.0309"
"34","0.27500001","0.0","0.27500001","9","-1.3677999999999997","2.0","10","2.6832000000000003","0.0","4.051"
"35","0.28333336","0.0","0.28333336","9","-1.4116999999999997","2.0","10","2.6559","0.0","4.0676"
"36","0.29166666","0.0","0.29166666","9","-1.4545999999999997","2.0","10","2.6275000000000004","0.0","4.0821000000000005"
"37","0.30000001","0.0","0.30000001","9","-1.4961999999999998","2.0","10","2.599","0.0","4.0952"
"38","0.30833334","0.0","0.30833334","9","-1.5366999999999997","2.0","10","2.5708","0.0","4.1075"
"39","0.31666669","0.0","0.31666669","9","-1.5758999999999999","2.0","10","2.5436000000000005","0.0","4.1195"
"40","0.32499999","0.0","0.32499999","9","-1.6136999999999997","2.0","10","2.5175","0.0","4.1312"
"41","0.33333334","0.0","0.33333334","9","-1.6502","2.0","10","2.4927","0.0","4.1429"
"42","0.34166667","0.0","0.34166667","9","-1.6851999999999998","2.0","10","2.4694000000000003","0.0","4.1546"
"43","0.35000002","0.0","0.35000002","9","-1.7186999999999997","2.0","10","2.4477","0.0","4.1664"
"44","0.35833335","0.0","0.35833335","9","-1.7506","2.0","10","2.4277000000000006","0.0","4.1783"
"45","0.36666667","0.0","0.36666667","9","-1.7809","2.0","10","2.4094000000000007","0.0","4.190300000000001"
