"","KPoint 1","","KPoint 2","","KPoint 3","","KPoint 4","","KPoint 5","","KPoint 6","","KPoint 7","","KPoint 8","","KPoint 9","","KPoint 10","","KPoint 11","","KPoint 12","","KPoint 13","","KPoint 14",""
"Band","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ"
"1","-19.7461","2.0","-19.746","2.0","-19.746","2.0","-19.7459","2.0","-19.7459","2.0","-19.7459","2.0","-19.7458","2.0","-19.7458","2.0","-19.7458","2.0","-19.7457","2.0","-19.7457","2.0","-19.7458","2.0","-19.7457","2.0","-19.7457","2.0"
"2","-19.7458","2.0","-19.7458","2.0","-19.7458","2.0","-19.7458","2.0","-19.7458","2.0","-19.7456","2.0","-19.7457","2.0","-19.7457","2.0","-19.7456","2.0","-19.7456","2.0","-19.7456","2.0","-19.7456","2.0","-19.7456","2.0","-19.7456","2.0"
"3","-19.7453","2.0","-19.7452","2.0","-19.7452","2.0","-19.7452","2.0","-19.7452","2.0","-19.7455","2.0","-19.7454","2.0","-19.7454","2.0","-19.7454","2.0","-19.7453","2.0","-19.7453","2.0","-19.7454","2.0","-19.7453","2.0","-19.7453","2.0"
"4","-19.7451","2.0","-19.7451","2.0","-19.7451","2.0","-19.7451","2.0","-19.7451","2.0","-19.7453","2.0","-19.7453","2.0","-19.7453","2.0","-19.7453","2.0","-19.7453","2.0","-19.7453","2.0","-19.7453","2.0","-19.7453","2.0","-19.7453","2.0"
"5","-19.7419","2.0","-19.7419","2.0","-19.7419","2.0","-19.7419","2.0","-19.7419","2.0","-19.7416","2.0","-19.7416","2.0","-19.7416","2.0","-19.741699999999998","2.0","-19.741699999999998","2.0","-19.741699999999998","2.0","-19.741699999999998","2.0","-19.741699999999998","2.0","-19.741699999999998","2.0"
"6","-19.741699999999998","2.0","-19.741699999999998","2.0","-19.741799999999998","2.0","-19.741799999999998","2.0","-19.741799999999998","2.0","-19.7414","2.0","-19.7415","2.0","-19.7415","2.0","-19.7415","2.0","-19.7416","2.0","-19.7416","2.0","-19.7415","2.0","-19.7416","2.0","-19.7416","2.0"
"7","-19.741","2.0","-19.741","2.0","-19.741","2.0","-19.741","2.0","-19.741","2.0","-19.7412","2.0","-19.7412","2.0","-19.7412","2.0","-19.7412","2.0","-19.7412","2.0","-19.7412","2.0","-19.7412","2.0","-19.7412","2.0","-19.7412","2.0"
"8","-19.7408","2.0","-19.7409","2.0","-19.7409","2.0","-19.7409","2.0","-19.7409","2.0","-19.741","2.0","-19.7411","2.0","-19.7411","2.0","-19.7411","2.0","-19.7412","2.0","-19.7412","2.0","-19.7411","2.0","-19.7412","2.0","-19.7412","2.0"
"9","-16.5355","2.0","-16.5355","2.0","-16.5333","2.0","-16.5332","2.0","-16.5332","2.0","-16.5331","2.0","-16.5331","2.0","-16.5331","2.0","-16.5307","2.0","-16.5306","2.0","-16.5306","2.0","-16.5307","2.0","-16.5306","2.0","-16.5306","2.0"
