         113 -0.628024995     -0.605203986     -0.525924981     -0.372108012     -0.108916000      -9.43439975E-02   5.53368807       6.45662785       6.62140703       6.86253309       6.99331903       7.01899099       8.89776993    
         114 -0.628292024     -0.605015993     -0.525933027     -0.372166991     -0.108944997      -9.43289995E-02   5.53390694       6.45689678       6.62065792       6.86252880       6.99182796       7.01920223       9.02936459    
         115 -0.629073977     -0.604470015     -0.525958002     -0.372339994     -0.109029002      -9.42860022E-02   5.53449202       6.45641994       6.62382889       6.86292505       6.99146509       7.02699900       9.00590038    
         116 -0.630294025     -0.603640020     -0.525997996     -0.372628987     -0.109168001      -9.42149982E-02   5.53554106       6.45609188       6.62568998       6.86351299       6.99106693       7.02122498       9.22239590    
         117 -0.631878018     -0.602602005     -0.526054978     -0.373030007     -0.109357998      -9.41189975E-02   5.53691101       6.45562506       6.61897421       6.86484194       6.99098778       7.03504610       8.33591080    
         118 -0.633758008     -0.601427972     -0.526126981     -0.373542011     -0.109600998      -9.39989984E-02   5.53878021       6.45667982       6.62189913       6.86537886       6.98981619       7.02839518       8.84091759    
         119 -0.635868013     -0.600172997     -0.526211023     -0.374159008     -0.109885000      -9.38559994E-02   5.54101276       6.45591497       6.62153578       6.86656380       6.99108601       7.03475904       9.09483814    
         120 -0.638168991     -0.598894000     -0.526310027     -0.374882013     -0.110218003      -9.36969966E-02   5.54363585       6.45561790       6.61771297       6.86805582       6.99023008       7.03191805       8.98448277    
         121 -0.640628994     -0.597616971     -0.526425004     -0.375705004     -0.110592999      -9.35230032E-02   5.54672909       6.45515394       6.61995077       6.86965799       6.98870182       7.03474903       8.94702625    
         122 -0.643225014     -0.596367002     -0.526552022     -0.376623005     -0.111006998      -9.33369994E-02   5.55009699       6.45475388       6.61872292       6.87132215       6.98869085       7.03988981       8.87032795    
         123 -0.645938993     -0.595166028     -0.526691020     -0.377631009     -0.111456998      -9.31409970E-02   5.55393410       6.45425892       6.61848688       6.87331915       6.98920679       7.05127811       8.77262783    
         124 -0.648757994     -0.594029009     -0.526840985     -0.378722012     -0.111941002      -9.29400027E-02   5.55821419       6.45354509       6.61722422       6.87553978       6.99050283       7.05255318       8.74909878    
         125 -0.651672006     -0.592967987     -0.527001977     -0.379891008     -0.112455003      -9.27340016E-02   5.56283092       6.45276117       6.61331415       6.87764883       6.98927689       7.05407095       8.76915455    
         126 -0.654676020     -0.591988027     -0.527172983     -0.381128997     -0.112999998      -9.25260037E-02   5.56787109       6.45249510       6.61482477       6.87955713       6.99169111       7.06082392       8.81673717    
         127 -0.657760024     -0.591103971     -0.527351975     -0.382431000     -0.113568999      -9.23170000E-02   5.57328987       6.45117188       6.60939884       6.88266420       6.99230099       7.06578398       8.37781620    
         128 -0.660924017     -0.590321004     -0.527538002     -0.383787006     -0.114164002      -9.21100006E-02   5.57908297       6.44990587       6.60951281       6.88502502       6.99080420       7.07327318       9.05786991    
         129 -0.664160013     -0.589645028     -0.527732015     -0.385188997     -0.114781998      -9.19060037E-02   5.58531809       6.44618177       6.60863018       6.88590193       6.99081421       7.07847691       8.09343529    
         130 -0.667464972     -0.589089990     -0.527927995     -0.386626989     -0.115419999      -9.17060003E-02   5.59184790       6.44717598       6.60596704       6.88841486       6.99551392       7.08655691       8.92956924    
         131 -0.670839012     -0.588653028     -0.528128982     -0.388094008     -0.116076998      -9.15110037E-02   5.59882784       6.44401884       6.60492992       6.89150190       6.99824286       7.09596682       8.27407837    
         132 -0.674278021     -0.588342011     -0.528334975     -0.389578015     -0.116752997      -9.13219973E-02   5.60615206       6.44045687       6.60286808       6.89170885       6.99841118       7.10355711       8.31801319    
         133 -0.677775979     -0.588167012     -0.528539002     -0.391070992     -0.117443003      -9.11400020E-02   5.61384010       6.43824291       6.59890509       6.89524508       7.00273323       7.11040592       8.82040787    
         134 -0.681334019     -0.588127971     -0.528744996     -0.392563999     -0.118148997      -9.09650028E-02   5.62197685       6.43476200       6.59742880       6.89559793       7.00899792       7.12025023       8.51184940    
         135 -0.684951007     -0.588235974     -0.528945982     -0.394044995     -0.118867002      -9.07960013E-02   5.63045120       6.42751503       6.59526396       6.89636707       7.00969887       7.12641001       8.07376575    
         136 -0.688621998     -0.588491976     -0.529142976     -0.395503998     -0.119597003      -9.06340033E-02   5.63920021       6.42292500       6.59084702       6.89735222       7.01224804       7.14547014       8.13348198    
         137 -0.692346990     -0.588899016     -0.529334009     -0.396932006     -0.120334998      -9.04780030E-02   5.64834690       6.41863918       6.58635902       6.90042019       7.01727915       7.14717722       8.45878315    
         138 -0.696124971     -0.589466989     -0.529513001     -0.398321003     -0.121081002      -9.03289989E-02   5.65792513       6.41050911       6.58104420       6.90699482       7.02302790       7.19909811       8.10438347    
         139 -0.699949980     -0.590197980     -0.529679000     -0.399659008     -0.121831998      -9.01850015E-02   5.66769791       6.39951181       6.58260584       6.90065813       7.02722597       7.16536188       7.94378614    
         140 -0.703823984     -0.591094017     -0.529829979     -0.400940001     -0.122585997      -9.00470018E-02   5.67793894       6.39503717       6.57601595       6.91691017       7.03506184       7.17766714       8.47685719    
         141 -0.707741976     -0.592158973     -0.529963017     -0.402155012     -0.123342000      -8.99140015E-02   5.68844795       6.37714720       6.57594490       6.90194988       7.03924084       7.18618298       7.84548283    
         142 -0.711705983     -0.593400002     -0.530071020     -0.403299987     -0.124100000      -8.97850022E-02   5.69927597       6.36373615       6.57345486       6.90277481       7.04788589       7.19719219       7.79877710    
         143 -0.715708017     -0.594808996     -0.530149996     -0.404363990     -0.124851003      -8.96560028E-02   5.71053505       6.35526609       6.56744385       6.90637684       7.05429602       7.20949221       8.37946224    
         144 -0.719749987     -0.596391976     -0.530197024     -0.405344009     -0.125596002      -8.95290002E-02   5.72204494       6.33650494       6.56477118       6.90740299       7.06393290       7.22112894       8.04797840    
         145 -0.723828971     -0.598154008     -0.530203998     -0.406233996     -0.126333997      -8.94009992E-02   5.73390007       6.35009623       6.55944204       6.96785116       7.09786177       7.24492407       8.06991386    
         146 -0.727941990     -0.600085020     -0.530170977     -0.407032996     -0.127059996      -8.92719999E-02   5.74592590       6.29719114       6.56365490       6.92767811       7.09274292       7.27013779       7.79225779    
         147 -0.732088029     -0.602190018     -0.530088007     -0.407739013     -0.127772003      -8.91389996E-02   5.75819302       6.27618694       6.55602598       6.92633200       7.08455276       7.25786018       7.76937294    
         148 -0.736262977     -0.604463995     -0.529951990     -0.408347994     -0.128466994      -8.90000015E-02   5.77092218       6.24999285       6.55659008       6.91286421       7.09378004       7.26721191       7.74817705    
         149 -0.740465999     -0.606903970     -0.529757023     -0.408861995     -0.129142001      -8.88540000E-02   5.78373098       6.23122692       6.55534887       6.94005680       7.10289717       7.30668211       7.74974203    
         150 -0.744692028     -0.609506011     -0.529495001     -0.409280002     -0.129793003      -8.86970013E-02   5.79707479       6.19910908       6.55234909       6.91819382       7.11159992       7.29095221       7.81641293    
         151 -0.748942018     -0.612259984     -0.529164016     -0.409601986     -0.130416006      -8.85270014E-02   5.81042719       6.17036486       6.55181217       6.92174578       7.12076187       7.30555105       7.73672724    
         152 -0.753206015     -0.615163028     -0.528751016     -0.409830004     -0.131005004      -8.83390009E-02   5.82375717       6.13976812       6.55384922       6.92582989       7.13065720       7.31598520       7.65111113    
         153 -0.757488012     -0.618206978     -0.528258979     -0.409969985     -0.131559998      -8.81329998E-02   5.83743095       6.10896492       6.54992723       6.92934179       7.14036083       7.36914587       7.77458096    
         154 -0.761784971     -0.621385992     -0.527679026     -0.410021007     -0.132078007      -8.79039988E-02   5.85095596       6.07735682       6.54719019       6.93343782       7.15126085       7.37263298       7.81225681    
