"","KPoint 1","","KPoint 2","","KPoint 3","","KPoint 4","","KPoint 5","","KPoint 6","","KPoint 7","","KPoint 8","","KPoint 9","","KPoint 10","","KPoint 11","","KPoint 12","","KPoint 13","","KPoint 14",""
"Band","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ"
"1","-19.6347","2.0","-19.6346","2.0","-19.6346","2.0","-19.6346","2.0","-19.6346","2.0","-19.6345","2.0","-19.6345","2.0","-19.6345","2.0","-19.6344","2.0","-19.6344","2.0","-19.6344","2.0","-19.6344","2.0","-19.6344","2.0","-19.6344","2.0"
"2","-19.6345","2.0","-19.6345","2.0","-19.6345","2.0","-19.6345","2.0","-19.6345","2.0","-19.6343","2.0","-19.6344","2.0","-19.6344","2.0","-19.6343","2.0","-19.6343","2.0","-19.6343","2.0","-19.6343","2.0","-19.6343","2.0","-19.6343","2.0"
"3","-19.634","2.0","-19.633899999999997","2.0","-19.633899999999997","2.0","-19.633899999999997","2.0","-19.633899999999997","2.0","-19.6342","2.0","-19.6341","2.0","-19.6341","2.0","-19.6341","2.0","-19.634","2.0","-19.634","2.0","-19.6341","2.0","-19.634","2.0","-19.634","2.0"
"4","-19.633799999999997","2.0","-19.633799999999997","2.0","-19.633799999999997","2.0","-19.633799999999997","2.0","-19.633799999999997","2.0","-19.634","2.0","-19.634","2.0","-19.634","2.0","-19.634","2.0","-19.634","2.0","-19.634","2.0","-19.634","2.0","-19.634","2.0","-19.634","2.0"
"5","-19.6269","2.0","-19.6269","2.0","-19.6269","2.0","-19.6269","2.0","-19.6269","2.0","-19.6266","2.0","-19.6266","2.0","-19.6266","2.0","-19.6266","2.0","-19.6266","2.0","-19.6266","2.0","-19.6266","2.0","-19.6266","2.0","-19.6266","2.0"
"6","-19.6268","2.0","-19.6269","2.0","-19.6269","2.0","-19.6269","2.0","-19.6269","2.0","-19.6265","2.0","-19.6266","2.0","-19.6266","2.0","-19.6266","2.0","-19.6266","2.0","-19.6266","2.0","-19.6266","2.0","-19.6266","2.0","-19.6266","2.0"
"7","-19.6257","2.0","-19.6257","2.0","-19.6257","2.0","-19.625799999999998","2.0","-19.625799999999998","2.0","-19.625999999999998","2.0","-19.625999999999998","2.0","-19.625999999999998","2.0","-19.625999999999998","2.0","-19.625999999999998","2.0","-19.625999999999998","2.0","-19.625999999999998","2.0","-19.625999999999998","2.0","-19.625999999999998","2.0"
"8","-19.6256","2.0","-19.6257","2.0","-19.6257","2.0","-19.6257","2.0","-19.6257","2.0","-19.625899999999998","2.0","-19.625999999999998","2.0","-19.625999999999998","2.0","-19.625999999999998","2.0","-19.625999999999998","2.0","-19.625999999999998","2.0","-19.625999999999998","2.0","-19.625999999999998","2.0","-19.625999999999998","2.0"
"9","-16.5262","2.0","-16.5262","2.0","-16.5241","2.0","-16.524","2.0","-16.524","2.0","-16.523799999999998","2.0","-16.523799999999998","2.0","-16.523799999999998","2.0","-16.5215","2.0","-16.5214","2.0","-16.5214","2.0","-16.5215","2.0","-16.5214","2.0","-16.5214","2.0"
"10","-16.5261","2.0","-16.5261","2.0","-16.523799999999998","2.0","-16.5239","2.0","-16.5239","2.0","-16.523699999999998","2.0","-16.523699999999998","2.0","-16.523699999999998","2.0","-16.5213","2.0","-16.5214","2.0","-16.5214","2.0","-16.5213","2.0","-16.5214","2.0","-16.5214","2.0"
