"","KPoint 1","","KPoint 2","","KPoint 3","","KPoint 4","","KPoint 5","","KPoint 6","","KPoint 7","","KPoint 8","","KPoint 9","","KPoint 10","","KPoint 11","","KPoint 12","","KPoint 13","","KPoint 14",""
"Band","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ"
"1","-19.7351","2.0","-19.735","2.0","-19.735","2.0","-19.7349","2.0","-19.7349","2.0","-19.7349","2.0","-19.7348","2.0","-19.7348","2.0","-19.7348","2.0","-19.7347","2.0","-19.7347","2.0","-19.7348","2.0","-19.7347","2.0","-19.7347","2.0"
"2","-19.7348","2.0","-19.7349","2.0","-19.7348","2.0","-19.7348","2.0","-19.7348","2.0","-19.7346","2.0","-19.7347","2.0","-19.7347","2.0","-19.7346","2.0","-19.7346","2.0","-19.7346","2.0","-19.7346","2.0","-19.7346","2.0","-19.7346","2.0"
"3","-19.7344","2.0","-19.7343","2.0","-19.7342","2.0","-19.7342","2.0","-19.7342","2.0","-19.7346","2.0","-19.7345","2.0","-19.7344","2.0","-19.7344","2.0","-19.7344","2.0","-19.7344","2.0","-19.7344","2.0","-19.7344","2.0","-19.7344","2.0"
"4","-19.7341","2.0","-19.7341","2.0","-19.7341","2.0","-19.7341","2.0","-19.7341","2.0","-19.7343","2.0","-19.7343","2.0","-19.7343","2.0","-19.7343","2.0","-19.7343","2.0","-19.7343","2.0","-19.7343","2.0","-19.7343","2.0","-19.7343","2.0"
"5","-19.730900000000002","2.0","-19.730900000000002","2.0","-19.730900000000002","2.0","-19.730900000000002","2.0","-19.730900000000002","2.0","-19.7307","2.0","-19.7306","2.0","-19.7306","2.0","-19.7307","2.0","-19.7307","2.0","-19.7307","2.0","-19.7307","2.0","-19.7307","2.0","-19.7307","2.0"
"6","-19.7307","2.0","-19.7308","2.0","-19.7308","2.0","-19.7308","2.0","-19.7308","2.0","-19.7304","2.0","-19.7305","2.0","-19.7305","2.0","-19.7306","2.0","-19.7306","2.0","-19.7306","2.0","-19.7306","2.0","-19.7306","2.0","-19.7306","2.0"
"7","-19.73","2.0","-19.73","2.0","-19.73","2.0","-19.73","2.0","-19.73","2.0","-19.7302","2.0","-19.7302","2.0","-19.7302","2.0","-19.7302","2.0","-19.7302","2.0","-19.7302","2.0","-19.7302","2.0","-19.7302","2.0","-19.7302","2.0"
"8","-19.7298","2.0","-19.7299","2.0","-19.7299","2.0","-19.73","2.0","-19.73","2.0","-19.73","2.0","-19.7301","2.0","-19.7301","2.0","-19.7301","2.0","-19.7302","2.0","-19.7302","2.0","-19.7301","2.0","-19.7302","2.0","-19.7302","2.0"
"9","-16.5245","2.0","-16.5245","2.0","-16.522299999999998","2.0","-16.522199999999998","2.0","-16.522199999999998","2.0","-16.5221","2.0","-16.5221","2.0","-16.5221","2.0","-16.5197","2.0","-16.5196","2.0","-16.5196","2.0","-16.5197","2.0","-16.5196","2.0","-16.5196","2.0"
