"","KPoint 1","","KPoint 2","","KPoint 3","","KPoint 4","","KPoint 5","","KPoint 6","","KPoint 7","","KPoint 8","","KPoint 9","","KPoint 10","","KPoint 11","","KPoint 12","","KPoint 13","","KPoint 14",""
"Band","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ"
"1","-19.7289","2.0","-19.7288","2.0","-19.7287","2.0","-19.7286","2.0","-19.7286","2.0","-19.7288","2.0","-19.7286","2.0","-19.7286","2.0","-19.7286","2.0","-19.728399999999997","2.0","-19.728399999999997","2.0","-19.7286","2.0","-19.728399999999997","2.0","-19.728399999999997","2.0"
"2","-19.728399999999997","2.0","-19.728399999999997","2.0","-19.728299999999997","2.0","-19.728299999999997","2.0","-19.728299999999997","2.0","-19.7285","2.0","-19.728399999999997","2.0","-19.728399999999997","2.0","-19.728299999999997","2.0","-19.728299999999997","2.0","-19.728199999999998","2.0","-19.728299999999997","2.0","-19.728299999999997","2.0","-19.728199999999998","2.0"
"3","-19.728299999999997","2.0","-19.728299999999997","2.0","-19.728299999999997","2.0","-19.728299999999997","2.0","-19.728299999999997","2.0","-19.728199999999998","2.0","-19.728299999999997","2.0","-19.728299999999997","2.0","-19.728299999999997","2.0","-19.728199999999998","2.0","-19.728199999999998","2.0","-19.728299999999997","2.0","-19.728199999999998","2.0","-19.728199999999998","2.0"
"4","-19.728199999999998","2.0","-19.728199999999998","2.0","-19.728199999999998","2.0","-19.728199999999998","2.0","-19.728199999999998","2.0","-19.728199999999998","2.0","-19.728199999999998","2.0","-19.728199999999998","2.0","-19.728199999999998","2.0","-19.728199999999998","2.0","-19.728199999999998","2.0","-19.728199999999998","2.0","-19.728199999999998","2.0","-19.728199999999998","2.0"
"5","-19.7257","2.0","-19.7258","2.0","-19.7257","2.0","-19.7258","2.0","-19.7258","2.0","-19.7257","2.0","-19.7257","2.0","-19.7257","2.0","-19.7258","2.0","-19.7258","2.0","-19.7258","2.0","-19.7258","2.0","-19.7258","2.0","-19.7258","2.0"
"6","-19.7256","2.0","-19.7257","2.0","-19.7257","2.0","-19.7257","2.0","-19.7257","2.0","-19.7257","2.0","-19.7256","2.0","-19.7256","2.0","-19.7257","2.0","-19.7257","2.0","-19.7257","2.0","-19.7257","2.0","-19.7257","2.0","-19.7257","2.0"
"7","-19.7256","2.0","-19.7255","2.0","-19.7256","2.0","-19.7257","2.0","-19.7257","2.0","-19.7255","2.0","-19.7256","2.0","-19.7256","2.0","-19.7257","2.0","-19.7257","2.0","-19.7257","2.0","-19.7257","2.0","-19.7257","2.0","-19.7257","2.0"
"8","-19.725099999999998","2.0","-19.725299999999997","2.0","-19.725299999999997","2.0","-19.7255","2.0","-19.7255","2.0","-19.725299999999997","2.0","-19.725399999999997","2.0","-19.725399999999997","2.0","-19.7255","2.0","-19.7256","2.0","-19.7256","2.0","-19.7255","2.0","-19.7256","2.0","-19.7256","2.0"
"9","-16.5437","2.0","-16.543599999999998","2.0","-16.5415","2.0","-16.5414","2.0","-16.5414","2.0","-16.5413","2.0","-16.5412","2.0","-16.5412","2.0","-16.538899999999998","2.0","-16.538899999999998","2.0","-16.538899999999998","2.0","-16.538899999999998","2.0","-16.538899999999998","2.0","-16.538899999999998","2.0"
"10","-16.543599999999998","2.0","-16.543599999999998","2.0","-16.5413","2.0","-16.5413","2.0","-16.5413","2.0","-16.5412","2.0","-16.5412","2.0","-16.5412","2.0","-16.5387","2.0","-16.5388","2.0","-16.5388","2.0","-16.5387","2.0","-16.5388","2.0","-16.5388","2.0"
"11","-16.5366","2.0","-16.5362","2.0","-16.538","2.0","-16.5377","2.0","-16.5377","2.0","-16.5368","2.0","-16.5368","2.0","-16.5368","2.0","-16.5351","2.0","-16.5348","2.0","-16.5349","2.0","-16.5351","2.0","-16.5348","2.0","-16.5349","2.0"
"12","-16.5354","2.0","-16.5356","2.0","-16.5372","2.0","-16.5373","2.0","-16.5373","2.0","-16.5367","2.0","-16.5367","2.0","-16.5367","2.0","-16.534399999999998","2.0","-16.5345","2.0","-16.5345","2.0","-16.534399999999998","2.0","-16.5345","2.0","-16.5345","2.0"
"13","-16.5348","2.0","-16.5348","2.0","-16.5318","2.0","-16.5318","2.0","-16.5318","2.0","-16.5336","2.0","-16.5332","2.0","-16.5333","2.0","-16.534","2.0","-16.534","2.0","-16.534","2.0","-16.534","2.0","-16.534","2.0","-16.534","2.0"
"14","-16.5347","2.0","-16.5347","2.0","-16.5317","2.0","-16.5318","2.0","-16.5318","2.0","-16.5325","2.0","-16.5327","2.0","-16.5327","2.0","-16.534","2.0","-16.534","2.0","-16.534","2.0","-16.534","2.0","-16.534","2.0","-16.534","2.0"
"15","-16.5247","2.0","-16.5244","2.0","-16.5266","2.0","-16.5265","2.0","-16.5265","2.0","-16.5277","2.0","-16.5274","2.0","-16.5273","2.0","-16.5294","2.0","-16.5292","2.0","-16.5292","2.0","-16.5294","2.0","-16.5292","2.0","-16.5292","2.0"
"16","-16.5241","2.0","-16.5242","2.0","-16.5264","2.0","-16.5264","2.0","-16.5264","2.0","-16.526799999999998","2.0","-16.527","2.0","-16.527","2.0","-16.529","2.0","-16.529","2.0","-16.5291","2.0","-16.529","2.0","-16.529","2.0","-16.5291","2.0"
"17","-16.519199999999998","2.0","-16.5164","2.0","-16.5178","2.0","-16.515","2.0","-16.515","2.0","-16.5187","2.0","-16.5158","2.0","-16.5158","2.0","-16.5174","2.0","-16.514599999999998","2.0","-16.514599999999998","2.0","-16.5174","2.0","-16.514599999999998","2.0","-16.514599999999998","2.0"
"18","-16.5162","2.0","-16.5133","2.0","-16.5156","2.0","-16.5127","2.0","-16.5127","2.0","-16.5172","2.0","-16.5143","2.0","-16.5143","2.0","-16.5164","2.0","-16.5135","2.0","-16.5134","2.0","-16.5164","2.0","-16.5135","2.0","-16.5134","2.0"
"19","-16.5118","2.0","-16.5106","2.0","-16.5141","2.0","-16.5114","2.0","-16.5114","2.0","-16.5118","2.0","-16.509999999999998","2.0","-16.509999999999998","2.0","-16.514","2.0","-16.5113","2.0","-16.5113","2.0","-16.514","2.0","-16.5113","2.0","-16.5113","2.0"
"20","-16.511599999999998","2.0","-16.5092","2.0","-16.5134","2.0","-16.5105","2.0","-16.5105","2.0","-16.511599999999998","2.0","-16.5092","2.0","-16.5092","2.0","-16.5136","2.0","-16.5108","2.0","-16.5108","2.0","-16.5136","2.0","-16.5108","2.0","-16.5108","2.0"
"21","-16.5077","2.0","-16.5088","2.0","-16.5064","2.0","-16.5093","2.0","-16.5093","2.0","-16.5071","2.0","-16.509","2.0","-16.509","2.0","-16.5059","2.0","-16.5088","2.0","-16.5088","2.0","-16.5059","2.0","-16.5088","2.0","-16.5088","2.0"
"22","-16.5045","2.0","-16.5075","2.0","-16.5038","2.0","-16.5067","2.0","-16.5067","2.0","-16.505499999999998","2.0","-16.508399999999998","2.0","-16.508499999999998","2.0","-16.5046","2.0","-16.5075","2.0","-16.5076","2.0","-16.5046","2.0","-16.5075","2.0","-16.5076","2.0"
"23","-16.5012","2.0","-16.503899999999998","2.0","-16.5031","2.0","-16.506","2.0","-16.506","2.0","-16.501","2.0","-16.5038","2.0","-16.5038","2.0","-16.5029","2.0","-16.5057","2.0","-16.5057","2.0","-16.5029","2.0","-16.5057","2.0","-16.5057","2.0"
"24","-16.5002","2.0","-16.5031","2.0","-16.5016","2.0","-16.5046","2.0","-16.5046","2.0","-16.5005","2.0","-16.5034","2.0","-16.5034","2.0","-16.5021","2.0","-16.5051","2.0","-16.5051","2.0","-16.5021","2.0","-16.5051","2.0","-16.5051","2.0"
