"","KPoint 1","","KPoint 2","","KPoint 3","","KPoint 4","","KPoint 5","","KPoint 6","","KPoint 7","","KPoint 8","","KPoint 9","","KPoint 10","","KPoint 11","","KPoint 12","","KPoint 13","","KPoint 14",""
"Band","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ"
"1","-19.0477","2.0","-19.0477","2.0","-19.0477","2.0","-19.0477","2.0","-19.0477","2.0","-19.047199999999997","2.0","-19.0471","2.0","-19.0471","2.0","-19.0471","2.0","-19.0471","2.0","-19.0471","2.0","-19.0471","2.0","-19.0471","2.0","-19.0471","2.0"
"2","-19.047600000000003","2.0","-19.047600000000003","2.0","-19.047600000000003","2.0","-19.047600000000003","2.0","-19.047600000000003","2.0","-19.046999999999997","2.0","-19.0471","2.0","-19.0471","2.0","-19.046999999999997","2.0","-19.0471","2.0","-19.0471","2.0","-19.046999999999997","2.0","-19.0471","2.0","-19.0471","2.0"
"3","-19.045499999999997","2.0","-19.0454","2.0","-19.0454","2.0","-19.0454","2.0","-19.0454","2.0","-19.046","2.0","-19.046","2.0","-19.046","2.0","-19.046","2.0","-19.046","2.0","-19.046","2.0","-19.046","2.0","-19.046","2.0","-19.046","2.0"
"4","-19.045299999999997","2.0","-19.0454","2.0","-19.0454","2.0","-19.0454","2.0","-19.0454","2.0","-19.045900000000003","2.0","-19.045900000000003","2.0","-19.045900000000003","2.0","-19.045900000000003","2.0","-19.045900000000003","2.0","-19.045900000000003","2.0","-19.045900000000003","2.0","-19.045900000000003","2.0","-19.045900000000003","2.0"
"5","-19.0263","2.0","-19.0263","2.0","-19.0263","2.0","-19.0263","2.0","-19.0263","2.0","-19.0261","2.0","-19.0261","2.0","-19.0261","2.0","-19.0261","2.0","-19.0261","2.0","-19.0261","2.0","-19.0261","2.0","-19.0261","2.0","-19.0261","2.0"
"6","-19.0263","2.0","-19.0263","2.0","-19.0263","2.0","-19.0263","2.0","-19.0263","2.0","-19.0261","2.0","-19.0261","2.0","-19.0261","2.0","-19.0261","2.0","-19.0261","2.0","-19.0261","2.0","-19.0261","2.0","-19.0261","2.0","-19.0261","2.0"
"7","-19.025399999999998","2.0","-19.025399999999998","2.0","-19.025399999999998","2.0","-19.025399999999998","2.0","-19.025399999999998","2.0","-19.025599999999997","2.0","-19.025599999999997","2.0","-19.025599999999997","2.0","-19.025599999999997","2.0","-19.025599999999997","2.0","-19.025599999999997","2.0","-19.025599999999997","2.0","-19.025599999999997","2.0","-19.025599999999997","2.0"
"8","-19.025399999999998","2.0","-19.025399999999998","2.0","-19.025399999999998","2.0","-19.025399999999998","2.0","-19.025399999999998","2.0","-19.025599999999997","2.0","-19.025599999999997","2.0","-19.025599999999997","2.0","-19.025599999999997","2.0","-19.025599999999997","2.0","-19.025599999999997","2.0","-19.025599999999997","2.0","-19.025599999999997","2.0","-19.025599999999997","2.0"
"9","-16.4067","2.0","-16.406599999999997","2.0","-16.405","2.0","-16.404899999999998","2.0","-16.404899999999998","2.0","-16.4042","2.0","-16.4042","2.0","-16.4042","2.0","-16.4024","2.0","-16.4024","2.0","-16.4024","2.0","-16.4024","2.0","-16.4024","2.0","-16.4024","2.0"
"10","-16.4065","2.0","-16.4065","2.0","-16.4048","2.0","-16.4048","2.0","-16.4048","2.0","-16.4041","2.0","-16.4041","2.0","-16.4041","2.0","-16.4023","2.0","-16.4023","2.0","-16.4023","2.0","-16.4023","2.0","-16.4023","2.0","-16.4023","2.0"
"11","-16.4007","2.0","-16.4005","2.0","-16.402","2.0","-16.4018","2.0","-16.4018","2.0","-16.3995","2.0","-16.3995","2.0","-16.3995","2.0","-16.3992","2.0","-16.3991","2.0","-16.3991","2.0","-16.3992","2.0","-16.3991","2.0","-16.3991","2.0"
"12","-16.4","2.0","-16.400199999999998","2.0","-16.4015","2.0","-16.401600000000002","2.0","-16.401600000000002","2.0","-16.3995","2.0","-16.3995","2.0","-16.3995","2.0","-16.3988","2.0","-16.398899999999998","2.0","-16.398899999999998","2.0","-16.3988","2.0","-16.398899999999998","2.0","-16.398899999999998","2.0"
"13","-16.397399999999998","2.0","-16.3973","2.0","-16.3952","2.0","-16.3952","2.0","-16.3952","2.0","-16.3978","2.0","-16.3977","2.0","-16.3977","2.0","-16.3975","2.0","-16.3975","2.0","-16.3975","2.0","-16.3975","2.0","-16.3975","2.0","-16.3975","2.0"
