          17  -7.81465816       5.47271585       5.47271585       5.47271585       8.80086803       8.80086803       8.80086803       9.79753876    
          18  -7.81417608       5.46967983       5.47078180       5.47078323       8.79963303       8.80337715       8.80337715       9.80046082    
          19  -7.81272316       5.46500015       5.46500111       5.46059895       8.79593468       8.81088638       8.81088638       9.80919743    
          20  -7.81029987       5.44555187       5.45542622       5.45542622       8.78979301       8.82333755       8.82333755       9.82365036    
          21  -7.80690718       5.42466688       5.44214916       5.44214916       8.78123856       8.84064007       8.84064007       9.84366322    
          22  -7.80254221       5.39861917       5.42581701       5.42581701       8.77031517       8.86214542       8.86214542       9.86860561    
          23  -7.79720783       5.36681414       5.40574408       5.40574408       8.75707817       8.88854027       8.88854027       9.89889336    
          24  -7.79090691       5.32981110       5.38243580       5.38243580       8.74159431       8.91930866       8.91930866       9.93393898    
          25  -7.78363180       5.28788710       5.35608387       5.35608387       8.72394466       8.95427513       8.95427513       9.97341919    
          26  -7.77538776       5.24130487       5.32687807       5.32687807       8.70420837       8.99323654       8.99323654       10.0169544    
          27  -7.76617622       5.19033623       5.29501820       5.29501820       8.68247128       9.03598499       9.03598404       10.0641346    
          28  -7.75599384       5.13528109       5.26071501       5.26071501       8.65883827       9.08232307       9.08232307       10.1145496    
          29  -7.74484301       5.07640982       5.22416782       5.22416782       8.63340473       9.13204002       9.13204002       10.1677361    
          30  -7.73272324       5.01398516       5.18557787       5.18557787       8.60627842       9.18493080       9.18492985       10.2232122    
          31  -7.71963692       4.94829321       5.14514112       5.14514112       8.57755566       9.24079990       9.24079895       10.2804632    
          32  -7.70558500       4.87957287       5.10304213       5.10304213       8.54735184       9.29945564       9.29945564       10.3389387    
          33  -7.69056797       4.80806398       5.05945921       5.05945921       8.51577187       9.36071968       9.36071873       10.3980446    
          34  -7.67458820       4.73397684       5.01455212       5.01455212       8.48292255       9.42441463       9.42441463       10.4571266    
          35  -7.65764618       4.65753984       4.96849298       4.96849394       8.44891071       9.49038792       9.49038792       10.5154715    
          36  -7.63974285       4.57893610       4.92142391       4.92142391       8.41383934       9.55848312       9.55848312       10.5722771    
          37  -7.62087584       4.49834299       4.87348223       4.87348223       8.37780857       9.62855816       9.62855721       10.6266584    
          38  -7.60104799       4.41592503       4.82479286       4.82479286       8.34091759       9.70048141       9.70048141       10.6776295    
          39  -7.58025885       4.33183289       4.77547693       4.77547693       8.30326271       9.77412987       9.77412891       10.7241077    
          40  -7.55850983       4.24620724       4.72564316       4.72564316       8.26493740       9.84938908       9.84938908       10.7649345    
          41  -7.53580189       4.15917015       4.67539310       4.67539310       8.22602558       9.92615414       9.92615414       10.7989101    
          42  -7.51213217       4.07084322       4.62482119       4.62482119       8.18661690       10.0043278       10.0043278       10.8248634    
          43  -7.48751020       3.98132896       4.57401085       4.57401085       8.14679146       10.0838127       10.0838127       10.8417320    
          44  -7.46193314       3.89072704       4.52304316       4.52304316       8.10662556       10.1645288       10.1645288       10.8486986    
          45  -7.43540192       3.79912496       4.47199202       4.47199202       8.06619740       10.2463989       10.2464018       10.8452578    
          46  -7.40792084       3.70655394       4.42088604       4.42088604       8.02557564       10.3293867       10.3293867       10.8312969    
          47  -7.37948513       3.61320901       4.36988115       4.36988115       7.98482609       10.4133348       10.4133339       10.8070993    
          48  -7.35010099       3.51908207       4.31897497       4.31897497       7.94400120       10.4982386       10.4982376       10.7732830    
          49  -7.31976700       3.42423797       4.26822186       4.26822186       7.90318918       10.5840397       10.5840387       10.7307148    
          50  -7.28848791       3.32873511       4.21767092       4.21767092       7.86243296       10.6706829       10.6706829       10.6803980    
          51  -7.25626278       3.23262501       4.16736794       4.16736889       7.82178879       10.6233788       10.7581196       10.7581196    
          52  -7.22310019       3.13595796       4.11735678       4.11735678       7.78130817       10.5606737       10.8463011       10.8463011    
          53  -7.18899679       3.03877902       4.06767607       4.06767607       7.74104118       10.4932203       10.9351835       10.9351835    
          54  -7.15395594       2.94113111       4.01836300       4.01836300       7.70103216       10.4218607       11.0247259       11.0247259    
          55  -7.11797380       2.84310102       3.96948099       3.96948099       7.66132498       10.3473177       11.1148605       11.1148624    
          56  -7.08105516       2.74464893       3.92101097       3.92101192       7.62195492       10.2702541       11.2055979       11.2055979    
          57  -7.04320621       2.64583898       3.87300491       3.87300491       7.58297777       10.1911898       11.2968893       11.2968893    
          58  -7.00442410       2.54670191       3.82549000       3.82549000       7.54442406       10.1105986       11.3887014       11.3887014    
          59  -6.96471214       2.44726801       3.77849007       3.77849007       7.50633001       10.0288744       11.4810057       11.4810057    
          60  -6.92407322       2.34756589       3.73202991       3.73203111       7.46872807       9.94635201       11.5737762       11.5737772    
          61  -6.88250923       2.24762106       3.68613195       3.68613195       7.43165112       9.86331940       11.6669884       11.6669893    
          62  -6.84002209       2.14745808       3.64081597       3.64081597       7.39512920       9.78001976       11.7606182       11.7606192    
          63  -6.79661417       2.04709792       3.59610200       3.59610200       7.35919285       9.69666386       11.8546429       11.8546467    
          64  -6.75228882       1.94656205       3.55200601       3.55200696       7.32386780       9.61343193       11.9490452       11.9490452    
          65  -6.70704794       1.84587502       3.50854802       3.50854802       7.28918314       9.53048038       12.0438032       12.0438032    
          66  -6.66089582       1.74505794       3.46574092       3.46574092       7.25516176       9.44794273       12.1388998       12.1389046    
          67  -6.61383390       1.64412904       3.42360091       3.42360091       7.22182798       9.36593914       12.2343187       12.2343197    
          68  -6.56586504       1.54310906       3.38214207       3.38214207       7.18920422       9.28457165       12.3300457       12.3300467    
