"","KPoint 1","","KPoint 2","","KPoint 3","","KPoint 4","","KPoint 5","","KPoint 6","","KPoint 7","","KPoint 8","","KPoint 9","","KPoint 10","","KPoint 11","","KPoint 12","","KPoint 13","","KPoint 14",""
"Band","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ"
"1","-21.878999999999998","2.0","-21.878899999999998","2.0","-21.878899999999998","2.0","-21.8788","2.0","-21.8788","2.0","-21.8788","2.0","-21.8787","2.0","-21.8787","2.0","-21.8787","2.0","-21.8787","2.0","-21.8787","2.0","-21.8787","2.0","-21.8787","2.0","-21.8787","2.0"
"2","-21.8788","2.0","-21.8788","2.0","-21.8788","2.0","-21.8788","2.0","-21.8788","2.0","-21.8786","2.0","-21.8786","2.0","-21.8786","2.0","-21.8786","2.0","-21.8786","2.0","-21.8786","2.0","-21.8786","2.0","-21.8786","2.0","-21.8786","2.0"
"3","-21.8783","2.0","-21.8782","2.0","-21.8782","2.0","-21.8782","2.0","-21.8781","2.0","-21.8784","2.0","-21.8784","2.0","-21.8784","2.0","-21.8784","2.0","-21.8783","2.0","-21.8783","2.0","-21.8784","2.0","-21.8783","2.0","-21.8783","2.0"
"4","-21.8781","2.0","-21.8781","2.0","-21.8781","2.0","-21.8781","2.0","-21.8781","2.0","-21.8783","2.0","-21.8783","2.0","-21.8783","2.0","-21.8783","2.0","-21.8783","2.0","-21.8783","2.0","-21.8783","2.0","-21.8783","2.0","-21.8783","2.0"
"5","-21.871599999999997","2.0","-21.871599999999997","2.0","-21.871599999999997","2.0","-21.871599999999997","2.0","-21.871599999999997","2.0","-21.871299999999998","2.0","-21.871299999999998","2.0","-21.871299999999998","2.0","-21.871299999999998","2.0","-21.871299999999998","2.0","-21.871299999999998","2.0","-21.871299999999998","2.0","-21.871299999999998","2.0","-21.871299999999998","2.0"
"6","-21.871499999999997","2.0","-21.871499999999997","2.0","-21.871499999999997","2.0","-21.871599999999997","2.0","-21.871599999999997","2.0","-21.871199999999998","2.0","-21.871199999999998","2.0","-21.871199999999998","2.0","-21.871199999999998","2.0","-21.871299999999998","2.0","-21.871299999999998","2.0","-21.871199999999998","2.0","-21.871299999999998","2.0","-21.871299999999998","2.0"
"7","-21.8703","2.0","-21.8703","2.0","-21.8704","2.0","-21.8704","2.0","-21.8704","2.0","-21.8707","2.0","-21.8707","2.0","-21.8707","2.0","-21.8707","2.0","-21.8707","2.0","-21.8707","2.0","-21.8707","2.0","-21.8707","2.0","-21.8707","2.0"
"8","-21.870199999999997","2.0","-21.8703","2.0","-21.8703","2.0","-21.8703","2.0","-21.8703","2.0","-21.8706","2.0","-21.8706","2.0","-21.8706","2.0","-21.8706","2.0","-21.8707","2.0","-21.8707","2.0","-21.8706","2.0","-21.8707","2.0","-21.8706","2.0"
"9","-18.3923","2.0","-18.3922","2.0","-18.3903","2.0","-18.3903","2.0","-18.3903","2.0","-18.3901","2.0","-18.389999999999997","2.0","-18.389999999999997","2.0","-18.387999999999998","2.0","-18.3879","2.0","-18.3879","2.0","-18.387999999999998","2.0","-18.3879","2.0","-18.3879","2.0"
