"","KPoint 1","","KPoint 2","","KPoint 3","","KPoint 4","","KPoint 5","","KPoint 6","","KPoint 7","","KPoint 8","","KPoint 9","","KPoint 10","","KPoint 11","","KPoint 12","","KPoint 13","","KPoint 14","","KPoint 15","","KPoint 16","","KPoint 17","","KPoint 18","","KPoint 19","","KPoint 20","","KPoint 21","","KPoint 22","","KPoint 23","","KPoint 24","","KPoint 25","","KPoint 26","","KPoint 27","","KPoint 28","","KPoint 29","","KPoint 30","","KPoint 31","","KPoint 32","","KPoint 33","","KPoint 34","","KPoint 35","","KPoint 36","","KPoint 37","","KPoint 38","","KPoint 39","","KPoint 40","","KPoint 41","","KPoint 42","","KPoint 43","","KPoint 44","","KPoint 45","","KPoint 46","","KPoint 47","","KPoint 48","","KPoint 49","","KPoint 50","","KPoint 51","","KPoint 52","","KPoint 53","","KPoint 54","","KPoint 55","","KPoint 56","","KPoint 57","","KPoint 58","","KPoint 59","","KPoint 60","","KPoint 61","","KPoint 62","","KPoint 63","","KPoint 64","","KPoint 65","","KPoint 66","","KPoint 67","","KPoint 68",""
"Band","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ"
"10","-11.3885","2.0","-11.3897","2.0","-11.3931","2.0","-11.3987","2.0","-11.4064","2.0","-11.416","2.0","-11.4274","2.0","-11.4402","2.0","-11.4542","2.0","-11.469","2.0","-11.4843","2.0","-11.4995","2.0","-11.5142","2.0","-11.5279","2.0","-11.5401","2.0","-11.5503","2.0","-11.558","2.0","-11.5632","2.0","-11.566","2.0","-11.5668","2.0","-11.5661","2.0","-11.5649","2.0","-11.5638","2.0","-11.5633","2.0","-11.564","2.0","-11.5658","2.0","-11.568","2.0","-11.5696","2.0","-11.5698","2.0","-11.5675","2.0","-11.5623","2.0","-11.554","2.0","-11.5431","2.0","-11.5302","2.0","-11.5159","2.0","-11.5013","2.0","-11.4873","2.0","-11.4745","2.0","-11.4638","2.0","-11.4557","2.0","-11.4506","2.0","-11.4489","2.0","-11.4502","2.0","-11.4541","2.0","-11.4606","2.0","-11.4694","2.0","-11.4804","2.0","-11.4932","2.0","-11.5072","2.0","-11.5218","2.0","-11.5361","2.0","-11.5491","2.0","-11.5596","2.0","-11.5665","2.0","-11.5689","2.0","-11.5688","2.0","-11.5686","2.0","-11.568200000000001","2.0","-11.5677","2.0","-11.5671","2.0","-11.5664","2.0","-11.5657","2.0","-11.5651","2.0","-11.5645","2.0","-11.564","2.0","-11.5636","2.0","-11.5634","2.0","-11.5633","2.0"
"11","-9.321100000000001","2.0","-9.320599999999999","2.0","-9.3192","2.0","-9.3168","2.0","-9.313600000000001","2.0","-9.3097","2.0","-9.3051","2.0","-9.3001","2.0","-9.2948","2.0","-9.2893","2.0","-9.2837","2.0","-9.2783","2.0","-9.273","2.0","-9.268","2.0","-9.2634","2.0","-9.2593","2.0","-9.255500000000001","2.0","-9.2522","2.0","-9.249400000000001","2.0","-9.247","2.0","-9.2452","2.0","-9.2438","2.0","-9.243","2.0","-9.2427","2.0","-9.2426","2.0","-9.2424","2.0","-9.2421","2.0","-9.2416","2.0","-9.2409","2.0","-9.24","2.0","-9.238900000000001","2.0","-9.2377","2.0","-9.2364","2.0","-9.2351","2.0","-9.233699999999999","2.0","-9.2325","2.0","-9.231300000000001","2.0","-9.2303","2.0","-9.2295","2.0","-9.2289","2.0","-9.2285","2.0","-9.2284","2.0","-9.2286","2.0","-9.2293","2.0","-9.2304","2.0","-9.2318","2.0","-9.2334","2.0","-9.235199999999999","2.0","-9.2369","2.0","-9.2385","2.0","-9.2399","2.0","-9.241","2.0","-9.241800000000001","2.0","-9.2423","2.0","-9.2424","2.0","-9.2425","2.0","-9.2426","2.0","-9.2427","2.0","-9.242899999999999","2.0","-9.2431","2.0","-9.243300000000001","2.0","-9.243300000000001","2.0","-9.243300000000001","2.0","-9.2432","2.0","-9.2431","2.0","-9.242899999999999","2.0","-9.2427","2.0","-9.2427","2.0"
"12","-9.1562","2.0","-9.1558","2.0","-9.1546","2.0","-9.1526","2.0","-9.1501","2.0","-9.1471","2.0","-9.143799999999999","2.0","-9.1404","2.0","-9.1369","2.0","-9.133700000000001","2.0","-9.1308","2.0","-9.1282","2.0","-9.126100000000001","2.0","-9.124600000000001","2.0","-9.1236","2.0","-9.123000000000001","2.0","-9.1228","2.0","-9.1228","2.0","-9.1231","2.0","-9.1234","2.0","-9.1237","2.0","-9.123899999999999","2.0","-9.123999999999999","2.0","-9.1242","2.0","-9.1241","2.0","-9.1241","2.0","-9.1243","2.0","-9.124600000000001","2.0","-9.125399999999999","2.0","-9.1266","2.0","-9.1286","2.0","-9.1313","2.0","-9.1348","2.0","-9.1388","2.0","-9.1434","2.0","-9.1482","2.0","-9.153","2.0","-9.157399999999999","2.0","-9.161200000000001","2.0","-9.164100000000001","2.0","-9.166","2.0","-9.166599999999999","2.0","-9.1665","2.0","-9.1662","2.0","-9.165700000000001","2.0","-9.165099999999999","2.0","-9.1644","2.0","-9.163599999999999","2.0","-9.162700000000001","2.0","-9.1619","2.0","-9.161200000000001","2.0","-9.1606","2.0","-9.1601","2.0","-9.1598","2.0","-9.1597","2.0","-9.1592","2.0","-9.1576","2.0","-9.155100000000001","2.0","-9.151900000000001","2.0","-9.148","2.0","-9.143799999999999","2.0","-9.1396","2.0","-9.1354","2.0","-9.1317","2.0","-9.128499999999999","2.0","-9.126100000000001","2.0","-9.1247","2.0","-9.1242","2.0"
"13","-7.3374","2.0","-7.3381","2.0","-7.3404","2.0","-7.3444","2.0","-7.3505","2.0","-7.3598","2.0","-7.3759","2.0","-7.4087000000000005","2.0","-7.4728","2.0","-7.5639","2.0","-7.6671000000000005","2.0","-7.7745","2.0","-7.8823","2.0","-7.9881","2.0","-8.09","2.0","-8.186499999999999","2.0","-8.276","2.0","-8.357199999999999","2.0","-8.428799999999999","2.0","-8.4894","2.0","-8.538","2.0","-8.5735","2.0","-8.5951","2.0","-8.6024","2.0","-8.5945","2.0","-8.571","2.0","-8.5326","2.0","-8.4803","2.0","-8.415700000000001","2.0","-8.340399999999999","2.0","-8.2562","2.0","-8.1652","2.0","-8.069600000000001","2.0","-7.9718","2.0","-7.8745","2.0","-7.7804","2.0","-7.6927","2.0","-7.6145000000000005","2.0","-7.5491","2.0","-7.4997","2.0","-7.4689","2.0","-7.4584","2.0","-7.4686","2.0","-7.498","2.0","-7.5438","2.0","-7.6016","2.0","-7.667","2.0","-7.7353000000000005","2.0","-7.8023","2.0","-7.8646","2.0","-7.9192","2.0","-7.9639","2.0","-7.9971","2.0","-8.0174","2.0","-8.0243","2.0","-8.0341","2.0","-8.0628","2.0","-8.107700000000001","2.0","-8.165099999999999","2.0","-8.230699999999999","2.0","-8.299900000000001","2.0","-8.3687","2.0","-8.4333","2.0","-8.4906","2.0","-8.538","2.0","-8.5733","2.0","-8.594999999999999","2.0","-8.6024","2.0"
"14","-6.8755","2.0","-6.8857","2.0","-6.9156","2.0","-6.9636000000000005","2.0","-7.0267","2.0","-7.1009","2.0","-7.1798","2.0","-7.2505","2.0","-7.2955","2.0","-7.317","2.0","-7.3274","2.0","-7.3327","2.0","-7.3351","2.0","-7.3354","2.0","-7.3342","2.0","-7.3318","2.0","-7.3285","2.0","-7.3246","2.0","-7.3206","2.0","-7.3167","2.0","-7.3133","2.0","-7.3107","2.0","-7.309","2.0","-7.3084","2.0","-7.3093","2.0","-7.312","2.0","-7.3163","2.0","-7.3217","2.0","-7.3279","2.0","-7.3342","2.0","-7.3403","2.0","-7.3456","2.0","-7.35","2.0","-7.3532","2.0","-7.3553","2.0","-7.3563","2.0","-7.3565000000000005","2.0","-7.3561","2.0","-7.3554","2.0","-7.3547","2.0","-7.3542000000000005","2.0","-7.354","2.0","-7.3535","2.0","-7.3518","2.0","-7.3491","2.0","-7.3456","2.0","-7.3414","2.0","-7.3369","2.0","-7.3322","2.0","-7.3277","2.0","-7.3236","2.0","-7.3201","2.0","-7.3175","2.0","-7.3159","2.0","-7.3153","2.0","-7.3152","2.0","-7.3149","2.0","-7.3145","2.0","-7.3139","2.0","-7.3131","2.0","-7.3123000000000005","2.0","-7.3115","2.0","-7.3107","2.0","-7.3100000000000005","2.0","-7.3093","2.0","-7.3088","2.0","-7.3085","2.0","-7.3084","2.0"
"15","-5.0443","2.0","-5.045","2.0","-5.0471","2.0","-5.0507","2.0","-5.0559","2.0","-5.0624","2.0","-5.0695","2.0","-5.0763","2.0","-5.0824","2.0","-5.0872","2.0","-5.0902","2.0","-5.0914","2.0","-5.0906","2.0","-5.088","2.0","-5.0837","2.0","-5.078","2.0","-5.071400000000001","2.0","-5.0644","2.0","-5.0576","2.0","-5.0517","2.0","-5.0471","2.0","-5.0440000000000005","2.0","-5.0422","2.0","-5.0417000000000005","2.0","-5.0418","2.0","-5.042400000000001","2.0","-5.0435","2.0","-5.0494","2.0","-5.0577000000000005","2.0","-5.065300000000001","2.0","-5.0716","2.0","-5.075699999999999","2.0","-5.0774","2.0","-5.0763","2.0","-5.0727","2.0","-5.0699000000000005","2.0","-5.074","2.0","-5.0779","2.0","-5.081300000000001","2.0","-5.084","2.0","-5.0857","2.0","-5.0863","2.0","-5.0853","2.0","-5.0825","2.0","-5.0781","2.0","-5.0727","2.0","-5.0666","2.0","-5.0604","2.0","-5.0643","2.0","-5.0705","2.0","-5.0761","2.0","-5.0808","2.0","-5.084300000000001","2.0","-5.0864","2.0","-5.0872","2.0","-5.0864","2.0","-5.0842","2.0","-5.0806000000000004","2.0","-5.0758","2.0","-5.07","2.0","-5.0634","2.0","-5.0565","2.0","-5.0496","2.0","-5.0431","2.0","-5.0405","2.0","-5.0412","2.0","-5.0415","2.0","-5.0417000000000005","2.0"
"16","-5.0291999999999994","2.0","-5.030200000000001","2.0","-5.0328","2.0","-5.0365","2.0","-5.0405","2.0","-5.0443","2.0","-5.0476","2.0","-5.0503","2.0","-5.0525","2.0","-5.0541","2.0","-5.0550999999999995","2.0","-5.055400000000001","2.0","-5.0550999999999995","2.0","-5.0542","2.0","-5.0527","2.0","-5.0507","2.0","-5.0483","2.0","-5.0455000000000005","2.0","-5.042400000000001","2.0","-5.0390999999999995","2.0","-5.0357","2.0","-5.032500000000001","2.0","-5.0303","2.0","-5.0296","2.0","-5.031000000000001","2.0","-5.0352","2.0","-5.0417000000000005","2.0","-5.0449","2.0","-5.0466999999999995","2.0","-5.0489","2.0","-5.0516000000000005","2.0","-5.054600000000001","2.0","-5.058","2.0","-5.0617","2.0","-5.0657","2.0","-5.067","2.0","-5.059900000000001","2.0","-5.0522","2.0","-5.045","2.0","-5.039","2.0","-5.035","2.0","-5.0337","2.0","-5.0344999999999995","2.0","-5.0369","2.0","-5.0407","2.0","-5.0457","2.0","-5.0515","2.0","-5.0578","2.0","-5.0542","2.0","-5.0484","2.0","-5.0433","2.0","-5.0390999999999995","2.0","-5.0359","2.0","-5.0339","2.0","-5.0332","2.0","-5.0334","2.0","-5.0337","2.0","-5.0342","2.0","-5.0349","2.0","-5.0358","2.0","-5.0367999999999995","2.0","-5.037800000000001","2.0","-5.0388","2.0","-5.0397","2.0","-5.0375","2.0","-5.0332","2.0","-5.0305","2.0","-5.0296","2.0"
"17","-3.6619","2.0","-3.6623","2.0","-3.6484","2.0","-3.6203000000000003","2.0","-3.5786000000000002","2.0","-3.524","2.0","-3.4568000000000003","2.0","-3.3776","2.0","-3.287","2.0","-3.1856999999999998","2.0","-3.0745","2.0","-2.9545000000000003","2.0","-2.827","2.0","-2.6943","2.0","-2.5620000000000003","2.0","-2.4572000000000003","2.0","-2.4353000000000002","2.0","-2.4559","2.0","-2.4859","2.0","-2.5159000000000002","2.0","-2.5417","2.0","-2.5614","2.0","-2.5737","2.0","-2.5779","2.0","-2.5741","2.0","-2.5628","2.0","-2.5448000000000004","2.0","-2.5208","2.0","-2.4921","2.0","-2.4599","2.0","-2.4252000000000002","2.0","-2.5456000000000003","2.0","-2.7115","2.0","-2.8677","2.0","-3.0119","2.0","-3.1424000000000003","2.0","-3.2578","2.0","-3.3567","2.0","-3.4377","2.0","-3.4984","2.0","-3.5362","2.0","-3.5491","2.0","-3.5500000000000003","2.0","-3.5501","2.0","-3.5468","2.0","-3.5397000000000003","2.0","-3.5295","2.0","-3.5171","2.0","-3.5036","2.0","-3.4899","2.0","-3.4769","2.0","-3.4657","2.0","-3.4569","2.0","-3.4514","2.0","-3.4495","2.0","-3.4264","2.0","-3.3582","2.0","-3.248","2.0","-3.1005000000000003","2.0","-2.9219","2.0","-2.7194000000000003","2.0","-2.5022","2.0","-2.4575","2.0","-2.4989","2.0","-2.5326","2.0","-2.5575","2.0","-2.5728","2.0","-2.5779","2.0"
"18","-3.6613","2.0","-3.6457","2.0","-3.6148000000000002","2.0","-3.5697","2.0","-3.5115","2.0","-3.4411","2.0","-3.3593","2.0","-3.2668","2.0","-3.1645000000000003","2.0","-3.0532000000000004","2.0","-2.9343000000000004","2.0","-2.8095","2.0","-2.6816","2.0","-2.5555000000000003","2.0","-2.4426","2.0","-2.3531","2.0","-2.2427","2.0","-2.1747","2.0","-2.1653000000000002","2.0","-2.1655","2.0","-2.169","2.0","-2.173","2.0","-2.176","2.0","-2.1771000000000003","2.0","-2.1736","2.0","-2.1636","2.0","-2.1491000000000002","2.0","-2.1344000000000003","2.0","-2.1314","2.0","-2.2068000000000003","2.0","-2.3738","2.0","-2.3893","2.0","-2.4565","2.0","-2.6116","2.0","-2.7664","2.0","-2.9128","2.0","-3.0447","2.0","-3.1573","2.0","-3.2469","2.0","-3.3116000000000003","2.0","-3.3505000000000003","2.0","-3.3634000000000004","2.0","-3.3382","2.0","-3.2663","2.0","-3.1543","2.0","-3.0087","2.0","-2.8367","2.0","-2.6471","2.0","-2.4506","2.0","-2.2600000000000002","2.0","-2.2013","2.0","-2.2166","2.0","-2.2286","2.0","-2.2362","2.0","-2.2389","2.0","-2.2377000000000002","2.0","-2.2346","2.0","-2.2321","2.0","-2.2521","2.0","-2.3029","2.0","-2.3574","2.0","-2.4097","2.0","-2.2866","2.0","-2.1584000000000003","2.0","-2.1545","2.0","-2.166","2.0","-2.1742","2.0","-2.1771000000000003","2.0"
"19","-3.5056000000000003","2.0","-3.4935","2.0","-3.4576000000000002","2.0","-3.3985000000000003","2.0","-3.3181000000000003","2.0","-3.2192","2.0","-3.1053","2.0","-2.9802","2.0","-2.8484","2.0","-2.7153","2.0","-2.5875000000000004","2.0","-2.4741","2.0","-2.3853","2.0","-2.3281","2.0","-2.2943000000000002","2.0","-2.2516","2.0","-2.1994000000000002","2.0","-2.1291","2.0","-2.0883000000000003","2.0","-2.0966","2.0","-2.1124","2.0","-2.1256","2.0","-2.1339","2.0","-2.1367000000000003","2.0","-2.1345","2.0","-2.128","2.0","-2.1176","2.0","-2.1038","2.0","-2.087","2.0","-2.1238","2.0","-2.1975000000000002","2.0","-2.3127","2.0","-2.3533","2.0","-2.3178","2.0","-2.2834000000000003","2.0","-2.2504","2.0","-2.2185","2.0","-2.1878","2.0","-2.1584000000000003","2.0","-2.1319","2.0","-2.1121","2.0","-2.1044","2.0","-2.1058000000000003","2.0","-2.1097","2.0","-2.1162","2.0","-2.1253","2.0","-2.1369000000000002","2.0","-2.1509","2.0","-2.1669","2.0","-2.1842","2.0","-2.0901","2.0","-2.0768","2.0","-2.0867","2.0","-2.0925000000000002","2.0","-2.0944000000000003","2.0","-2.1064","2.0","-2.1386000000000003","2.0","-2.1813000000000002","2.0","-2.2064","2.0","-2.2017","2.0","-2.1916","2.0","-2.1802","2.0","-2.1689","2.0","-2.1562","2.0","-2.1493","2.0","-2.1424000000000003","2.0","-2.1381","2.0","-2.1367000000000003","2.0"
"20","-1.5451000000000001","2.0","-1.5490000000000002","2.0","-1.56","2.0","-1.5772000000000002","2.0","-1.6011000000000002","2.0","-1.6322","2.0","-1.6703000000000001","2.0","-1.7143000000000002","2.0","-1.7628000000000001","2.0","-1.8138","2.0","-1.8648","2.0","-1.9124","2.0","-1.9523000000000001","2.0","-1.9792","2.0","-1.9893","2.0","-1.9814","2.0","-1.9701","2.0","-1.9633","2.0","-1.8940000000000001","2.0","-1.7794","2.0","-1.6666","2.0","-1.5724","2.0","-1.5076","2.0","-1.4835","2.0","-1.5106000000000002","2.0","-1.5872000000000002","2.0","-1.7037","2.0","-1.8487","2.0","-2.0081","2.0","-2.0677000000000003","2.0","-2.0461","2.0","-2.0222","2.0","-1.9956","2.0","-1.9660000000000002","2.0","-1.9331","2.0","-1.8971","2.0","-1.8591000000000002","2.0","-1.8222","2.0","-1.7954","2.0","-1.7957","2.0","-1.8137","2.0","-1.8227000000000002","2.0","-1.8279","2.0","-1.8445","2.0","-1.8729","2.0","-1.9092","2.0","-1.9478","2.0","-1.9844","2.0","-2.0162","2.0","-2.0422000000000002","2.0","-2.0622","2.0","-1.9546000000000001","2.0","-1.8614000000000002","2.0","-1.8095","2.0","-1.7933000000000001","2.0","-1.8048000000000002","2.0","-1.8351000000000002","2.0","-1.8762","2.0","-1.9214","2.0","-1.9664000000000001","2.0","-2.0082","2.0","-2.044","2.0","-2.0659","2.0","-2.0011","2.0","-1.82","2.0","-1.6543","2.0","-1.5352000000000001","2.0","-1.4835","2.0"
"21","-1.5115","2.0","-1.5091","2.0","-1.504","2.0","-1.4993","2.0","-1.4991","2.0","-1.5073","2.0","-1.5250000000000001","2.0","-1.5511000000000001","2.0","-1.5842","2.0","-1.6231","2.0","-1.6666","2.0","-1.7132","2.0","-1.7611","2.0","-1.8083","2.0","-1.8519","2.0","-1.8844","2.0","-1.8762","2.0","-1.8032000000000001","2.0","-1.7040000000000002","2.0","-1.6061","2.0","-1.5233","2.0","-1.4638","2.0","-1.4309","2.0","-1.4214","2.0","-1.4288","2.0","-1.453","2.0","-1.4957","2.0","-1.5559","2.0","-1.6269","2.0","-1.6901000000000002","2.0","-1.7194","2.0","-1.7071","2.0","-1.6667","2.0","-1.6114000000000002","2.0","-1.5498","2.0","-1.5174","2.0","-1.5774000000000001","2.0","-1.6327","2.0","-1.6736","2.0","-1.6829","2.0","-1.6700000000000002","2.0","-1.6626","2.0","-1.6689","2.0","-1.6813","2.0","-1.6895","2.0","-1.6903000000000001","2.0","-1.6853","2.0","-1.6767","2.0","-1.6663000000000001","2.0","-1.6555","2.0","-1.6453","2.0","-1.6365","2.0","-1.6298000000000001","2.0","-1.6255000000000002","2.0","-1.6241","2.0","-1.6117000000000001","2.0","-1.5782","2.0","-1.5307000000000002","2.0","-1.4753","2.0","-1.4164","2.0","-1.385","2.0","-1.3848","2.0","-1.385","2.0","-1.3861","2.0","-1.3887","2.0","-1.3946","2.0","-1.4071","2.0","-1.4214","2.0"
"22","-1.4340000000000002","2.0","-1.4345","2.0","-1.4359000000000002","2.0","-1.4374","2.0","-1.4372","2.0","-1.4345","2.0","-1.4335","2.0","-1.4420000000000002","2.0","-1.4594","2.0","-1.4773","2.0","-1.4871","2.0","-1.4801000000000002","2.0","-1.4483000000000001","2.0","-1.3877000000000002","2.0","-1.3070000000000002","2.0","-1.2375","2.0","-1.1978","2.0","-1.1731","2.0","-1.1544","2.0","-1.1385","2.0","-1.1246","2.0","-1.113","2.0","-1.1051000000000002","2.0","-1.1022","2.0","-1.1053000000000002","2.0","-1.1144","2.0","-1.1295000000000002","2.0","-1.1506","2.0","-1.1777000000000002","2.0","-1.2106000000000001","2.0","-1.2494","2.0","-1.294","2.0","-1.3439","2.0","-1.3986","2.0","-1.457","2.0","-1.4873","2.0","-1.4288","2.0","-1.3783","2.0","-1.3394000000000001","2.0","-1.3133000000000001","2.0","-1.3136","2.0","-1.3257","2.0","-1.3094000000000001","2.0","-1.3049000000000002","2.0","-1.3170000000000002","2.0","-1.3326","2.0","-1.3504","2.0","-1.3688","2.0","-1.3862","2.0","-1.4004","2.0","-1.4093","2.0","-1.411","2.0","-1.4055","2.0","-1.3965","2.0","-1.3918000000000001","2.0","-1.3906","2.0","-1.3887","2.0","-1.3873000000000002","2.0","-1.3863","2.0","-1.3856000000000002","2.0","-1.357","2.0","-1.2994","2.0","-1.2457","2.0","-1.1979000000000002","2.0","-1.1579000000000002","2.0","-1.1276000000000002","2.0","-1.1087","2.0","-1.1022","2.0"
"23","-1.3035","2.0","-1.3051000000000001","2.0","-1.31","2.0","-1.3179","2.0","-1.3286","2.0","-1.3407","2.0","-1.3495000000000001","2.0","-1.3478","2.0","-1.3344","2.0","-1.3141","2.0","-1.2903","2.0","-1.2644000000000002","2.0","-1.237","2.0","-1.2063000000000001","2.0","-1.1645","2.0","-1.0893000000000002","2.0","-0.9777000000000001","2.0","-0.8726","2.0","-0.8084000000000001","2.0","-0.7701000000000001","2.0","-0.7408000000000001","2.0","-0.7171000000000001","2.0","-0.7005000000000001","2.0","-0.6938000000000001","2.0","-0.6974000000000001","2.0","-0.7143","2.0","-0.7392000000000001","2.0","-0.7687","2.0","-0.8011","2.0","-0.8355000000000001","2.0","-0.8712000000000001","2.0","-0.9071000000000001","2.0","-0.9419000000000001","2.0","-0.9748000000000001","2.0","-1.0251000000000001","2.0","-1.0778","2.0","-1.1318000000000001","2.0","-1.1856","2.0","-1.2367000000000001","2.0","-1.2814","2.0","-1.2991000000000001","2.0","-1.2946","2.0","-1.2973000000000001","2.0","-1.2665000000000002","2.0","-1.2072","2.0","-1.1394000000000002","2.0","-1.1321","2.0","-1.1621000000000001","2.0","-1.1934","2.0","-1.2243","2.0","-1.2533","2.0","-1.2793","2.0","-1.3011000000000001","2.0","-1.3171000000000002","2.0","-1.3236","2.0","-1.3099","2.0","-1.2712","2.0","-1.2148","2.0","-1.1480000000000001","2.0","-1.0762","2.0","-1.0034","2.0","-0.9326000000000001","2.0","-0.8667","2.0","-0.8082","2.0","-0.7593000000000001","2.0","-0.7221000000000001","2.0","-0.6985000000000001","2.0","-0.6938000000000001","2.0"
"24","-1.0347","2.0","-1.0367000000000002","2.0","-1.0421","2.0","-1.0495","2.0","-1.0564","2.0","-1.0602","2.0","-1.0587","2.0","-1.0509","2.0","-1.037","2.0","-1.0179","2.0","-0.9949000000000001","2.0","-0.9693","2.0","-0.9419000000000001","2.0","-0.9135000000000001","2.0","-0.8846","2.0","-0.8552000000000001","2.0","-0.8251000000000001","2.0","-0.7936000000000001","2.0","-0.7625000000000001","2.0","-0.7360000000000001","2.0","-0.7155","2.0","-0.7008000000000001","2.0","-0.6924000000000001","2.0","-0.6903","2.0","-0.6966000000000001","2.0","-0.7074","2.0","-0.7240000000000001","2.0","-0.7464000000000001","2.0","-0.7739","2.0","-0.8062","2.0","-0.8427000000000001","2.0","-0.8831000000000001","2.0","-0.9271","2.0","-0.9741000000000001","2.0","-1.0030000000000001","2.0","-1.0269","2.0","-1.0449000000000002","2.0","-1.0559","2.0","-1.0595","2.0","-1.0571000000000002","2.0","-1.0528","2.0","-1.0507","2.0","-1.0543","2.0","-1.0649000000000002","2.0","-1.0821","2.0","-1.1049000000000002","2.0","-1.0682","2.0","-0.9968000000000001","2.0","-0.9281","2.0","-0.8644000000000001","2.0","-0.8082","2.0","-0.7615000000000001","2.0","-0.7265","2.0","-0.7047000000000001","2.0","-0.6973","2.0","-0.6972","2.0","-0.6967000000000001","2.0","-0.6961","2.0","-0.6953","2.0","-0.6945000000000001","2.0","-0.6938000000000001","2.0","-0.6932","2.0","-0.6929000000000001","2.0","-0.6929000000000001","2.0","-0.6931","2.0","-0.6934000000000001","2.0","-0.6936000000000001","2.0","-0.6903","2.0"
"25","-1.0232","2.0","-1.0245000000000002","2.0","-1.0278","2.0","-1.0317","2.0","-1.0344000000000002","2.0","-1.0339","2.0","-1.0288","2.0","-1.0184000000000002","2.0","-1.0027","2.0","-0.9823000000000001","2.0","-0.9580000000000001","2.0","-0.9306000000000001","2.0","-0.9008","2.0","-0.8691000000000001","2.0","-0.8355000000000001","2.0","-0.7988000000000001","2.0","-0.7538","2.0","-0.682","2.0","-0.5647000000000001","2.0","-0.42390000000000017","2.0","-0.2864","2.0","-0.17000000000000015","2.0","-0.09079999999999999","2.0","-0.06240000000000001","2.0","-0.0959000000000001","2.0","-0.18380000000000019","2.0","-0.3003","2.0","-0.4213","2.0","-0.5310000000000001","2.0","-0.6216","2.0","-0.6918000000000001","2.0","-0.7446","2.0","-0.7841000000000001","2.0","-0.8140000000000001","2.0","-0.8372","2.0","-0.8555","2.0","-0.8704000000000001","2.0","-0.8825000000000001","2.0","-0.8925000000000001","2.0","-0.9004000000000001","2.0","-0.9057000000000001","2.0","-0.9076000000000001","2.0","-0.9057000000000001","2.0","-0.9000000000000001","2.0","-0.8898","2.0","-0.8742000000000001","2.0","-0.8517000000000001","2.0","-0.8200000000000001","2.0","-0.7760000000000001","2.0","-0.7153","2.0","-0.6345000000000001","2.0","-0.5345","2.0","-0.4273","2.0","-0.3397000000000001","2.0","-0.30500000000000016","2.0","-0.3043","2.0","-0.3022","2.0","-0.2983","2.0","-0.2923","2.0","-0.2836000000000001","2.0","-0.2713000000000001","2.0","-0.25429999999999997","2.0","-0.2310000000000001","2.0","-0.20000000000000018","2.0","-0.16100000000000003","2.0","-0.11699999999999999","2.0","-0.07850000000000001","2.0","-0.06240000000000001","2.0"
