          52  0.403863013       1.41110206       1.48556006       1.63171506       1.91585195       2.00963712       2.05661988       2.18400097       3.83881307       3.89031291       3.95255208       5.45803499       7.03873491       8.07336140       8.90983772       8.91148281       10.1505041       10.3183069       10.5993567       11.0217266       11.7565861    
          53  0.454035997       1.41979206       1.51207495       1.64334095       1.86584198       1.99562204       2.11050797       2.21677899       3.63901210       3.82196212       3.91928411       5.66146708       7.16085196       8.14957714       8.83179855       8.86520195       10.0373983       10.3144684       10.6363468       10.9829254       11.4391546    
          54  0.518450975       1.44122303       1.54750597       1.65983903       1.82818305       1.98011696       2.15548205       2.26656294       3.39914703       3.71383691       3.87107205       5.90703583       7.35436821       8.23981285       8.71862698       8.80630779       9.94896507       10.4139900       10.6262589       10.7832384       11.1239872    
          55  0.584330976       1.47156703       1.58763397       1.67813504       1.80626798       1.97098899       2.19811296       2.31868196       3.17391706       3.57373500       3.80795002       6.14887094       7.61386490       8.25140476       8.63717842       8.79725933       9.93304253       10.4946136       10.6488323       10.8267479       11.5372219    
          56  0.637171984       1.50202799       1.62212396       1.70091403       1.80021095       1.97404599       2.24047995       2.36393094       2.99468994       3.41232109       3.73260403       6.36379385       7.92683220       8.17705441       8.56488132       8.92214012       9.94091034       10.4784918       10.6331701       10.9286394       11.5626802    
          57  0.668734014       1.52664602       1.64078403       1.72418797       1.81055605       1.98897600       2.27494097       2.41131210       2.87067604       3.24186206       3.64825010       6.54128790       8.13112831       8.27853489       8.48849773       9.11137867       9.98503113       10.4948387       10.6806889       11.1362791       11.5604630    
          58  0.679087996       1.54345298       1.64814103       1.73776197       1.83264399       2.00909805       2.30589199       2.47387505       2.78433800       3.07612896       3.55999589       6.67834902       8.16523647       8.41352367       8.65462399       9.30113697       10.0083723       10.5857162       10.6829090       11.3526506       11.6150417    
          59  0.673808992       1.55317700       1.64950299       1.73836803       1.86433494       2.02539206       2.35242105       2.54355502       2.71282005       2.92769790       3.47632408       6.78379297       8.25424290       8.37475872       9.01067257       9.45992947       9.94301414       10.7259684       11.1562185       11.2665186       11.5278873    
          60  0.661975980       1.55797803       1.64897799       1.73151600       1.89804399       2.03407598       2.41434503       2.59055901       2.66385198       2.81069708       3.41199899       6.85358095       8.28978443       8.43300629       9.28769684       9.69151878       9.95177174       10.7179079       10.8877630       11.5955248       11.7857018    
          61  0.655421019       1.55915403       1.64882803       1.72755694       1.91289306       2.03703690       2.45335889       2.58219194       2.66808796       2.75775599       3.38696289       6.87755919       8.28482246       8.48338509       9.38370991       9.64448261       9.83665276       10.4634943       10.8355742       10.9599247       11.8756981    
