         144 -0.192325994      -7.63010010E-02  -2.80000007E-04  0.101033002      0.375497013      0.414911002       4.92615891       5.65804005       5.87952518       6.16480494       6.31976795       6.47708988       6.96637821    
         145 -0.196170002      -7.81269968E-02  -7.07999978E-04  0.100424998      0.374125987      0.414802015       4.93783998       5.64096689       5.87754011       6.16678905       6.32679605       6.48768377       6.94851112    
         146 -0.200045004      -8.00909996E-02  -1.15799997E-03   9.99289975E-02  0.372741997      0.414683998       4.94981718       5.62232113       5.87573290       6.16890287       6.33418179       6.49849415       6.93562222    
         147 -0.203949004      -8.21919963E-02  -1.62500003E-03   9.95469987E-02  0.371347010      0.414559007       4.96208096       5.60210085       5.87410307       6.17117596       6.34192085       6.50948000       6.92360210    
         148 -0.207881004      -8.44269991E-02  -2.10199994E-03   9.92780030E-02  0.369944006      0.414427012       4.97462416       5.58032990       5.87264395       6.17363882       6.34999609       6.52056885       6.91344118    
         149 -0.211836994      -8.67939964E-02  -2.58100010E-03   9.91220027E-02  0.368535995      0.414288998       4.98743296       5.55703878       5.87134600       6.17630911       6.35838985       6.53170776       6.90671110    
         150 -0.215814993      -8.92900005E-02  -3.05299996E-03   9.90770012E-02  0.367127001      0.414146006       5.00049400       5.53227615       5.87019587       6.17920399       6.36709404       6.54282522       6.89312220    
         151 -0.219811007      -9.19099972E-02  -3.50799994E-03   9.91379991E-02  0.365718991      0.414000005       5.01379108       5.50610590       5.86918306       6.18233585       6.37608814       6.55383492       6.88515377    
         152 -0.223824993      -9.46490020E-02  -3.93800018E-03   9.93020013E-02  0.364315003      0.413850009       5.02730083       5.47860003       5.86829376       6.18570995       6.38535500       6.56467104       6.88055706    
         153 -0.227852002      -9.75029990E-02  -4.33300016E-03   9.95640010E-02  0.362921000      0.413697988       5.04099798       5.44984913       5.86751413       6.18933296       6.39487791       6.57523012       6.87661791    
         154 -0.231891006     -0.100465998      -4.68399981E-03   9.99189988E-02  0.361539990      0.413543999       5.05483723       5.41995621       5.86683321       6.19319677       6.40463400       6.58542585       6.87024307    
         155 -0.235937998     -0.103532001      -4.98000020E-03  0.100362003      0.360175997      0.413390994       5.06875801       5.38905287       5.86623907       6.19731092       6.41460800       6.59533215       6.86773777    
         156 -0.239990994     -0.106692001      -5.21299988E-03  0.100887001      0.358832985      0.413237989       5.08265686       5.35730982       5.86571980       6.20165777       6.42476082       6.60445595       6.86791897    
         157 -0.244047001     -0.109940998      -5.37300017E-03  0.101488002      0.357515991      0.413087994       5.09635305       5.32498503       5.86527014       6.20623589       6.43508720       6.61314487       6.86860991    
         158 -0.248101994     -0.113269001      -5.45099983E-03  0.102159001      0.356229991      0.412939996       5.10946798       5.29252005       5.86487913       6.21103096       6.44551802       6.62112379       6.87132502    
         159 -0.252155989     -0.116668999      -5.43900020E-03  0.102894001      0.354979992      0.412797004       5.12113714       5.26084614       5.86454105       6.21603012       6.45605421       6.62856197       6.87607813    
         160 -0.256202996     -0.120131999      -5.32800006E-03  0.103687003      0.353772998      0.412660003       5.12908602       5.23231316       5.86424780       6.22121477       6.46662903       6.63541794       6.88285685    
         161 -0.260241002     -0.123649001      -5.11100003E-03  0.104533002      0.352613002      0.412530005       5.12759686       5.21270323       5.86399794       6.22657919       6.47720289       6.64174795       6.88790607    
         162 -0.264266998     -0.127210006      -4.78000008E-03  0.105428003      0.351507992      0.412409008       5.11044979       5.20830011       5.86378384       6.23209810       6.48772192       6.64769983       6.89719105    
         163 -0.268278003     -0.130806997      -4.32700012E-03  0.106365003      0.350463986      0.412297994       5.08148193       5.21533203       5.86360407       6.23775721       6.49811697       6.65335798       6.91015816    
         164 -0.272271007     -0.134430006      -3.74599989E-03  0.107340001      0.349487007      0.412198991       5.04713202       5.22741795       5.86345482       6.24353313       6.50830603       6.65914106       6.92087078    
         165 -0.276243001     -0.138071001      -3.03000002E-03  0.108347997      0.348583996      0.412113994       5.01031208       5.24170399       5.86333513       6.24940777       6.51820993       6.66449785       6.93208218    
         166 -0.280191004     -0.141719997      -2.17300002E-03  0.109385997      0.347763002      0.412045002       4.97214794       5.25712490       5.86324120       6.25536108       6.52776480       6.67035294       6.94441986    
         167 -0.284110993     -0.145366997      -1.16900005E-03  0.110448003      0.347030997      0.411994010       4.93314123       5.27322721       5.86317110       6.26136684       6.53681803       6.67656279       6.95638704    
         168 -0.288001001     -0.149003997      -1.20000004E-05  0.111529000      0.346395999      0.411963999       4.89356089       5.28979206       5.86312485       6.26740408       6.54533911       6.68337297       6.97319603    
         169 -0.291857004     -0.152622998       1.30200002E-03  0.112627998      0.345865995      0.411956996       4.85357380       5.30670214       5.86310291       6.27344799       6.55331278       6.69189405       6.99402189    
         170 -0.295677990     -0.156213999       2.77599995E-03  0.113739997      0.345449001      0.411976993       4.81330204       5.32388592       5.86310196       6.27946806       6.56066084       6.69874382       7.00507116    
         171 -0.299459010     -0.159768999       4.41600010E-03  0.114863001      0.345153987      0.412028015       4.77283716       5.34130287       5.86312294       6.28544521       6.56707096       6.70762682       7.01349592    
         172 -0.303196996     -0.163278997       6.22300012E-03  0.115992002      0.344989985      0.412113994       4.73225689       5.35890484       5.86316490       6.29134893       6.57302618       6.71732807       7.01678896    
         173 -0.306890011     -0.166737005       8.19899980E-03  0.117123999      0.344965011      0.412238002       4.69162989       5.37667322       5.86323023       6.29715490       6.57853079       6.72800493       7.01929617    
