"","KPoint 1","","KPoint 2","","KPoint 3","","KPoint 4","","KPoint 5","","KPoint 6","","KPoint 7","","KPoint 8","","KPoint 9","","KPoint 10","","KPoint 11","","KPoint 12","","KPoint 13","","KPoint 14",""
"Band","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ"
"20","-18.409299999999998","2.0","-18.4073","2.0","-18.410899999999998","2.0","-18.4082","2.0","-18.4082","2.0","-18.409499999999998","2.0","-18.4072","2.0","-18.4072","2.0","-18.4112","2.0","-18.4086","2.0","-18.4085","2.0","-18.4112","2.0","-18.4086","2.0","-18.4085","2.0"
"21","-18.4056","2.0","-18.4067","2.0","-18.4044","2.0","-18.4071","2.0","-18.4071","2.0","-18.404999999999998","2.0","-18.4069","2.0","-18.4069","2.0","-18.4039","2.0","-18.4066","2.0","-18.4066","2.0","-18.4039","2.0","-18.4066","2.0","-18.4066","2.0"
"22","-18.4027","2.0","-18.4054","2.0","-18.402","2.0","-18.4047","2.0","-18.4047","2.0","-18.4036","2.0","-18.406299999999998","2.0","-18.406299999999998","2.0","-18.4027","2.0","-18.4054","2.0","-18.4055","2.0","-18.4027","2.0","-18.4054","2.0","-18.4054","2.0"
"23","-18.3997","2.0","-18.4023","2.0","-18.4015","2.0","-18.4041","2.0","-18.4041","2.0","-18.3995","2.0","-18.4021","2.0","-18.4021","2.0","-18.4012","2.0","-18.4038","2.0","-18.4038","2.0","-18.4012","2.0","-18.4038","2.0","-18.4038","2.0"
"24","-18.398699999999998","2.0","-18.4014","2.0","-18.4","2.0","-18.4027","2.0","-18.4027","2.0","-18.399","2.0","-18.401699999999998","2.0","-18.401699999999998","2.0","-18.4005","2.0","-18.4032","2.0","-18.4032","2.0","-18.4005","2.0","-18.4032","2.0","-18.4032","2.0"
"25","-18.374","2.0","-18.374","2.0","-18.3738","2.0","-18.3738","2.0","-18.3738","2.0","-18.3739","2.0","-18.3739","2.0","-18.3739","2.0","-18.3737","2.0","-18.3737","2.0","-18.3737","2.0","-18.3737","2.0","-18.3737","2.0","-18.3737","2.0"
"26","-18.374","2.0","-18.374","2.0","-18.3738","2.0","-18.3738","2.0","-18.3738","2.0","-18.3739","2.0","-18.3739","2.0","-18.3739","2.0","-18.3737","2.0","-18.3737","2.0","-18.3737","2.0","-18.3737","2.0","-18.3737","2.0","-18.3737","2.0"
"27","-18.3735","2.0","-18.3735","2.0","-18.3734","2.0","-18.3734","2.0","-18.3734","2.0","-18.3736","2.0","-18.3736","2.0","-18.3736","2.0","-18.3734","2.0","-18.3734","2.0","-18.3734","2.0","-18.3734","2.0","-18.3734","2.0","-18.3734","2.0"
"28","-18.3734","2.0","-18.3734","2.0","-18.3733","2.0","-18.3734","2.0","-18.3733","2.0","-18.3736","2.0","-18.3736","2.0","-18.3736","2.0","-18.3734","2.0","-18.3734","2.0","-18.3734","2.0","-18.3734","2.0","-18.3734","2.0","-18.3734","2.0"
"29","-18.3731","2.0","-18.3731","2.0","-18.3732","2.0","-18.3732","2.0","-18.3732","2.0","-18.372999999999998","2.0","-18.372999999999998","2.0","-18.372999999999998","2.0","-18.3732","2.0","-18.3732","2.0","-18.3732","2.0","-18.3732","2.0","-18.3732","2.0","-18.3732","2.0"
"30","-18.3731","2.0","-18.3731","2.0","-18.3732","2.0","-18.3732","2.0","-18.3732","2.0","-18.372999999999998","2.0","-18.372999999999998","2.0","-18.372999999999998","2.0","-18.3732","2.0","-18.3732","2.0","-18.3732","2.0","-18.3732","2.0","-18.3732","2.0","-18.3732","2.0"
"31","-18.3726","2.0","-18.3726","2.0","-18.372799999999998","2.0","-18.372799999999998","2.0","-18.372799999999998","2.0","-18.3727","2.0","-18.3727","2.0","-18.3727","2.0","-18.372899999999998","2.0","-18.372899999999998","2.0","-18.372899999999998","2.0","-18.372899999999998","2.0","-18.372899999999998","2.0","-18.372899999999998","2.0"
"32","-18.3725","2.0","-18.3725","2.0","-18.372799999999998","2.0","-18.372799999999998","2.0","-18.372799999999998","2.0","-18.3727","2.0","-18.3727","2.0","-18.3727","2.0","-18.372899999999998","2.0","-18.372899999999998","2.0","-18.372899999999998","2.0","-18.372899999999998","2.0","-18.372899999999998","2.0","-18.372899999999998","2.0"
"33","-18.3616","2.0","-18.3614","2.0","-18.3616","2.0","-18.3614","2.0","-18.3613","2.0","-18.3614","2.0","-18.3612","2.0","-18.3612","2.0","-18.3614","2.0","-18.3612","2.0","-18.3612","2.0","-18.3614","2.0","-18.3612","2.0","-18.3612","2.0"
"34","-18.3616","2.0","-18.3613","2.0","-18.3616","2.0","-18.3613","2.0","-18.3613","2.0","-18.3614","2.0","-18.3612","2.0","-18.3612","2.0","-18.3614","2.0","-18.3612","2.0","-18.3612","2.0","-18.3614","2.0","-18.3612","2.0","-18.3612","2.0"
"35","-18.3609","2.0","-18.3609","2.0","-18.3609","2.0","-18.3609","2.0","-18.3609","2.0","-18.3611","2.0","-18.360799999999998","2.0","-18.3609","2.0","-18.3611","2.0","-18.360799999999998","2.0","-18.3609","2.0","-18.3611","2.0","-18.360799999999998","2.0","-18.360799999999998","2.0"
"36","-18.3609","2.0","-18.3609","2.0","-18.3609","2.0","-18.3609","2.0","-18.3609","2.0","-18.361","2.0","-18.360799999999998","2.0","-18.360799999999998","2.0","-18.361","2.0","-18.360799999999998","2.0","-18.360799999999998","2.0","-18.361","2.0","-18.360799999999998","2.0","-18.360799999999998","2.0"
"37","-18.360699999999998","2.0","-18.360699999999998","2.0","-18.360699999999998","2.0","-18.360699999999998","2.0","-18.360699999999998","2.0","-18.360599999999998","2.0","-18.360799999999998","2.0","-18.360799999999998","2.0","-18.360599999999998","2.0","-18.360799999999998","2.0","-18.360799999999998","2.0","-18.360599999999998","2.0","-18.360799999999998","2.0","-18.360799999999998","2.0"
"38","-18.360699999999998","2.0","-18.360699999999998","2.0","-18.360699999999998","2.0","-18.360699999999998","2.0","-18.360699999999998","2.0","-18.360599999999998","2.0","-18.360799999999998","2.0","-18.360799999999998","2.0","-18.360599999999998","2.0","-18.360799999999998","2.0","-18.360799999999998","2.0","-18.360599999999998","2.0","-18.360799999999998","2.0","-18.360799999999998","2.0"
"39","-18.3601","2.0","-18.3603","2.0","-18.3601","2.0","-18.3603","2.0","-18.3603","2.0","-18.3603","2.0","-18.3605","2.0","-18.3604","2.0","-18.3602","2.0","-18.3605","2.0","-18.3604","2.0","-18.3602","2.0","-18.3604","2.0","-18.3604","2.0"
"40","-18.3601","2.0","-18.3603","2.0","-18.3601","2.0","-18.3603","2.0","-18.3603","2.0","-18.3602","2.0","-18.3604","2.0","-18.3604","2.0","-18.3602","2.0","-18.3604","2.0","-18.3604","2.0","-18.3602","2.0","-18.3604","2.0","-18.3604","2.0"
"41","-18.3495","2.0","-18.3493","2.0","-18.3492","2.0","-18.3491","2.0","-18.349","2.0","-18.3495","2.0","-18.3493","2.0","-18.3493","2.0","-18.3492","2.0","-18.3491","2.0","-18.349","2.0","-18.3492","2.0","-18.349","2.0","-18.349","2.0"
"42","-18.3494","2.0","-18.3493","2.0","-18.3492","2.0","-18.3491","2.0","-18.349","2.0","-18.3495","2.0","-18.3493","2.0","-18.3493","2.0","-18.3492","2.0","-18.3491","2.0","-18.349","2.0","-18.3492","2.0","-18.349","2.0","-18.349","2.0"
"43","-18.3488","2.0","-18.349","2.0","-18.3488","2.0","-18.3487","2.0","-18.3487","2.0","-18.3488","2.0","-18.349","2.0","-18.349","2.0","-18.3488","2.0","-18.3487","2.0","-18.3487","2.0","-18.3488","2.0","-18.3487","2.0","-18.3487","2.0"
"44","-18.3488","2.0","-18.349","2.0","-18.3487","2.0","-18.3487","2.0","-18.3487","2.0","-18.3488","2.0","-18.349","2.0","-18.349","2.0","-18.3488","2.0","-18.3487","2.0","-18.3487","2.0","-18.3487","2.0","-18.3487","2.0","-18.3487","2.0"
"45","-18.348499999999998","2.0","-18.3483","2.0","-18.348499999999998","2.0","-18.348599999999998","2.0","-18.348599999999998","2.0","-18.348499999999998","2.0","-18.3483","2.0","-18.3483","2.0","-18.348499999999998","2.0","-18.348599999999998","2.0","-18.348599999999998","2.0","-18.348499999999998","2.0","-18.348599999999998","2.0","-18.348499999999998","2.0"
"46","-18.348499999999998","2.0","-18.3483","2.0","-18.348499999999998","2.0","-18.348499999999998","2.0","-18.348499999999998","2.0","-18.348499999999998","2.0","-18.3483","2.0","-18.3483","2.0","-18.348499999999998","2.0","-18.348599999999998","2.0","-18.348499999999998","2.0","-18.348499999999998","2.0","-18.348499999999998","2.0","-18.348499999999998","2.0"
"47","-18.3479","2.0","-18.348","2.0","-18.3481","2.0","-18.3482","2.0","-18.3482","2.0","-18.3479","2.0","-18.348","2.0","-18.348","2.0","-18.3481","2.0","-18.3482","2.0","-18.3482","2.0","-18.3481","2.0","-18.3482","2.0","-18.3482","2.0"
