"","KPoint 1","","KPoint 2","","KPoint 3","","KPoint 4","","KPoint 5","","KPoint 6","","KPoint 7","","KPoint 8","","KPoint 9","","KPoint 10","","KPoint 11","","KPoint 12","","KPoint 13","","KPoint 14","","KPoint 15","","KPoint 16","","KPoint 17","","KPoint 18","","KPoint 19","","KPoint 20","","KPoint 21","","KPoint 22","","KPoint 23","","KPoint 24","","KPoint 25","","KPoint 26","","KPoint 27","","KPoint 28","","KPoint 29","","KPoint 30","","KPoint 31","","KPoint 32","","KPoint 33","","KPoint 34","","KPoint 35","","KPoint 36","","KPoint 37","","KPoint 38","","KPoint 39","","KPoint 40","","KPoint 41","","KPoint 42","","KPoint 43","","KPoint 44","","KPoint 45","","KPoint 46","","KPoint 47","","KPoint 48","","KPoint 49","","KPoint 50","","KPoint 51","","KPoint 52","","KPoint 53","","KPoint 54","","KPoint 55","","KPoint 56","","KPoint 57","","KPoint 58","","KPoint 59","","KPoint 60","","KPoint 61","","KPoint 62","","KPoint 63","","KPoint 64",""
"Band","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ"
"1","-22.2363","2.0","-22.2363","2.0","-22.2362","2.0","-22.236","2.0","-22.2359","2.0","-22.2357","2.0","-22.235500000000002","2.0","-22.235400000000002","2.0","-22.2353","2.0","-22.2352","2.0","-22.2352","2.0","-22.2352","2.0","-22.235","2.0","-22.2349","2.0","-22.2347","2.0","-22.2345","2.0","-22.2344","2.0","-22.2342","2.0","-22.2341","2.0","-22.2341","2.0","-22.2342","2.0","-22.2342","2.0","-22.2343","2.0","-22.2345","2.0","-22.2347","2.0","-22.2349","2.0","-22.2352","2.0","-22.235400000000002","2.0","-22.2356","2.0","-22.2358","2.0","-22.236","2.0","-22.2361","2.0","-22.2362","2.0","-22.2363","2.0","-22.2362","2.0","-22.2361","2.0","-22.236","2.0","-22.2359","2.0","-22.2357","2.0","-22.235400000000002","2.0","-22.2352","2.0","-22.2349","2.0","-22.2346","2.0","-22.2344","2.0","-22.2342","2.0","-22.233900000000002","2.0","-22.2337","2.0","-22.2336","2.0","-22.2335","2.0","-22.2334","2.0","-22.2334","2.0","-22.2335","2.0","-22.2335","2.0","-22.2337","2.0","-22.233900000000002","2.0","-22.2341","2.0","-22.2343","2.0","-22.2345","2.0","-22.2346","2.0","-22.2348","2.0","-22.235","2.0","-22.2351","2.0","-22.2352","2.0","-22.2352","2.0"
"2","-18.5614","2.0","-18.5612","2.0","-18.5606","2.0","-18.5596","2.0","-18.5584","2.0","-18.5572","2.0","-18.556","2.0","-18.5551","2.0","-18.5544","2.0","-18.554000000000002","2.0","-18.5538","2.0","-18.5538","2.0","-18.5537","2.0","-18.5536","2.0","-18.5535","2.0","-18.5534","2.0","-18.5533","2.0","-18.5532","2.0","-18.5532","2.0","-18.5531","2.0","-18.5532","2.0","-18.5535","2.0","-18.554000000000002","2.0","-18.5546","2.0","-18.5553","2.0","-18.5562","2.0","-18.557100000000002","2.0","-18.558","2.0","-18.5589","2.0","-18.5597","2.0","-18.5604","2.0","-18.561","2.0","-18.5613","2.0","-18.5614","2.0","-18.5613","2.0","-18.5608","2.0","-18.56","2.0","-18.5589","2.0","-18.5576","2.0","-18.5561","2.0","-18.5544","2.0","-18.5527","2.0","-18.550900000000002","2.0","-18.5491","2.0","-18.5474","2.0","-18.5458","2.0","-18.5445","2.0","-18.543400000000002","2.0","-18.5425","2.0","-18.542","2.0","-18.541900000000002","2.0","-18.5424","2.0","-18.543","2.0","-18.5439","2.0","-18.545","2.0","-18.5462","2.0","-18.5475","2.0","-18.5488","2.0","-18.5501","2.0","-18.5514","2.0","-18.5524","2.0","-18.5532","2.0","-18.5537","2.0","-18.5538","2.0"
"3","-18.5368","2.0","-18.5367","2.0","-18.5364","2.0","-18.5359","2.0","-18.5353","2.0","-18.5345","2.0","-18.5336","2.0","-18.532700000000002","2.0","-18.532","2.0","-18.5315","2.0","-18.5313","2.0","-18.531","2.0","-18.53","2.0","-18.5286","2.0","-18.5268","2.0","-18.5248","2.0","-18.523","2.0","-18.5215","2.0","-18.520500000000002","2.0","-18.5202","2.0","-18.5204","2.0","-18.5211","2.0","-18.522100000000002","2.0","-18.523500000000002","2.0","-18.525100000000002","2.0","-18.5269","2.0","-18.5288","2.0","-18.5306","2.0","-18.5323","2.0","-18.5338","2.0","-18.5351","2.0","-18.536","2.0","-18.5366","2.0","-18.5368","2.0","-18.5366","2.0","-18.5362","2.0","-18.5354","2.0","-18.5344","2.0","-18.5332","2.0","-18.5317","2.0","-18.5302","2.0","-18.5285","2.0","-18.5268","2.0","-18.525100000000002","2.0","-18.523500000000002","2.0","-18.522100000000002","2.0","-18.5208","2.0","-18.5197","2.0","-18.519000000000002","2.0","-18.5185","2.0","-18.5183","2.0","-18.519000000000002","2.0","-18.5199","2.0","-18.521","2.0","-18.5224","2.0","-18.5238","2.0","-18.5253","2.0","-18.5267","2.0","-18.528","2.0","-18.5291","2.0","-18.5301","2.0","-18.5307","2.0","-18.531200000000002","2.0","-18.5313","2.0"
"4","-18.4888","2.0","-18.4888","2.0","-18.4889","2.0","-18.489","2.0","-18.4891","2.0","-18.4892","2.0","-18.4893","2.0","-18.4894","2.0","-18.4895","2.0","-18.4896","2.0","-18.4896","2.0","-18.4896","2.0","-18.4896","2.0","-18.4896","2.0","-18.4896","2.0","-18.4896","2.0","-18.4896","2.0","-18.4896","2.0","-18.4896","2.0","-18.4896","2.0","-18.4896","2.0","-18.4896","2.0","-18.4895","2.0","-18.4894","2.0","-18.4894","2.0","-18.4893","2.0","-18.4892","2.0","-18.4891","2.0","-18.489","2.0","-18.489","2.0","-18.4889","2.0","-18.4888","2.0","-18.4888","2.0","-18.4888","2.0","-18.4888","2.0","-18.4889","2.0","-18.4889","2.0","-18.489","2.0","-18.4891","2.0","-18.4892","2.0","-18.4894","2.0","-18.4895","2.0","-18.4896","2.0","-18.4898","2.0","-18.4899","2.0","-18.490000000000002","2.0","-18.4901","2.0","-18.4902","2.0","-18.4903","2.0","-18.4903","2.0","-18.4903","2.0","-18.4903","2.0","-18.4902","2.0","-18.4902","2.0","-18.4901","2.0","-18.490000000000002","2.0","-18.490000000000002","2.0","-18.4899","2.0","-18.4898","2.0","-18.4897","2.0","-18.4897","2.0","-18.4896","2.0","-18.4896","2.0","-18.4896","2.0"
"5","-18.4708","2.0","-18.4708","2.0","-18.4708","2.0","-18.4708","2.0","-18.4708","2.0","-18.4708","2.0","-18.4708","2.0","-18.4708","2.0","-18.4708","2.0","-18.4708","2.0","-18.4708","2.0","-18.4708","2.0","-18.4709","2.0","-18.471","2.0","-18.4711","2.0","-18.4712","2.0","-18.4714","2.0","-18.4715","2.0","-18.4715","2.0","-18.4715","2.0","-18.4715","2.0","-18.4715","2.0","-18.4715","2.0","-18.4714","2.0","-18.4713","2.0","-18.4712","2.0","-18.4712","2.0","-18.4711","2.0","-18.471","2.0","-18.4709","2.0","-18.4709","2.0","-18.4708","2.0","-18.4708","2.0","-18.4708","2.0","-18.4708","2.0","-18.4708","2.0","-18.4709","2.0","-18.471","2.0","-18.4711","2.0","-18.4712","2.0","-18.4714","2.0","-18.4715","2.0","-18.471700000000002","2.0","-18.4718","2.0","-18.472","2.0","-18.4721","2.0","-18.4722","2.0","-18.4723","2.0","-18.4724","2.0","-18.4724","2.0","-18.4725","2.0","-18.4724","2.0","-18.4723","2.0","-18.4721","2.0","-18.472","2.0","-18.4718","2.0","-18.4716","2.0","-18.4714","2.0","-18.4712","2.0","-18.4711","2.0","-18.471","2.0","-18.4709","2.0","-18.4708","2.0","-18.4708","2.0"
"6","-18.4664","2.0","-18.4664","2.0","-18.4665","2.0","-18.4666","2.0","-18.4667","2.0","-18.4668","2.0","-18.467","2.0","-18.467100000000002","2.0","-18.467200000000002","2.0","-18.4673","2.0","-18.4673","2.0","-18.4673","2.0","-18.4674","2.0","-18.4675","2.0","-18.4676","2.0","-18.4677","2.0","-18.4678","2.0","-18.4679","2.0","-18.468","2.0","-18.468","2.0","-18.468","2.0","-18.4679","2.0","-18.4678","2.0","-18.4677","2.0","-18.4676","2.0","-18.4674","2.0","-18.467200000000002","2.0","-18.467","2.0","-18.4669","2.0","-18.4667","2.0","-18.4666","2.0","-18.4665","2.0","-18.4664","2.0","-18.4664","2.0","-18.4664","2.0","-18.4665","2.0","-18.4665","2.0","-18.4666","2.0","-18.4667","2.0","-18.4669","2.0","-18.467","2.0","-18.467100000000002","2.0","-18.4673","2.0","-18.4674","2.0","-18.4676","2.0","-18.4677","2.0","-18.4678","2.0","-18.4679","2.0","-18.468","2.0","-18.468","2.0","-18.468","2.0","-18.468","2.0","-18.468","2.0","-18.4679","2.0","-18.4678","2.0","-18.4677","2.0","-18.4677","2.0","-18.4676","2.0","-18.4675","2.0","-18.4674","2.0","-18.4674","2.0","-18.4673","2.0","-18.4673","2.0","-18.4673","2.0"
"7","-14.6928","2.0","-14.6927","2.0","-14.6922","2.0","-14.6914","2.0","-14.6904","2.0","-14.689400000000001","2.0","-14.6883","2.0","-14.6873","2.0","-14.6865","2.0","-14.6861","2.0","-14.6859","2.0","-14.6868","2.0","-14.689400000000001","2.0","-14.6934","2.0","-14.6983","2.0","-14.7036","2.0","-14.708400000000001","2.0","-14.7123","2.0","-14.7148","2.0","-14.7157","2.0","-14.7157","2.0","-14.7157","2.0","-14.7155","2.0","-14.7149","2.0","-14.714","2.0","-14.7124","2.0","-14.7103","2.0","-14.7075","2.0","-14.7043","2.0","-14.701","2.0","-14.6978","2.0","-14.6952","2.0","-14.6934","2.0","-14.6928","2.0","-14.6933","2.0","-14.694600000000001","2.0","-14.6966","2.0","-14.699","2.0","-14.701500000000001","2.0","-14.7036","2.0","-14.705300000000001","2.0","-14.7063","2.0","-14.7067","2.0","-14.7065","2.0","-14.7056","2.0","-14.7044","2.0","-14.703100000000001","2.0","-14.7017","2.0","-14.700700000000001","2.0","-14.6999","2.0","-14.6997","2.0","-14.7001","2.0","-14.7004","2.0","-14.700700000000001","2.0","-14.7005","2.0","-14.6999","2.0","-14.6987","2.0","-14.696900000000001","2.0","-14.694600000000001","2.0","-14.6921","2.0","-14.6897","2.0","-14.6877","2.0","-14.6864","2.0","-14.6859","2.0"
"8","-13.757900000000001","2.0","-13.7543","2.0","-13.7438","2.0","-13.7264","2.0","-13.7029","2.0","-13.674000000000001","2.0","-13.6411","2.0","-13.6064","2.0","-13.5736","2.0","-13.5487","2.0","-13.539","2.0","-13.5352","2.0","-13.5242","2.0","-13.5065","2.0","-13.483500000000001","2.0","-13.456900000000001","2.0","-13.4297","2.0","-13.4054","2.0","-13.388200000000001","2.0","-13.382","2.0","-13.3886","2.0","-13.4071","2.0","-13.434700000000001","2.0","-13.4686","2.0","-13.5067","2.0","-13.5469","2.0","-13.5875","2.0","-13.626800000000001","2.0","-13.6632","2.0","-13.6953","2.0","-13.7218","2.0","-13.7415","2.0","-13.7537","2.0","-13.757900000000001","2.0","-13.7536","2.0","-13.741","2.0","-13.720500000000001","2.0","-13.6928","2.0","-13.659","2.0","-13.6201","2.0","-13.5775","2.0","-13.5327","2.0","-13.4875","2.0","-13.444","2.0","-13.404300000000001","2.0","-13.370700000000001","2.0","-13.345","2.0","-13.328100000000001","2.0","-13.3192","2.0","-13.3155","2.0","-13.3146","2.0","-13.3199","2.0","-13.3277","2.0","-13.340300000000001","2.0","-13.3582","2.0","-13.3811","2.0","-13.4076","2.0","-13.4357","2.0","-13.4634","2.0","-13.4886","2.0","-13.5098","2.0","-13.5257","2.0","-13.5356","2.0","-13.539","2.0"
"9","-12.9685","2.0","-12.9725","2.0","-12.9846","2.0","-13.0047","2.0","-13.0321","2.0","-13.065900000000001","2.0","-13.1043","2.0","-13.144300000000001","2.0","-13.1816","2.0","-13.2096","2.0","-13.2203","2.0","-13.2193","2.0","-13.2165","2.0","-13.212200000000001","2.0","-13.207","2.0","-13.201500000000001","2.0","-13.1964","2.0","-13.1922","2.0","-13.1895","2.0","-13.188600000000001","2.0","-13.1841","2.0","-13.1719","2.0","-13.1541","2.0","-13.132900000000001","2.0","-13.1095","2.0","-13.0853","2.0","-13.061300000000001","2.0","-13.0386","2.0","-13.0181","2.0","-13.0006","2.0","-12.9867","2.0","-12.976600000000001","2.0","-12.970500000000001","2.0","-12.9685","2.0","-12.9715","2.0","-12.980400000000001","2.0","-12.9947","2.0","-13.0136","2.0","-13.0363","2.0","-13.0616","2.0","-13.0885","2.0","-13.1159","2.0","-13.1426","2.0","-13.1678","2.0","-13.1903","2.0","-13.2093","2.0","-13.224","2.0","-13.2337","2.0","-13.238800000000001","2.0","-13.2409","2.0","-13.2414","2.0","-13.2385","2.0","-13.2353","2.0","-13.2315","2.0","-13.227500000000001","2.0","-13.2239","2.0","-13.2211","2.0","-13.2192","2.0","-13.218300000000001","2.0","-13.2182","2.0","-13.2187","2.0","-13.2195","2.0","-13.22","2.0","-13.2203","2.0"
