"Index","kx","ky","kz","VB","EV / eV","VB Occ","CB","EC / eV","CB Occ","Eg (Direct) / eV"
"1","0.0","0.0","0.0","25","-1.5083","2.0","26","4.1196","0.0","5.6278999999999995"
"2","0.00287356","0.00287356","0.00287356","25","-1.5084","2.0","26","4.119800000000001","0.0","5.6282000000000005"
"3","0.00574713","0.00574713","0.00574713","25","-1.5084","2.0","26","4.1203","0.0","5.6287"
"4","0.00862069","0.00862069","0.00862069","25","-1.5085","2.0","26","4.1211","0.0","5.6296"
"5","0.01149425","0.01149425","0.01149425","25","-1.5087","2.0","26","4.1223","0.0","5.631"
"6","0.01436782","0.01436782","0.01436782","25","-1.5088","2.0","26","4.1239","0.0","5.6327"
"7","0.01724138","0.01724138","0.01724138","25","-1.5090999999999999","2.0","26","4.1258","0.0","5.6349"
"8","0.02011494","0.02011494","0.02011494","25","-1.5092999999999999","2.0","26","4.128","0.0","5.6373"
"9","0.02298851","0.02298851","0.02298851","25","-1.5095999999999998","2.0","26","4.1305000000000005","0.0","5.6401"
"10","0.02586207","0.02586207","0.02586207","25","-1.5099","2.0","26","4.1334","0.0","5.6433"
"11","0.02873563","0.02873563","0.02873563","25","-1.5102","2.0","26","4.1366000000000005","0.0","5.6468"
"12","0.03160919","0.03160919","0.03160919","25","-1.5106","2.0","26","4.1402","0.0","5.650799999999999"
"13","0.03448276","0.03448276","0.03448276","25","-1.511","2.0","26","4.144","0.0","5.655"
"14","0.03735632","0.03735632","0.03735632","25","-1.5113999999999999","2.0","26","4.1482","0.0","5.6596"
"15","0.04022988","0.04022988","0.04022988","25","-1.5119","2.0","26","4.1527","0.0","5.6646"
"16","0.04310345","0.04310345","0.04310345","25","-1.5123","2.0","26","4.1576","0.0","5.6699"
"17","0.04597701","0.04597701","0.04597701","25","-1.5128","2.0","26","4.1627","0.0","5.6754999999999995"
"18","0.04885057","0.04885057","0.04885057","25","-1.5131999999999999","2.0","26","4.1681","0.0","5.681299999999999"
"19","0.05172414","0.05172414","0.05172414","25","-1.5136999999999998","2.0","26","4.1738","0.0","5.6875"
"20","0.0545977","0.0545977","0.0545977","25","-1.5141","2.0","26","4.1798","0.0","5.6939"
"21","0.05747126","0.05747126","0.05747126","25","-1.5146","2.0","26","4.186100000000001","0.0","5.7007"
"22","0.06034483","0.06034483","0.06034483","25","-1.515","2.0","26","4.1926000000000005","0.0","5.7076"
"23","0.06321838","0.06321838","0.06321838","25","-1.5153999999999999","2.0","26","4.1995000000000005","0.0","5.7149"
"24","0.06609195","0.06609195","0.06609195","25","-1.5158","2.0","26","4.2066","0.0","5.7223999999999995"
"25","0.06896552","0.06896552","0.06896552","25","-1.5162","2.0","26","4.213900000000001","0.0","5.7301"
"26","0.07183908","0.07183908","0.07183908","25","-1.5165","2.0","26","4.221500000000001","0.0","5.738"
"27","0.07471264","0.07471264","0.07471264","25","-1.5168","2.0","26","4.2293","0.0","5.7461"
"28","0.0775862","0.0775862","0.0775862","25","-1.5171","2.0","26","4.2373","0.0","5.7544"
"29","0.08045977","0.08045977","0.08045977","25","-1.5172999999999999","2.0","26","4.2456000000000005","0.0","5.7629"
"30","0.08333334","0.08333334","0.08333334","25","-1.5174999999999998","2.0","26","4.2540000000000004","0.0","5.7715000000000005"
"31","0.08620689","0.08620689","0.08620689","25","-1.5175999999999998","2.0","26","4.2626","0.0","5.7802"
"32","0.08908046","0.08908046","0.08908046","25","-1.5176999999999998","2.0","26","4.2714","0.0","5.7890999999999995"
"33","0.09195402","0.09195402","0.09195402","25","-1.5176999999999998","2.0","26","4.2804","0.0","5.7981"
"34","0.09482758","0.09482758","0.09482758","25","-1.5175999999999998","2.0","26","4.2895","0.0","5.8071"
"35","0.09770115","0.09770115","0.09770115","25","-1.5174999999999998","2.0","26","4.2988","0.0","5.8163"
"36","0.10057471","0.10057471","0.10057471","25","-1.5172999999999999","2.0","26","4.3081000000000005","0.0","5.8254"
"37","0.10344828","0.10344828","0.10344828","25","-1.517","2.0","26","4.3176000000000005","0.0","5.8346"
"38","0.10632184","0.10632184","0.10632184","25","-1.5166","2.0","26","4.327100000000001","0.0","5.8437"
"39","0.1091954","0.1091954","0.1091954","25","-1.5162","2.0","26","4.3367","0.0","5.8529"
"40","0.11206897","0.11206897","0.11206897","25","-1.5156999999999998","2.0","26","4.3463","0.0","5.862"
"41","0.11494253","0.11494253","0.11494253","25","-1.5151","2.0","26","4.3559","0.0","5.8709999999999996"
"42","0.11781609","0.11781609","0.11781609","25","-1.5144","2.0","26","4.3655","0.0","5.879899999999999"
"43","0.12068965","0.12068965","0.12068965","25","-1.5135999999999998","2.0","26","4.375100000000001","0.0","5.8887"
"44","0.12356322","0.12356322","0.12356322","25","-1.5127","2.0","26","4.3845","0.0","5.8972"
"45","0.12643677","0.12643677","0.12643677","25","-1.5116999999999998","2.0","26","4.393800000000001","0.0","5.9055"
"46","0.12931034","0.12931034","0.12931034","25","-1.5107","2.0","26","4.402900000000001","0.0","5.913600000000001"
"47","0.13218391","0.13218391","0.13218391","25","-1.5094999999999998","2.0","26","4.4118","0.0","5.9213000000000005"
"48","0.13505748","0.13505748","0.13505748","25","-1.5082","2.0","26","4.4204","0.0","5.928599999999999"
"49","0.13793103","0.13793103","0.13793103","25","-1.5069","2.0","26","4.4287","0.0","5.9356"
"50","0.14080459","0.14080459","0.14080459","25","-1.5053999999999998","2.0","26","4.4365000000000006","0.0","5.9419"
"51","0.14367816","0.14367816","0.14367816","25","-1.5039","2.0","26","4.4438","0.0","5.9477"
"52","0.14655173","0.14655173","0.14655173","25","-1.5022","2.0","26","4.4505","0.0","5.952699999999999"
"53","0.14942528","0.14942528","0.14942528","25","-1.5005","2.0","26","4.4564","0.0","5.9569"
"54","0.15229884","0.15229884","0.15229884","25","-1.4987","2.0","26","4.4615","0.0","5.9601999999999995"
"55","0.15517241","0.15517241","0.15517241","25","-1.4967","2.0","26","4.4656","0.0","5.9623"
"56","0.15804598","0.15804598","0.15804598","25","-1.4947","2.0","26","4.468500000000001","0.0","5.9632000000000005"
"57","0.16091953","0.16091953","0.16091953","25","-1.4926","2.0","26","4.470000000000001","0.0","5.9626"
"58","0.1637931","0.1637931","0.1637931","25","-1.4904","2.0","26","4.4701","0.0","5.9605"
"59","0.16666667","0.16666667","0.16666667","25","-1.4881","2.0","26","4.4684","0.0","5.956499999999999"
"60","0.16954024","0.16954024","0.16954024","25","-1.4857","2.0","26","4.4649","0.0","5.9506"
"61","0.17241378","0.17241378","0.17241378","25","-1.4831999999999999","2.0","26","4.4594000000000005","0.0","5.9426000000000005"
"62","0.17528735","0.17528735","0.17528735","25","-1.4806","2.0","26","4.4518","0.0","5.9324"
"63","0.17816092","0.17816092","0.17816092","25","-1.4779","2.0","26","4.442","0.0","5.9199"
"64","0.18103448","0.18103448","0.18103448","25","-1.4751999999999998","2.0","26","4.4302","0.0","5.9054"
"65","0.18390805","0.18390805","0.18390805","25","-1.4724","2.0","26","4.4162","0.0","5.888599999999999"
"66","0.18678162","0.18678162","0.18678162","25","-1.4695","2.0","26","4.4004","0.0","5.8699"
"67","0.18965517","0.18965517","0.18965517","25","-1.4665","2.0","26","4.382700000000001","0.0","5.849200000000001"
"68","0.19252872","0.19252872","0.19252872","25","-1.4634","2.0","26","4.3634","0.0","5.8268"
"69","0.19540229","0.19540229","0.19540229","25","-1.4602","2.0","26","4.3426","0.0","5.8027999999999995"
"70","0.19827585","0.19827585","0.19827585","25","-1.4569999999999999","2.0","26","4.3205","0.0","5.7775"
"71","0.20114942","0.20114942","0.20114942","25","-1.4537","2.0","26","4.2972","0.0","5.7509"
"72","0.20402299","0.20402299","0.20402299","25","-1.4503","2.0","26","4.2728","0.0","5.7231"
"73","0.20689656","0.20689656","0.20689656","25","-1.4468999999999999","2.0","26","4.2476","0.0","5.6945"
"74","0.20977011","0.20977011","0.20977011","25","-1.4433","2.0","26","4.2214","0.0","5.6647"
"75","0.21264368","0.21264368","0.21264368","25","-1.4397","2.0","26","4.1946","0.0","5.6343"
"76","0.21551725","0.21551725","0.21551725","25","-1.4361","2.0","26","4.1671000000000005","0.0","5.6032"
"77","0.21839079","0.21839079","0.21839079","25","-1.4323","2.0","26","4.139","0.0","5.5713"
"78","0.22126436","0.22126436","0.22126436","25","-1.4284999999999999","2.0","26","4.1103000000000005","0.0","5.5388"
"79","0.22413793","0.22413793","0.22413793","25","-1.4245999999999999","2.0","26","4.0812","0.0","5.5058"
"80","0.22701149","0.22701149","0.22701149","25","-1.4206999999999999","2.0","26","4.0517","0.0","5.4724"
"81","0.22988506","0.22988506","0.22988506","25","-1.4165999999999999","2.0","26","4.0217","0.0","5.4383"
"82","0.23275863","0.23275863","0.23275863","25","-1.4125999999999999","2.0","26","3.9914000000000005","0.0","5.404"
"83","0.23563218","0.23563218","0.23563218","25","-1.4083999999999999","2.0","26","3.9608","0.0","5.369199999999999"
"84","0.23850574","0.23850574","0.23850574","25","-1.4041","2.0","26","3.9300000000000006","0.0","5.3341"
"85","0.24137931","0.24137931","0.24137931","25","-1.3998","2.0","26","3.8988000000000005","0.0","5.2986"
"86","0.24425286","0.24425286","0.24425286","25","-1.3954","2.0","26","3.8675000000000006","0.0","5.2629"
"87","0.24712643","0.24712643","0.24712643","25","-1.391","2.0","26","3.8359000000000005","0.0","5.2269000000000005"
"88","0.25","0.25","0.25","25","-1.3863999999999999","2.0","26","3.8041","0.0","5.1905"
"89","0.25287354","0.25287354","0.25287354","25","-1.3818","2.0","26","3.7722000000000007","0.0","5.154000000000001"
"90","0.25574711","0.25574711","0.25574711","25","-1.3771","2.0","26","3.7402000000000006","0.0","5.1173"
"91","0.25862068","0.25862068","0.25862068","25","-1.3722999999999999","2.0","26","3.708","0.0","5.0803"
"92","0.26149425","0.26149425","0.26149425","25","-1.3674","2.0","26","3.6757","0.0","5.0431"
"93","0.26436782","0.26436782","0.26436782","25","-1.3623999999999998","2.0","26","3.6433","0.0","5.0057"
