          83   2.97286391       3.05175805       3.21799111       3.33098197       4.07026720       4.47746515       4.64497805       5.61417103       7.00729704       7.67516708       8.22815132       8.31618881       9.30261230       9.75085354    
          84   2.97086811       3.04985595       3.22094297       3.33441901       4.05288315       4.46563196       4.63958216       5.63736486       7.02975988       7.68276596       8.21635437       8.30979633       9.30035210       9.75788975    
          85   2.96900511       3.04800391       3.22384906       3.33782506       4.03597021       4.45353603       4.63405609       5.66031313       7.05280685       7.68969917       8.20503807       8.30364704       9.29866409       9.76453495    
          86   2.96725798       3.04627299       3.22671390       3.34119010       4.01954079       4.44119215       4.62840414       5.68300009       7.07642698       7.69585705       8.19429493       8.29782009       9.29751396       9.77069283    
          87   2.96564007       3.04463911       3.22955394       3.34452605       4.00361490       4.42861986       4.62265015       5.70542383       7.10061598       7.70114279       8.18420696       8.29240227       9.29686928       9.77628517    
          88   2.96413112       3.04312897       3.23235703       3.34780598       3.98817801       4.41580820       4.61676598       5.72756195       7.12535715       7.70545912       8.17482185       8.28749847       9.29668903       9.78117847    
          89   2.96272302       3.04173708       3.23512697       3.35102797       3.97324705       4.40277195       4.61076880       5.74941111       7.15064001       7.70872498       8.16615772       8.28322601       9.29693699       9.78534031    
          90   2.96140289       3.04048395       3.23786306       3.35418391       3.95883107       4.38953686       4.60466194       5.77095795       7.17645121       7.71088219       8.15820217       8.27972031       9.29757500       9.78873253    
          91   2.96017694       3.03938794       3.24057794       3.35728097       3.94492698       4.37609577       4.59842205       5.79219818       7.20278215       7.71190786       8.15088940       8.27712154       9.29857063       9.79136467    
          92   2.95902896       3.03847194       3.24327111       3.36031795       3.93154693       4.36248302       4.59210396       5.81312084       7.22962189       7.71180677       8.14412594       8.27557755       9.29988766       9.79327869    
          93   2.95793891       3.03769493       3.24592996       3.36328101       3.91869998       4.34869099       4.58568478       5.83371878       7.25695086       7.71061182       8.13778591       8.27522659       9.30148506       9.79458332    
          94   2.95692492       3.03710508       3.24857402       3.36618996       3.90636110       4.33474779       4.57916880       5.85398197       7.28476095       7.70839787       8.13173008       8.27618980       9.30333328       9.79539013    
          95   2.95594406       3.03669190       3.25119090       3.36903095       3.89452195       4.32066011       4.57255888       5.87390280       7.31303596       7.70525885       8.12581730       8.27855206       9.30539227       9.79580879    
          96   2.95499897       3.03646398       3.25377989       3.37181401       3.88321090       4.30643797       4.56585789       5.89347506       7.34175777       7.70132017       8.11992359       8.28236103       9.30763245       9.79597569    
          97   2.95408297       3.03642988       3.25635600       3.37455511       3.87240911       4.29209805       4.55907011       5.91269112       7.37091780       7.69671679       8.11395836       8.28761864       9.31002426       9.79613876    
