"","KPoint 1","","KPoint 2","","KPoint 3","","KPoint 4","","KPoint 5","","KPoint 6","","KPoint 7","","KPoint 8","","KPoint 9","","KPoint 10","","KPoint 11","","KPoint 12","","KPoint 13","","KPoint 14","","KPoint 15","","KPoint 16","","KPoint 17","","KPoint 18","","KPoint 19","","KPoint 20","","KPoint 21","","KPoint 22","","KPoint 23","","KPoint 24","","KPoint 25","","KPoint 26","","KPoint 27",""
"Band","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ"
"10","-19.8957","1.0","-19.8959","1.0","-19.8959","1.0","-19.8957","1.0","-19.8959","1.0","-19.8959","1.0","-19.8957","1.0","-19.8959","1.0","-19.8959","1.0","-19.8959","1.0","-19.8958","1.0","-19.8958","1.0","-19.8959","1.0","-19.8959","1.0","-19.8959","1.0","-19.8959","1.0","-19.8959","1.0","-19.8959","1.0","-19.8959","1.0","-19.8958","1.0","-19.8958","1.0","-19.8959","1.0","-19.8959","1.0","-19.8959","1.0","-19.8959","1.0","-19.8959","1.0","-19.8959","1.0"
"11","-19.895400000000002","1.0","-19.8956","1.0","-19.8956","1.0","-19.8957","1.0","-19.8957","1.0","-19.8957","1.0","-19.8957","1.0","-19.8957","1.0","-19.8957","1.0","-19.8957","1.0","-19.895400000000002","1.0","-19.895400000000002","1.0","-19.8957","1.0","-19.8957","1.0","-19.8957","1.0","-19.8957","1.0","-19.8957","1.0","-19.8957","1.0","-19.8957","1.0","-19.895400000000002","1.0","-19.895400000000002","1.0","-19.8957","1.0","-19.8957","1.0","-19.8957","1.0","-19.8957","1.0","-19.8957","1.0","-19.8957","1.0"
"12","-19.895400000000002","1.0","-19.8956","1.0","-19.8956","1.0","-19.8957","1.0","-19.8957","1.0","-19.8957","1.0","-19.8957","1.0","-19.8957","1.0","-19.8957","1.0","-19.8956","1.0","-19.895400000000002","1.0","-19.895400000000002","1.0","-19.8956","1.0","-19.8957","1.0","-19.8957","1.0","-19.8956","1.0","-19.8957","1.0","-19.8957","1.0","-19.8956","1.0","-19.895400000000002","1.0","-19.895400000000002","1.0","-19.8956","1.0","-19.8957","1.0","-19.8957","1.0","-19.8956","1.0","-19.8957","1.0","-19.8957","1.0"
"13","-19.895400000000002","1.0","-19.895200000000003","1.0","-19.895200000000003","1.0","-19.895500000000002","1.0","-19.895500000000002","1.0","-19.895500000000002","1.0","-19.895500000000002","1.0","-19.895500000000002","1.0","-19.895500000000002","1.0","-19.895200000000003","1.0","-19.895400000000002","1.0","-19.895400000000002","1.0","-19.895500000000002","1.0","-19.8957","1.0","-19.8957","1.0","-19.895500000000002","1.0","-19.8957","1.0","-19.8957","1.0","-19.895200000000003","1.0","-19.895400000000002","1.0","-19.895400000000002","1.0","-19.895500000000002","1.0","-19.8957","1.0","-19.8957","1.0","-19.895500000000002","1.0","-19.8957","1.0","-19.8957","1.0"
"14","-19.895400000000002","1.0","-19.895200000000003","1.0","-19.895200000000003","1.0","-19.895400000000002","1.0","-19.895500000000002","1.0","-19.895500000000002","1.0","-19.895400000000002","1.0","-19.895500000000002","1.0","-19.895500000000002","1.0","-19.895200000000003","1.0","-19.895400000000002","1.0","-19.895400000000002","1.0","-19.895500000000002","1.0","-19.8957","1.0","-19.8957","1.0","-19.895500000000002","1.0","-19.8957","1.0","-19.8957","1.0","-19.895200000000003","1.0","-19.895400000000002","1.0","-19.895400000000002","1.0","-19.895500000000002","1.0","-19.8957","1.0","-19.8957","1.0","-19.895500000000002","1.0","-19.8957","1.0","-19.8957","1.0"
"15","-19.8946","1.0","-19.8948","1.0","-19.8948","1.0","-19.8949","1.0","-19.895100000000003","1.0","-19.895100000000003","1.0","-19.8949","1.0","-19.895100000000003","1.0","-19.895100000000003","1.0","-19.8948","1.0","-19.895000000000003","1.0","-19.895000000000003","1.0","-19.895100000000003","1.0","-19.895300000000002","1.0","-19.895300000000002","1.0","-19.895100000000003","1.0","-19.895300000000002","1.0","-19.895300000000002","1.0","-19.8948","1.0","-19.895000000000003","1.0","-19.895000000000003","1.0","-19.895100000000003","1.0","-19.895300000000002","1.0","-19.895300000000002","1.0","-19.895100000000003","1.0","-19.895300000000002","1.0","-19.895300000000002","1.0"
"16","-19.8946","1.0","-19.8948","1.0","-19.8948","1.0","-19.8949","1.0","-19.895100000000003","1.0","-19.895100000000003","1.0","-19.8949","1.0","-19.895100000000003","1.0","-19.895100000000003","1.0","-19.8948","1.0","-19.895000000000003","1.0","-19.895000000000003","1.0","-19.895100000000003","1.0","-19.895300000000002","1.0","-19.895300000000002","1.0","-19.895100000000003","1.0","-19.895300000000002","1.0","-19.895300000000002","1.0","-19.8948","1.0","-19.895000000000003","1.0","-19.895000000000003","1.0","-19.895100000000003","1.0","-19.895300000000002","1.0","-19.895300000000002","1.0","-19.895100000000003","1.0","-19.895300000000002","1.0","-19.895300000000002","1.0"
"17","-17.991500000000002","1.0","-17.991500000000002","1.0","-17.991500000000002","1.0","-17.991300000000003","1.0","-17.991300000000003","1.0","-17.991300000000003","1.0","-17.991300000000003","1.0","-17.991300000000003","1.0","-17.991300000000003","1.0","-17.991100000000003","1.0","-17.991100000000003","1.0","-17.991100000000003","1.0","-17.9908","1.0","-17.9908","1.0","-17.9908","1.0","-17.9908","1.0","-17.9908","1.0","-17.9908","1.0","-17.991100000000003","1.0","-17.991100000000003","1.0","-17.991100000000003","1.0","-17.9908","1.0","-17.9908","1.0","-17.9908","1.0","-17.9908","1.0","-17.9908","1.0","-17.9908","1.0"
"18","-17.991500000000002","1.0","-17.991500000000002","1.0","-17.991500000000002","1.0","-17.991300000000003","1.0","-17.991300000000003","1.0","-17.991300000000003","1.0","-17.991300000000003","1.0","-17.991300000000003","1.0","-17.991300000000003","1.0","-17.991100000000003","1.0","-17.991100000000003","1.0","-17.991100000000003","1.0","-17.9908","1.0","-17.9908","1.0","-17.9908","1.0","-17.9908","1.0","-17.9908","1.0","-17.9908","1.0","-17.991100000000003","1.0","-17.991100000000003","1.0","-17.991100000000003","1.0","-17.9908","1.0","-17.9908","1.0","-17.9908","1.0","-17.9908","1.0","-17.9908","1.0","-17.9908","1.0"
"19","-17.991500000000002","1.0","-17.991500000000002","1.0","-17.991500000000002","1.0","-17.9909","1.0","-17.9909","1.0","-17.9909","1.0","-17.9909","1.0","-17.9909","1.0","-17.9909","1.0","-17.9909","1.0","-17.9909","1.0","-17.9909","1.0","-17.9903","1.0","-17.9903","1.0","-17.9903","1.0","-17.9903","1.0","-17.9903","1.0","-17.9903","1.0","-17.9909","1.0","-17.9909","1.0","-17.9909","1.0","-17.9903","1.0","-17.9903","1.0","-17.9903","1.0","-17.9903","1.0","-17.9903","1.0","-17.9903","1.0"
