"","KPoint 1","","KPoint 2","","KPoint 3","","KPoint 4","","KPoint 5","","KPoint 6","","KPoint 7","","KPoint 8","","KPoint 9","","KPoint 10","","KPoint 11","","KPoint 12","","KPoint 13","","KPoint 14",""
"Band","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ"
"20","-16.4335","2.0","-16.4314","2.0","-16.435299999999998","2.0","-16.4327","2.0","-16.4327","2.0","-16.4336","2.0","-16.4313","2.0","-16.4313","2.0","-16.4355","2.0","-16.4329","2.0","-16.4329","2.0","-16.4355","2.0","-16.4329","2.0","-16.4329","2.0"
"21","-16.4303","2.0","-16.431","2.0","-16.4289","2.0","-16.4316","2.0","-16.4316","2.0","-16.4297","2.0","-16.4311","2.0","-16.4311","2.0","-16.4285","2.0","-16.4312","2.0","-16.4312","2.0","-16.4285","2.0","-16.4312","2.0","-16.4312","2.0"
"22","-16.4274","2.0","-16.4302","2.0","-16.4266","2.0","-16.4294","2.0","-16.4294","2.0","-16.4283","2.0","-16.431","2.0","-16.4311","2.0","-16.4273","2.0","-16.4301","2.0","-16.4301","2.0","-16.4273","2.0","-16.4301","2.0","-16.4301","2.0"
"23","-16.4238","2.0","-16.4264","2.0","-16.4257","2.0","-16.4284","2.0","-16.4284","2.0","-16.4237","2.0","-16.426299999999998","2.0","-16.426299999999998","2.0","-16.4255","2.0","-16.4282","2.0","-16.4281","2.0","-16.4255","2.0","-16.4282","2.0","-16.4281","2.0"
"24","-16.423","2.0","-16.4257","2.0","-16.4244","2.0","-16.4272","2.0","-16.4272","2.0","-16.4233","2.0","-16.4259","2.0","-16.4259","2.0","-16.4248","2.0","-16.427599999999998","2.0","-16.427599999999998","2.0","-16.4248","2.0","-16.427599999999998","2.0","-16.427599999999998","2.0"
"25","-16.409499999999998","2.0","-16.409499999999998","2.0","-16.409299999999998","2.0","-16.409299999999998","2.0","-16.409299999999998","2.0","-16.409399999999998","2.0","-16.409399999999998","2.0","-16.409399999999998","2.0","-16.4092","2.0","-16.4092","2.0","-16.4092","2.0","-16.4092","2.0","-16.4092","2.0","-16.4092","2.0"
"26","-16.409499999999998","2.0","-16.409499999999998","2.0","-16.409299999999998","2.0","-16.409299999999998","2.0","-16.409299999999998","2.0","-16.409399999999998","2.0","-16.409399999999998","2.0","-16.409399999999998","2.0","-16.4092","2.0","-16.4092","2.0","-16.4092","2.0","-16.4092","2.0","-16.4092","2.0","-16.4092","2.0"
"27","-16.409","2.0","-16.409","2.0","-16.4089","2.0","-16.4089","2.0","-16.4089","2.0","-16.4091","2.0","-16.4091","2.0","-16.4091","2.0","-16.4089","2.0","-16.4089","2.0","-16.4089","2.0","-16.4089","2.0","-16.4089","2.0","-16.4089","2.0"
"28","-16.409","2.0","-16.409","2.0","-16.4089","2.0","-16.4089","2.0","-16.4089","2.0","-16.4091","2.0","-16.4091","2.0","-16.4091","2.0","-16.4089","2.0","-16.4089","2.0","-16.4089","2.0","-16.4089","2.0","-16.4089","2.0","-16.4089","2.0"
"29","-16.4087","2.0","-16.4087","2.0","-16.4088","2.0","-16.4088","2.0","-16.4088","2.0","-16.4086","2.0","-16.4086","2.0","-16.4086","2.0","-16.4087","2.0","-16.4087","2.0","-16.4087","2.0","-16.4087","2.0","-16.4087","2.0","-16.4087","2.0"
"30","-16.4087","2.0","-16.4087","2.0","-16.4088","2.0","-16.4088","2.0","-16.4088","2.0","-16.4086","2.0","-16.4086","2.0","-16.4086","2.0","-16.4087","2.0","-16.4087","2.0","-16.4087","2.0","-16.4087","2.0","-16.4087","2.0","-16.4087","2.0"
"31","-16.4082","2.0","-16.4082","2.0","-16.4084","2.0","-16.4084","2.0","-16.4084","2.0","-16.4083","2.0","-16.4083","2.0","-16.4083","2.0","-16.4085","2.0","-16.4085","2.0","-16.4085","2.0","-16.4085","2.0","-16.4085","2.0","-16.4085","2.0"
"32","-16.4082","2.0","-16.4082","2.0","-16.4084","2.0","-16.4084","2.0","-16.4084","2.0","-16.4083","2.0","-16.4083","2.0","-16.4083","2.0","-16.4085","2.0","-16.4085","2.0","-16.4085","2.0","-16.4085","2.0","-16.4085","2.0","-16.4085","2.0"
"33","-16.3976","2.0","-16.3974","2.0","-16.3976","2.0","-16.3974","2.0","-16.3974","2.0","-16.3974","2.0","-16.397199999999998","2.0","-16.397199999999998","2.0","-16.3974","2.0","-16.397199999999998","2.0","-16.397199999999998","2.0","-16.3974","2.0","-16.397199999999998","2.0","-16.397199999999998","2.0"
"34","-16.3976","2.0","-16.3974","2.0","-16.3976","2.0","-16.3974","2.0","-16.3974","2.0","-16.3974","2.0","-16.397199999999998","2.0","-16.397199999999998","2.0","-16.3974","2.0","-16.397199999999998","2.0","-16.397199999999998","2.0","-16.3974","2.0","-16.397199999999998","2.0","-16.397199999999998","2.0"
"35","-16.397","2.0","-16.397","2.0","-16.397","2.0","-16.397","2.0","-16.397","2.0","-16.3971","2.0","-16.3969","2.0","-16.397","2.0","-16.3971","2.0","-16.3969","2.0","-16.3969","2.0","-16.3971","2.0","-16.3969","2.0","-16.3969","2.0"
"36","-16.397","2.0","-16.397","2.0","-16.397","2.0","-16.397","2.0","-16.397","2.0","-16.3971","2.0","-16.3969","2.0","-16.3969","2.0","-16.3971","2.0","-16.3969","2.0","-16.3969","2.0","-16.3971","2.0","-16.3969","2.0","-16.3969","2.0"
"37","-16.3969","2.0","-16.3968","2.0","-16.3969","2.0","-16.3968","2.0","-16.3968","2.0","-16.3967","2.0","-16.3969","2.0","-16.3969","2.0","-16.3967","2.0","-16.3969","2.0","-16.3969","2.0","-16.3967","2.0","-16.3969","2.0","-16.3969","2.0"
"38","-16.3969","2.0","-16.3968","2.0","-16.3969","2.0","-16.3968","2.0","-16.3968","2.0","-16.3967","2.0","-16.3968","2.0","-16.3969","2.0","-16.3967","2.0","-16.3969","2.0","-16.3969","2.0","-16.3967","2.0","-16.3969","2.0","-16.3969","2.0"
"39","-16.3963","2.0","-16.3964","2.0","-16.3963","2.0","-16.3964","2.0","-16.3964","2.0","-16.3964","2.0","-16.3966","2.0","-16.3966","2.0","-16.3964","2.0","-16.3966","2.0","-16.3966","2.0","-16.3964","2.0","-16.3966","2.0","-16.3966","2.0"
"40","-16.3963","2.0","-16.3964","2.0","-16.3963","2.0","-16.3964","2.0","-16.3964","2.0","-16.3964","2.0","-16.3966","2.0","-16.3966","2.0","-16.3964","2.0","-16.3966","2.0","-16.3966","2.0","-16.3964","2.0","-16.3966","2.0","-16.3966","2.0"
"41","-16.3861","2.0","-16.386","2.0","-16.3859","2.0","-16.3858","2.0","-16.3858","2.0","-16.3861","2.0","-16.386","2.0","-16.386","2.0","-16.3859","2.0","-16.3858","2.0","-16.3858","2.0","-16.3859","2.0","-16.3858","2.0","-16.3858","2.0"
"42","-16.3861","2.0","-16.386","2.0","-16.3859","2.0","-16.3858","2.0","-16.3858","2.0","-16.3861","2.0","-16.386","2.0","-16.386","2.0","-16.3859","2.0","-16.3858","2.0","-16.3858","2.0","-16.3859","2.0","-16.3858","2.0","-16.3858","2.0"
"43","-16.3857","2.0","-16.3858","2.0","-16.3856","2.0","-16.3856","2.0","-16.3856","2.0","-16.3857","2.0","-16.3858","2.0","-16.3858","2.0","-16.3856","2.0","-16.3856","2.0","-16.3856","2.0","-16.3856","2.0","-16.3856","2.0","-16.3856","2.0"
"44","-16.3857","2.0","-16.3858","2.0","-16.3856","2.0","-16.3856","2.0","-16.3856","2.0","-16.3857","2.0","-16.3858","2.0","-16.3858","2.0","-16.3856","2.0","-16.3856","2.0","-16.3856","2.0","-16.3856","2.0","-16.3856","2.0","-16.3856","2.0"
"45","-16.3853","2.0","-16.3852","2.0","-16.3854","2.0","-16.3853","2.0","-16.3853","2.0","-16.3853","2.0","-16.3852","2.0","-16.3852","2.0","-16.3854","2.0","-16.3853","2.0","-16.3853","2.0","-16.3854","2.0","-16.3853","2.0","-16.3853","2.0"
"46","-16.3853","2.0","-16.3852","2.0","-16.3854","2.0","-16.3853","2.0","-16.3853","2.0","-16.3853","2.0","-16.3852","2.0","-16.3852","2.0","-16.3854","2.0","-16.3853","2.0","-16.3853","2.0","-16.3854","2.0","-16.3853","2.0","-16.3853","2.0"
"47","-16.3848","2.0","-16.3849","2.0","-16.384999999999998","2.0","-16.385099999999998","2.0","-16.385099999999998","2.0","-16.3848","2.0","-16.3849","2.0","-16.3849","2.0","-16.384999999999998","2.0","-16.385099999999998","2.0","-16.385099999999998","2.0","-16.384999999999998","2.0","-16.385099999999998","2.0","-16.385099999999998","2.0"
"48","-16.3848","2.0","-16.3849","2.0","-16.384999999999998","2.0","-16.385099999999998","2.0","-16.385099999999998","2.0","-16.3848","2.0","-16.3849","2.0","-16.3849","2.0","-16.384999999999998","2.0","-16.385099999999998","2.0","-16.385099999999998","2.0","-16.384999999999998","2.0","-16.385099999999998","2.0","-16.385099999999998","2.0"
