"","KPoint 1","","KPoint 2","","KPoint 3","","KPoint 4","","KPoint 5","","KPoint 6","","KPoint 7","","KPoint 8","","KPoint 9","","KPoint 10","","KPoint 11","","KPoint 12","","KPoint 13","","KPoint 14",""
"Band","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ"
"1","-21.7766","2.0","-21.7765","2.0","-21.7765","2.0","-21.7765","2.0","-21.7765","2.0","-21.7765","2.0","-21.7765","2.0","-21.7765","2.0","-21.7765","2.0","-21.7765","2.0","-21.7765","2.0","-21.7765","2.0","-21.7765","2.0","-21.7765","2.0"
"2","-21.7765","2.0","-21.7765","2.0","-21.7765","2.0","-21.7765","2.0","-21.7765","2.0","-21.7765","2.0","-21.7765","2.0","-21.7765","2.0","-21.7765","2.0","-21.7765","2.0","-21.7765","2.0","-21.7765","2.0","-21.7765","2.0","-21.7765","2.0"
"3","-21.7765","2.0","-21.7765","2.0","-21.7765","2.0","-21.7765","2.0","-21.7765","2.0","-21.7764","2.0","-21.7765","2.0","-21.7765","2.0","-21.7765","2.0","-21.7765","2.0","-21.7765","2.0","-21.7765","2.0","-21.7765","2.0","-21.7765","2.0"
"4","-21.7764","2.0","-21.7765","2.0","-21.7765","2.0","-21.7765","2.0","-21.7765","2.0","-21.7764","2.0","-21.7765","2.0","-21.7765","2.0","-21.7765","2.0","-21.7765","2.0","-21.7765","2.0","-21.7764","2.0","-21.7765","2.0","-21.7765","2.0"
"5","-21.7411","2.0","-21.7411","2.0","-21.7411","2.0","-21.7411","2.0","-21.7411","2.0","-21.7411","2.0","-21.7411","2.0","-21.7411","2.0","-21.7411","2.0","-21.7411","2.0","-21.7411","2.0","-21.7411","2.0","-21.7411","2.0","-21.7411","2.0"
"6","-21.7411","2.0","-21.7411","2.0","-21.7411","2.0","-21.7411","2.0","-21.7411","2.0","-21.7411","2.0","-21.7411","2.0","-21.7411","2.0","-21.7411","2.0","-21.7411","2.0","-21.7411","2.0","-21.7411","2.0","-21.7411","2.0","-21.7411","2.0"
"7","-21.7411","2.0","-21.7411","2.0","-21.7411","2.0","-21.7411","2.0","-21.7411","2.0","-21.7411","2.0","-21.7411","2.0","-21.7411","2.0","-21.7411","2.0","-21.7411","2.0","-21.7411","2.0","-21.7411","2.0","-21.7411","2.0","-21.7411","2.0"
"8","-21.7411","2.0","-21.7411","2.0","-21.7411","2.0","-21.7411","2.0","-21.7411","2.0","-21.7411","2.0","-21.7411","2.0","-21.7411","2.0","-21.7411","2.0","-21.7411","2.0","-21.7411","2.0","-21.7411","2.0","-21.7411","2.0","-21.7411","2.0"
"9","-18.3271","2.0","-18.326999999999998","2.0","-18.3253","2.0","-18.3252","2.0","-18.3252","2.0","-18.3248","2.0","-18.3247","2.0","-18.3247","2.0","-18.3229","2.0","-18.3228","2.0","-18.3228","2.0","-18.3229","2.0","-18.3228","2.0","-18.3228","2.0"
"10","-18.3269","2.0","-18.3269","2.0","-18.325","2.0","-18.3251","2.0","-18.3251","2.0","-18.3247","2.0","-18.3247","2.0","-18.3247","2.0","-18.3227","2.0","-18.3227","2.0","-18.3227","2.0","-18.3227","2.0","-18.3227","2.0","-18.3227","2.0"
"11","-18.3213","2.0","-18.320899999999998","2.0","-18.3224","2.0","-18.3222","2.0","-18.3222","2.0","-18.3205","2.0","-18.3205","2.0","-18.3205","2.0","-18.3198","2.0","-18.3196","2.0","-18.3196","2.0","-18.3198","2.0","-18.3196","2.0","-18.3196","2.0"
