"","KPoint 1","","KPoint 2","","KPoint 3","","KPoint 4","","KPoint 5","","KPoint 6","","KPoint 7","","KPoint 8","","KPoint 9","","KPoint 10","","KPoint 11","","KPoint 12","","KPoint 13","","KPoint 14",""
"Band","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ"
"1","-19.7495","2.0","-19.7493","2.0","-19.7493","2.0","-19.7492","2.0","-19.7492","2.0","-19.7493","2.0","-19.7491","2.0","-19.7491","2.0","-19.7491","2.0","-19.749","2.0","-19.749","2.0","-19.7491","2.0","-19.749","2.0","-19.749","2.0"
"2","-19.749","2.0","-19.7491","2.0","-19.749","2.0","-19.749","2.0","-19.749","2.0","-19.7489","2.0","-19.7489","2.0","-19.7489","2.0","-19.7488","2.0","-19.7488","2.0","-19.7488","2.0","-19.7488","2.0","-19.7488","2.0","-19.7488","2.0"
"3","-19.7487","2.0","-19.7485","2.0","-19.7485","2.0","-19.7484","2.0","-19.7484","2.0","-19.7488","2.0","-19.7487","2.0","-19.7487","2.0","-19.7487","2.0","-19.7486","2.0","-19.7486","2.0","-19.7487","2.0","-19.7486","2.0","-19.7486","2.0"
"4","-19.7483","2.0","-19.7483","2.0","-19.7483","2.0","-19.7483","2.0","-19.7483","2.0","-19.7484","2.0","-19.7485","2.0","-19.7485","2.0","-19.7485","2.0","-19.7485","2.0","-19.7485","2.0","-19.7485","2.0","-19.7485","2.0","-19.7485","2.0"
"5","-19.747","2.0","-19.7469","2.0","-19.747","2.0","-19.747","2.0","-19.747","2.0","-19.7468","2.0","-19.7467","2.0","-19.7467","2.0","-19.7468","2.0","-19.7468","2.0","-19.7468","2.0","-19.7468","2.0","-19.7468","2.0","-19.7468","2.0"
"6","-19.7466","2.0","-19.7467","2.0","-19.7468","2.0","-19.7469","2.0","-19.7469","2.0","-19.7464","2.0","-19.7465","2.0","-19.7465","2.0","-19.7466","2.0","-19.7467","2.0","-19.7467","2.0","-19.7466","2.0","-19.7467","2.0","-19.7467","2.0"
"7","-19.7461","2.0","-19.7461","2.0","-19.7461","2.0","-19.7461","2.0","-19.7461","2.0","-19.7463","2.0","-19.7463","2.0","-19.7463","2.0","-19.7463","2.0","-19.7464","2.0","-19.7464","2.0","-19.7463","2.0","-19.7464","2.0","-19.7464","2.0"
"8","-19.7458","2.0","-19.7459","2.0","-19.7459","2.0","-19.746","2.0","-19.746","2.0","-19.746","2.0","-19.7461","2.0","-19.7461","2.0","-19.7461","2.0","-19.7462","2.0","-19.7463","2.0","-19.7461","2.0","-19.7462","2.0","-19.7463","2.0"
"9","-16.5287","2.0","-16.5286","2.0","-16.526400000000002","2.0","-16.5263","2.0","-16.5263","2.0","-16.5262","2.0","-16.5262","2.0","-16.5262","2.0","-16.5238","2.0","-16.5238","2.0","-16.5238","2.0","-16.5238","2.0","-16.5238","2.0","-16.5238","2.0"
"10","-16.5286","2.0","-16.5286","2.0","-16.5262","2.0","-16.5262","2.0","-16.5262","2.0","-16.5262","2.0","-16.5262","2.0","-16.5262","2.0","-16.523699999999998","2.0","-16.523699999999998","2.0","-16.523699999999998","2.0","-16.523699999999998","2.0","-16.523699999999998","2.0","-16.523699999999998","2.0"
"11","-16.5214","2.0","-16.521","2.0","-16.5228","2.0","-16.5225","2.0","-16.5225","2.0","-16.5218","2.0","-16.5218","2.0","-16.5218","2.0","-16.5199","2.0","-16.5196","2.0","-16.5197","2.0","-16.5199","2.0","-16.5196","2.0","-16.5197","2.0"
"12","-16.5201","2.0","-16.520400000000002","2.0","-16.522","2.0","-16.522100000000002","2.0","-16.522100000000002","2.0","-16.5218","2.0","-16.5218","2.0","-16.5218","2.0","-16.519199999999998","2.0","-16.5193","2.0","-16.5193","2.0","-16.519199999999998","2.0","-16.5193","2.0","-16.5193","2.0"
"13","-16.5199","2.0","-16.5198","2.0","-16.5168","2.0","-16.5168","2.0","-16.5168","2.0","-16.5184","2.0","-16.518","2.0","-16.518","2.0","-16.519","2.0","-16.519","2.0","-16.519","2.0","-16.519","2.0","-16.519","2.0","-16.519","2.0"
"14","-16.5197","2.0","-16.5198","2.0","-16.5167","2.0","-16.5167","2.0","-16.5167","2.0","-16.5173","2.0","-16.5175","2.0","-16.5175","2.0","-16.518900000000002","2.0","-16.518900000000002","2.0","-16.518900000000002","2.0","-16.518900000000002","2.0","-16.518900000000002","2.0","-16.518900000000002","2.0"
"15","-16.5094","2.0","-16.5092","2.0","-16.511400000000002","2.0","-16.511400000000002","2.0","-16.511400000000002","2.0","-16.5124","2.0","-16.5121","2.0","-16.5121","2.0","-16.514200000000002","2.0","-16.514","2.0","-16.514","2.0","-16.514200000000002","2.0","-16.514","2.0","-16.514","2.0"
"16","-16.5088","2.0","-16.5089","2.0","-16.511200000000002","2.0","-16.5113","2.0","-16.5113","2.0","-16.5116","2.0","-16.511699999999998","2.0","-16.511699999999998","2.0","-16.5138","2.0","-16.5139","2.0","-16.5139","2.0","-16.5138","2.0","-16.5139","2.0","-16.5139","2.0"
"17","-16.5044","2.0","-16.5015","2.0","-16.5029","2.0","-16.5001","2.0","-16.5001","2.0","-16.5038","2.0","-16.5009","2.0","-16.5009","2.0","-16.5026","2.0","-16.4996","2.0","-16.4997","2.0","-16.5026","2.0","-16.4996","2.0","-16.4997","2.0"
"18","-16.5012","2.0","-16.4983","2.0","-16.5006","2.0","-16.4976","2.0","-16.4976","2.0","-16.502299999999998","2.0","-16.499299999999998","2.0","-16.499299999999998","2.0","-16.5014","2.0","-16.4985","2.0","-16.4984","2.0","-16.5014","2.0","-16.4985","2.0","-16.4984","2.0"
"19","-16.4969","2.0","-16.4956","2.0","-16.499200000000002","2.0","-16.496499999999997","2.0","-16.496499999999997","2.0","-16.4969","2.0","-16.494999999999997","2.0","-16.4949","2.0","-16.4991","2.0","-16.496299999999998","2.0","-16.4964","2.0","-16.4991","2.0","-16.496299999999998","2.0","-16.4964","2.0"
"20","-16.4966","2.0","-16.494300000000003","2.0","-16.4985","2.0","-16.4955","2.0","-16.4955","2.0","-16.4967","2.0","-16.4942","2.0","-16.4942","2.0","-16.4988","2.0","-16.4959","2.0","-16.4959","2.0","-16.4988","2.0","-16.4959","2.0","-16.4959","2.0"
"21","-16.4926","2.0","-16.4939","2.0","-16.491300000000003","2.0","-16.494300000000003","2.0","-16.494300000000003","2.0","-16.492","2.0","-16.494","2.0","-16.494","2.0","-16.4908","2.0","-16.4938","2.0","-16.4937","2.0","-16.4908","2.0","-16.4938","2.0","-16.4937","2.0"
"22","-16.4893","2.0","-16.4923","2.0","-16.488599999999998","2.0","-16.4916","2.0","-16.4916","2.0","-16.490299999999998","2.0","-16.493299999999998","2.0","-16.4934","2.0","-16.4894","2.0","-16.4924","2.0","-16.4925","2.0","-16.4894","2.0","-16.4924","2.0","-16.4925","2.0"
"23","-16.4861","2.0","-16.4889","2.0","-16.4881","2.0","-16.4909","2.0","-16.4909","2.0","-16.4859","2.0","-16.4887","2.0","-16.4887","2.0","-16.4878","2.0","-16.4907","2.0","-16.4907","2.0","-16.4878","2.0","-16.4907","2.0","-16.4907","2.0"
"24","-16.485","2.0","-16.488","2.0","-16.4865","2.0","-16.4895","2.0","-16.4895","2.0","-16.4854","2.0","-16.488300000000002","2.0","-16.488300000000002","2.0","-16.487000000000002","2.0","-16.490000000000002","2.0","-16.490000000000002","2.0","-16.487000000000002","2.0","-16.490000000000002","2.0","-16.490000000000002","2.0"
"25","-16.4696","2.0","-16.4696","2.0","-16.4694","2.0","-16.4694","2.0","-16.4694","2.0","-16.4695","2.0","-16.4695","2.0","-16.4695","2.0","-16.4693","2.0","-16.4693","2.0","-16.4693","2.0","-16.4693","2.0","-16.4693","2.0","-16.4693","2.0"
"26","-16.4696","2.0","-16.4696","2.0","-16.4694","2.0","-16.4694","2.0","-16.4694","2.0","-16.4695","2.0","-16.4695","2.0","-16.4695","2.0","-16.4693","2.0","-16.4693","2.0","-16.4693","2.0","-16.4693","2.0","-16.4693","2.0","-16.4693","2.0"
"27","-16.4692","2.0","-16.4692","2.0","-16.469","2.0","-16.469","2.0","-16.469","2.0","-16.4693","2.0","-16.4693","2.0","-16.4693","2.0","-16.469","2.0","-16.469","2.0","-16.469","2.0","-16.469","2.0","-16.469","2.0","-16.469","2.0"
"28","-16.469099999999997","2.0","-16.4692","2.0","-16.469","2.0","-16.469","2.0","-16.469","2.0","-16.4693","2.0","-16.4693","2.0","-16.4693","2.0","-16.469","2.0","-16.469","2.0","-16.469","2.0","-16.469","2.0","-16.469","2.0","-16.469","2.0"
"29","-16.4688","2.0","-16.4688","2.0","-16.468899999999998","2.0","-16.468899999999998","2.0","-16.468899999999998","2.0","-16.4687","2.0","-16.4687","2.0","-16.4687","2.0","-16.468899999999998","2.0","-16.468899999999998","2.0","-16.468899999999998","2.0","-16.468899999999998","2.0","-16.468899999999998","2.0","-16.468899999999998","2.0"
"30","-16.4688","2.0","-16.4688","2.0","-16.468899999999998","2.0","-16.468899999999998","2.0","-16.468899999999998","2.0","-16.4687","2.0","-16.4687","2.0","-16.4687","2.0","-16.468899999999998","2.0","-16.468899999999998","2.0","-16.468899999999998","2.0","-16.468899999999998","2.0","-16.468899999999998","2.0","-16.468899999999998","2.0"
"31","-16.4683","2.0","-16.4683","2.0","-16.4685","2.0","-16.4685","2.0","-16.4685","2.0","-16.468400000000003","2.0","-16.468400000000003","2.0","-16.468400000000003","2.0","-16.468600000000002","2.0","-16.468600000000002","2.0","-16.468600000000002","2.0","-16.468600000000002","2.0","-16.468600000000002","2.0","-16.468600000000002","2.0"
"32","-16.4683","2.0","-16.4683","2.0","-16.4685","2.0","-16.4685","2.0","-16.4685","2.0","-16.468400000000003","2.0","-16.468400000000003","2.0","-16.468400000000003","2.0","-16.468600000000002","2.0","-16.468600000000002","2.0","-16.468600000000002","2.0","-16.468600000000002","2.0","-16.468600000000002","2.0","-16.468600000000002","2.0"
"33","-16.456699999999998","2.0","-16.4565","2.0","-16.456699999999998","2.0","-16.4565","2.0","-16.4565","2.0","-16.4565","2.0","-16.4563","2.0","-16.4563","2.0","-16.4565","2.0","-16.4563","2.0","-16.4563","2.0","-16.4565","2.0","-16.4563","2.0","-16.4563","2.0"
"34","-16.456699999999998","2.0","-16.4565","2.0","-16.456699999999998","2.0","-16.4565","2.0","-16.4565","2.0","-16.4565","2.0","-16.4563","2.0","-16.4563","2.0","-16.4565","2.0","-16.4563","2.0","-16.4563","2.0","-16.4565","2.0","-16.4563","2.0","-16.4563","2.0"
"35","-16.4561","2.0","-16.4561","2.0","-16.4561","2.0","-16.4561","2.0","-16.4561","2.0","-16.456200000000003","2.0","-16.456","2.0","-16.456","2.0","-16.456200000000003","2.0","-16.456","2.0","-16.456","2.0","-16.456200000000003","2.0","-16.456","2.0","-16.456","2.0"
"36","-16.4561","2.0","-16.4561","2.0","-16.4561","2.0","-16.4561","2.0","-16.4561","2.0","-16.456200000000003","2.0","-16.456","2.0","-16.456","2.0","-16.456200000000003","2.0","-16.456","2.0","-16.456","2.0","-16.456200000000003","2.0","-16.456","2.0","-16.456","2.0"
"37","-16.4559","2.0","-16.4559","2.0","-16.4559","2.0","-16.4559","2.0","-16.4559","2.0","-16.4557","2.0","-16.4559","2.0","-16.4559","2.0","-16.4557","2.0","-16.4559","2.0","-16.4559","2.0","-16.4557","2.0","-16.4559","2.0","-16.4559","2.0"
"38","-16.4559","2.0","-16.4559","2.0","-16.4559","2.0","-16.4559","2.0","-16.4559","2.0","-16.4557","2.0","-16.4559","2.0","-16.4559","2.0","-16.4557","2.0","-16.4559","2.0","-16.4559","2.0","-16.4557","2.0","-16.4559","2.0","-16.4559","2.0"
"39","-16.4553","2.0","-16.4555","2.0","-16.4553","2.0","-16.4555","2.0","-16.4555","2.0","-16.4554","2.0","-16.4556","2.0","-16.4556","2.0","-16.4554","2.0","-16.4556","2.0","-16.4556","2.0","-16.4554","2.0","-16.4556","2.0","-16.4556","2.0"
"40","-16.4553","2.0","-16.4555","2.0","-16.4553","2.0","-16.4555","2.0","-16.4555","2.0","-16.4554","2.0","-16.4556","2.0","-16.4556","2.0","-16.4554","2.0","-16.4556","2.0","-16.4556","2.0","-16.4554","2.0","-16.4556","2.0","-16.4556","2.0"
"41","-16.444699999999997","2.0","-16.4446","2.0","-16.444499999999998","2.0","-16.4443","2.0","-16.4443","2.0","-16.444699999999997","2.0","-16.4446","2.0","-16.4446","2.0","-16.444499999999998","2.0","-16.4443","2.0","-16.4443","2.0","-16.444499999999998","2.0","-16.4443","2.0","-16.4443","2.0"
"42","-16.444699999999997","2.0","-16.4446","2.0","-16.444499999999998","2.0","-16.4443","2.0","-16.4443","2.0","-16.444699999999997","2.0","-16.4446","2.0","-16.4446","2.0","-16.444499999999998","2.0","-16.4443","2.0","-16.4443","2.0","-16.444499999999998","2.0","-16.4443","2.0","-16.4443","2.0"
"43","-16.444200000000002","2.0","-16.4443","2.0","-16.444000000000003","2.0","-16.4441","2.0","-16.4441","2.0","-16.444200000000002","2.0","-16.4443","2.0","-16.4443","2.0","-16.444000000000003","2.0","-16.4441","2.0","-16.4441","2.0","-16.444000000000003","2.0","-16.4441","2.0","-16.4441","2.0"
"44","-16.444200000000002","2.0","-16.4443","2.0","-16.444000000000003","2.0","-16.4441","2.0","-16.4441","2.0","-16.444200000000002","2.0","-16.4443","2.0","-16.4443","2.0","-16.444000000000003","2.0","-16.4441","2.0","-16.4441","2.0","-16.444000000000003","2.0","-16.4441","2.0","-16.4441","2.0"
"45","-16.4438","2.0","-16.4437","2.0","-16.4439","2.0","-16.4439","2.0","-16.4439","2.0","-16.4438","2.0","-16.4437","2.0","-16.4437","2.0","-16.4439","2.0","-16.4439","2.0","-16.4439","2.0","-16.4439","2.0","-16.4439","2.0","-16.4439","2.0"
"46","-16.4438","2.0","-16.4437","2.0","-16.4439","2.0","-16.4439","2.0","-16.4439","2.0","-16.4438","2.0","-16.4437","2.0","-16.4437","2.0","-16.4439","2.0","-16.4439","2.0","-16.4439","2.0","-16.4439","2.0","-16.4439","2.0","-16.4439","2.0"
"47","-16.4433","2.0","-16.4434","2.0","-16.4435","2.0","-16.4436","2.0","-16.4436","2.0","-16.4433","2.0","-16.4434","2.0","-16.4434","2.0","-16.4435","2.0","-16.4436","2.0","-16.4436","2.0","-16.4435","2.0","-16.4436","2.0","-16.4436","2.0"
"48","-16.4433","2.0","-16.4434","2.0","-16.4435","2.0","-16.4436","2.0","-16.4436","2.0","-16.4433","2.0","-16.4434","2.0","-16.4434","2.0","-16.4435","2.0","-16.4436","2.0","-16.4436","2.0","-16.4435","2.0","-16.4436","2.0","-16.4436","2.0"
"49","-12.8292","2.0","-12.8174","2.0","-12.8195","2.0","-12.8092","2.0","-12.8092","2.0","-12.8237","2.0","-12.8089","2.0","-12.8174","2.0","-12.8148","2.0","-12.8027","2.0","-12.8096","2.0","-12.8148","2.0","-12.8027","2.0","-12.8095","2.0"
"50","-12.8071","2.0","-12.8006","2.0","-12.801","2.0","-12.7957","2.0","-12.7957","2.0","-12.8126","2.0","-12.8088","2.0","-12.8005","2.0","-12.8056","2.0","-12.802","2.0","-12.7954","2.0","-12.8056","2.0","-12.802","2.0","-12.7954","2.0"
"51","-12.790000000000001","2.0","-12.7927","2.0","-12.7997","2.0","-12.7943","2.0","-12.7943","2.0","-12.7883","2.0","-12.7954","2.0","-12.7932","2.0","-12.7969","2.0","-12.7929","2.0","-12.7943","2.0","-12.7969","2.0","-12.7929","2.0","-12.7943","2.0"
"52","-12.7841","2.0","-12.7881","2.0","-12.7888","2.0","-12.7879","2.0","-12.7879","2.0","-12.7852","2.0","-12.7866","2.0","-12.789","2.0","-12.7914","2.0","-12.7906","2.0","-12.7906","2.0","-12.7914","2.0","-12.7906","2.0","-12.7906","2.0"
"53","-12.7755","2.0","-12.7797","2.0","-12.7758","2.0","-12.7819","2.0","-12.7819","2.0","-12.7753","2.0","-12.7774","2.0","-12.7788","2.0","-12.7748","2.0","-12.7823","2.0","-12.7799","2.0","-12.7748","2.0","-12.7823","2.0","-12.7799","2.0"
"54","-12.7726","2.0","-12.7762","2.0","-12.773","2.0","-12.7791","2.0","-12.7791","2.0","-12.7738","2.0","-12.7773","2.0","-12.7753","2.0","-12.7723","2.0","-12.778","2.0","-12.7785","2.0","-12.7723","2.0","-12.778","2.0","-12.7785","2.0"
"55","-12.7712","2.0","-12.7732","2.0","-12.771","2.0","-12.776","2.0","-12.776","2.0","-12.7695","2.0","-12.7735","2.0","-12.7749","2.0","-12.7714","2.0","-12.7774","2.0","-12.7782","2.0","-12.7714","2.0","-12.7774","2.0","-12.7782","2.0"
"56","-12.7644","2.0","-12.7702","2.0","-12.7667","2.0","-12.7746","2.0","-12.7747","2.0","-12.7661","2.0","-12.7698","2.0","-12.7683","2.0","-12.7683","2.0","-12.7726","2.0","-12.7719","2.0","-12.7683","2.0","-12.7726","2.0","-12.7718","2.0"
"57","-12.283","2.0","-12.2376","2.0","-12.2501","2.0","-12.2082","2.0","-12.2082","2.0","-12.2432","2.0","-12.1949","2.0","-12.2085","2.0","-12.211","2.0","-12.1677","2.0","-12.1777","2.0","-12.211","2.0","-12.1678","2.0","-12.1777","2.0"
"58","-12.104","2.0","-12.1379","2.0","-12.1656","2.0","-12.1317","2.0","-12.1317","2.0","-12.1335","2.0","-12.1159","2.0","-12.1032","2.0","-12.1295","2.0","-12.0991","2.0","-12.0991","2.0","-12.1294","2.0","-12.099","2.0","-12.0991","2.0"
"59","-12.0788","2.0","-12.0752","2.0","-12.0592","2.0","-12.1146","2.0","-12.1146","2.0","-12.0711","2.0","-12.1097","2.0","-12.0928","2.0","-12.1027","2.0","-12.0912","2.0","-12.0824","2.0","-12.1027","2.0","-12.0912","2.0","-12.0825","2.0"
"60","-12.0233","2.0","-12.0076","2.0","-12.0068","2.0","-12.0537","2.0","-12.0538","2.0","-12.0551","2.0","-12.0498","2.0","-12.0415","2.0","-12.0365","2.0","-12.0796","2.0","-12.0675","2.0","-12.0366","2.0","-12.0796","2.0","-12.0675","2.0"
"61","-11.9662","2.0","-11.999600000000001","2.0","-11.984","2.0","-11.9655","2.0","-11.9654","2.0","-11.9896","2.0","-12.0219","2.0","-12.0376","2.0","-12.0309","2.0","-12.0288","2.0","-12.0302","2.0","-12.031","2.0","-12.0287","2.0","-12.0302","2.0"
"62","-11.9324","2.0","-11.953","2.0","-11.9259","2.0","-11.9351","2.0","-11.9351","2.0","-11.9887","2.0","-11.9823","2.0","-11.9929","2.0","-11.9888","2.0","-12.0105","2.0","-12.0162","2.0","-11.9887","2.0","-12.0105","2.0","-12.0162","2.0"
"63","-11.9312","2.0","-11.9265","2.0","-11.9206","2.0","-11.9197","2.0","-11.9197","2.0","-11.9535","2.0","-11.9679","2.0","-11.9796","2.0","-11.9749","2.0","-12.0034","2.0","-12.0095","2.0","-11.9749","2.0","-12.0033","2.0","-12.0095","2.0"
"64","-11.9132","2.0","-11.9175","2.0","-11.9115","2.0","-11.9142","2.0","-11.9142","2.0","-11.927","2.0","-11.9494","2.0","-11.9364","2.0","-11.9438","2.0","-11.9681","2.0","-11.9644","2.0","-11.9439","2.0","-11.9682","2.0","-11.9645","2.0"
"65","-11.8823","2.0","-11.8649","2.0","-11.8923","2.0","-11.8744","2.0","-11.8745","2.0","-11.7706","2.0","-11.7748","2.0","-11.7734","2.0","-11.776","2.0","-11.7743","2.0","-11.7688","2.0","-11.7759","2.0","-11.7743","2.0","-11.7687","2.0"
"66","-11.7743","2.0","-11.8115","2.0","-11.864700000000001","2.0","-11.8459","2.0","-11.846","2.0","-11.7692","2.0","-11.7638","2.0","-11.7669","2.0","-11.7687","2.0","-11.761800000000001","2.0","-11.766","2.0","-11.7687","2.0","-11.761800000000001","2.0","-11.766","2.0"
"67","-11.7734","2.0","-11.773","2.0","-11.777800000000001","2.0","-11.8171","2.0","-11.8171","2.0","-11.766","2.0","-11.7587","2.0","-11.7647","2.0","-11.7453","2.0","-11.7499","2.0","-11.7547","2.0","-11.7453","2.0","-11.7498","2.0","-11.7548","2.0"
"68","-11.7637","2.0","-11.7721","2.0","-11.7709","2.0","-11.8023","2.0","-11.802200000000001","2.0","-11.7563","2.0","-11.7568","2.0","-11.7509","2.0","-11.7143","2.0","-11.7323","2.0","-11.7337","2.0","-11.7144","2.0","-11.7324","2.0","-11.7337","2.0"
"69","-11.7595","2.0","-11.758000000000001","2.0","-11.6966","2.0","-11.6937","2.0","-11.6937","2.0","-11.7497","2.0","-11.7459","2.0","-11.7487","2.0","-11.7097","2.0","-11.7097","2.0","-11.7144","2.0","-11.7098","2.0","-11.7097","2.0","-11.7145","2.0"
"70","-11.7415","2.0","-11.7469","2.0","-11.6851","2.0","-11.688","2.0","-11.688","2.0","-11.6917","2.0","-11.721400000000001","2.0","-11.7196","2.0","-11.7035","2.0","-11.7094","2.0","-11.7042","2.0","-11.7035","2.0","-11.7095","2.0","-11.7043","2.0"
"71","-11.5785","2.0","-11.5718","2.0","-11.6052","2.0","-11.6041","2.0","-11.6041","2.0","-11.6256","2.0","-11.6232","2.0","-11.622","2.0","-11.648","2.0","-11.6456","2.0","-11.646","2.0","-11.648","2.0","-11.6456","2.0","-11.6459","2.0"
"72","-11.573","2.0","-11.5685","2.0","-11.5996","2.0","-11.6016","2.0","-11.6016","2.0","-11.6014","2.0","-11.6135","2.0","-11.6129","2.0","-11.6313","2.0","-11.6398","2.0","-11.6379","2.0","-11.6313","2.0","-11.6398","2.0","-11.6378","2.0"
"73","-11.5643","2.0","-11.5604","2.0","-11.5083","2.0","-11.4951","2.0","-11.4952","2.0","-11.5178","2.0","-11.5225","2.0","-11.5156","2.0","-11.5069","2.0","-11.4826","2.0","-11.4937","2.0","-11.5069","2.0","-11.4827","2.0","-11.4936","2.0"
"74","-11.508000000000001","2.0","-11.5212","2.0","-11.5081","2.0","-11.4861","2.0","-11.486","2.0","-11.5069","2.0","-11.497","2.0","-11.5058","2.0","-11.5063","2.0","-11.4803","2.0","-11.4695","2.0","-11.5063","2.0","-11.4803","2.0","-11.4695","2.0"
"75","-11.5079","2.0","-11.4723","2.0","-11.505","2.0","-11.4686","2.0","-11.4686","2.0","-11.5066","2.0","-11.4901","2.0","-11.4743","2.0","-11.5054","2.0","-11.4717","2.0","-11.4622","2.0","-11.5054","2.0","-11.4716","2.0","-11.4623","2.0"
"76","-11.5067","2.0","-11.4521","2.0","-11.5016","2.0","-11.4594","2.0","-11.4594","2.0","-11.506","2.0","-11.4487","2.0","-11.4515","2.0","-11.5031","2.0","-11.4598","2.0","-11.4583","2.0","-11.5031","2.0","-11.4597","2.0","-11.4583","2.0"
