"","KPoint 1","","KPoint 2","","KPoint 3","","KPoint 4","","KPoint 5","","KPoint 6","","KPoint 7","","KPoint 8","","KPoint 9","","KPoint 10","","KPoint 11","","KPoint 12","","KPoint 13","","KPoint 14",""
"Band","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ"
"1","-19.672500000000003","2.0","-19.672400000000003","2.0","-19.672400000000003","2.0","-19.672400000000003","2.0","-19.672400000000003","2.0","-19.6723","2.0","-19.6723","2.0","-19.6723","2.0","-19.6722","2.0","-19.6722","2.0","-19.6722","2.0","-19.6722","2.0","-19.6722","2.0","-19.6722","2.0"
"2","-19.6723","2.0","-19.6723","2.0","-19.6723","2.0","-19.6723","2.0","-19.6723","2.0","-19.6721","2.0","-19.6722","2.0","-19.6722","2.0","-19.6721","2.0","-19.6721","2.0","-19.6721","2.0","-19.6721","2.0","-19.6721","2.0","-19.6721","2.0"
"3","-19.6718","2.0","-19.6717","2.0","-19.6717","2.0","-19.6717","2.0","-19.6717","2.0","-19.672","2.0","-19.6719","2.0","-19.6719","2.0","-19.6719","2.0","-19.6718","2.0","-19.6718","2.0","-19.6719","2.0","-19.6718","2.0","-19.6718","2.0"
"4","-19.6716","2.0","-19.6716","2.0","-19.6716","2.0","-19.6716","2.0","-19.6716","2.0","-19.6718","2.0","-19.6718","2.0","-19.6718","2.0","-19.6718","2.0","-19.6718","2.0","-19.6718","2.0","-19.6718","2.0","-19.6718","2.0","-19.6718","2.0"
"5","-19.664800000000003","2.0","-19.664800000000003","2.0","-19.664800000000003","2.0","-19.664800000000003","2.0","-19.664800000000003","2.0","-19.6645","2.0","-19.6645","2.0","-19.6645","2.0","-19.6645","2.0","-19.6645","2.0","-19.6645","2.0","-19.6645","2.0","-19.6645","2.0","-19.6645","2.0"
"6","-19.664700000000003","2.0","-19.664700000000003","2.0","-19.664800000000003","2.0","-19.664800000000003","2.0","-19.664800000000003","2.0","-19.6644","2.0","-19.6645","2.0","-19.6645","2.0","-19.6645","2.0","-19.6645","2.0","-19.6645","2.0","-19.6645","2.0","-19.6645","2.0","-19.6645","2.0"
"7","-19.663700000000002","2.0","-19.663700000000002","2.0","-19.663700000000002","2.0","-19.663700000000002","2.0","-19.663700000000002","2.0","-19.664","2.0","-19.664","2.0","-19.664","2.0","-19.664","2.0","-19.664","2.0","-19.664","2.0","-19.664","2.0","-19.664","2.0","-19.664","2.0"
"8","-19.663600000000002","2.0","-19.663600000000002","2.0","-19.663700000000002","2.0","-19.663700000000002","2.0","-19.663700000000002","2.0","-19.6639","2.0","-19.6639","2.0","-19.6639","2.0","-19.6639","2.0","-19.664","2.0","-19.664","2.0","-19.6639","2.0","-19.664","2.0","-19.664","2.0"
"9","-16.5366","2.0","-16.5366","2.0","-16.5345","2.0","-16.5344","2.0","-16.5344","2.0","-16.534200000000002","2.0","-16.534200000000002","2.0","-16.534200000000002","2.0","-16.5319","2.0","-16.5318","2.0","-16.5318","2.0","-16.5319","2.0","-16.5318","2.0","-16.5318","2.0"
"10","-16.5365","2.0","-16.5365","2.0","-16.534200000000002","2.0","-16.5343","2.0","-16.5343","2.0","-16.534100000000002","2.0","-16.534100000000002","2.0","-16.534100000000002","2.0","-16.5317","2.0","-16.5317","2.0","-16.5317","2.0","-16.5317","2.0","-16.5317","2.0","-16.5317","2.0"
"11","-16.529500000000002","2.0","-16.5291","2.0","-16.5309","2.0","-16.5307","2.0","-16.5307","2.0","-16.529700000000002","2.0","-16.529700000000002","2.0","-16.529700000000002","2.0","-16.528000000000002","2.0","-16.5278","2.0","-16.5278","2.0","-16.528000000000002","2.0","-16.5278","2.0","-16.5278","2.0"
"12","-16.5284","2.0","-16.5286","2.0","-16.5302","2.0","-16.5303","2.0","-16.5303","2.0","-16.529700000000002","2.0","-16.529700000000002","2.0","-16.529700000000002","2.0","-16.5274","2.0","-16.5275","2.0","-16.5275","2.0","-16.5274","2.0","-16.5275","2.0","-16.5275","2.0"
"13","-16.5277","2.0","-16.5277","2.0","-16.5248","2.0","-16.5247","2.0","-16.5247","2.0","-16.526500000000002","2.0","-16.5262","2.0","-16.5262","2.0","-16.527","2.0","-16.527","2.0","-16.527","2.0","-16.527","2.0","-16.527","2.0","-16.527","2.0"
"14","-16.5276","2.0","-16.5276","2.0","-16.5247","2.0","-16.5247","2.0","-16.5247","2.0","-16.5255","2.0","-16.5257","2.0","-16.5257","2.0","-16.527","2.0","-16.527","2.0","-16.527","2.0","-16.527","2.0","-16.527","2.0","-16.527","2.0"
"15","-16.5177","2.0","-16.517500000000002","2.0","-16.5196","2.0","-16.5196","2.0","-16.5196","2.0","-16.5206","2.0","-16.520400000000002","2.0","-16.520300000000002","2.0","-16.5224","2.0","-16.5223","2.0","-16.5222","2.0","-16.5224","2.0","-16.5223","2.0","-16.5222","2.0"
"16","-16.5171","2.0","-16.5172","2.0","-16.5195","2.0","-16.5195","2.0","-16.5195","2.0","-16.5199","2.0","-16.52","2.0","-16.52","2.0","-16.522000000000002","2.0","-16.522100000000002","2.0","-16.522100000000002","2.0","-16.522000000000002","2.0","-16.522100000000002","2.0","-16.522100000000002","2.0"
"17","-16.5108","2.0","-16.508100000000002","2.0","-16.5094","2.0","-16.506700000000002","2.0","-16.506700000000002","2.0","-16.5103","2.0","-16.5075","2.0","-16.5075","2.0","-16.5091","2.0","-16.5063","2.0","-16.5063","2.0","-16.5091","2.0","-16.5063","2.0","-16.5063","2.0"
"18","-16.5079","2.0","-16.505","2.0","-16.5072","2.0","-16.5044","2.0","-16.5044","2.0","-16.5088","2.0","-16.506","2.0","-16.506","2.0","-16.508","2.0","-16.505100000000002","2.0","-16.505100000000002","2.0","-16.508","2.0","-16.505100000000002","2.0","-16.505100000000002","2.0"
"19","-16.503700000000002","2.0","-16.5025","2.0","-16.5059","2.0","-16.5033","2.0","-16.5033","2.0","-16.503700000000002","2.0","-16.5019","2.0","-16.5018","2.0","-16.5058","2.0","-16.5031","2.0","-16.5031","2.0","-16.5058","2.0","-16.5031","2.0","-16.5031","2.0"
"20","-16.5034","2.0","-16.5012","2.0","-16.505100000000002","2.0","-16.502200000000002","2.0","-16.502200000000002","2.0","-16.503500000000003","2.0","-16.5011","2.0","-16.5011","2.0","-16.5054","2.0","-16.5026","2.0","-16.5026","2.0","-16.5054","2.0","-16.5026","2.0","-16.5026","2.0"
"21","-16.4996","2.0","-16.500700000000002","2.0","-16.4983","2.0","-16.5011","2.0","-16.5011","2.0","-16.499000000000002","2.0","-16.5009","2.0","-16.5008","2.0","-16.4978","2.0","-16.500700000000002","2.0","-16.500600000000002","2.0","-16.4978","2.0","-16.500700000000002","2.0","-16.500600000000002","2.0"
"22","-16.4965","2.0","-16.4993","2.0","-16.4957","2.0","-16.4986","2.0","-16.4986","2.0","-16.497400000000003","2.0","-16.5003","2.0","-16.5003","2.0","-16.4965","2.0","-16.4994","2.0","-16.4994","2.0","-16.4965","2.0","-16.4994","2.0","-16.4994","2.0"
"23","-16.4933","2.0","-16.496000000000002","2.0","-16.4952","2.0","-16.4979","2.0","-16.4979","2.0","-16.493100000000002","2.0","-16.4958","2.0","-16.4958","2.0","-16.4949","2.0","-16.497700000000002","2.0","-16.497700000000002","2.0","-16.4949","2.0","-16.497700000000002","2.0","-16.497700000000002","2.0"
"24","-16.4922","2.0","-16.4951","2.0","-16.4936","2.0","-16.4965","2.0","-16.4965","2.0","-16.4926","2.0","-16.4954","2.0","-16.4954","2.0","-16.4941","2.0","-16.497","2.0","-16.497","2.0","-16.4941","2.0","-16.497","2.0","-16.497","2.0"
