"","KPoint 1","","KPoint 2","","KPoint 3","","KPoint 4","","KPoint 5","","KPoint 6","","KPoint 7","","KPoint 8","","KPoint 9","","KPoint 10","","KPoint 11","","KPoint 12","","KPoint 13","","KPoint 14",""
"Band","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ","E - EF / eV","Occ"
"1","-22.1108","2.0","-22.1105","2.0","-22.1105","2.0","-22.1102","2.0","-22.1102","2.0","-22.1106","2.0","-22.1103","2.0","-22.1103","2.0","-22.1103","2.0","-22.11","2.0","-22.11","2.0","-22.1103","2.0","-22.11","2.0","-22.11","2.0"
"2","-22.1099","2.0","-22.11","2.0","-22.1099","2.0","-22.1098","2.0","-22.1098","2.0","-22.1101","2.0","-22.1099","2.0","-22.1099","2.0","-22.1099","2.0","-22.1096","2.0","-22.1096","2.0","-22.1099","2.0","-22.1096","2.0","-22.1096","2.0"
"3","-22.1098","2.0","-22.1097","2.0","-22.1097","2.0","-22.1096","2.0","-22.1096","2.0","-22.1096","2.0","-22.1098","2.0","-22.1098","2.0","-22.1097","2.0","-22.1096","2.0","-22.1096","2.0","-22.1097","2.0","-22.1096","2.0","-22.1096","2.0"
"4","-22.1096","2.0","-22.1093","2.0","-22.1095","2.0","-22.1094","2.0","-22.1094","2.0","-22.1094","2.0","-22.1095","2.0","-22.1095","2.0","-22.1093","2.0","-22.1094","2.0","-22.1094","2.0","-22.1093","2.0","-22.1094","2.0","-22.1094","2.0"
"5","-22.109","2.0","-22.1093","2.0","-22.1091","2.0","-22.1092","2.0","-22.1092","2.0","-22.1092","2.0","-22.1091","2.0","-22.1092","2.0","-22.1093","2.0","-22.1092","2.0","-22.1092","2.0","-22.1093","2.0","-22.1092","2.0","-22.1092","2.0"
"6","-22.1088","2.0","-22.1089","2.0","-22.109","2.0","-22.109","2.0","-22.109","2.0","-22.109","2.0","-22.1088","2.0","-22.1088","2.0","-22.109","2.0","-22.1091","2.0","-22.109","2.0","-22.1089","2.0","-22.1091","2.0","-22.109","2.0"
"7","-22.1087","2.0","-22.1086","2.0","-22.1088","2.0","-22.1089","2.0","-22.1089","2.0","-22.1085","2.0","-22.1087","2.0","-22.1087","2.0","-22.1088","2.0","-22.109","2.0","-22.109","2.0","-22.1088","2.0","-22.109","2.0","-22.109","2.0"
"8","-22.1079","2.0","-22.1082","2.0","-22.1082","2.0","-22.1084","2.0","-22.1084","2.0","-22.1081","2.0","-22.1083","2.0","-22.1083","2.0","-22.1084","2.0","-22.1086","2.0","-22.1086","2.0","-22.1084","2.0","-22.1086","2.0","-22.1086","2.0"
"9","-18.4274","2.0","-18.4274","2.0","-18.4253","2.0","-18.4252","2.0","-18.4252","2.0","-18.4252","2.0","-18.4252","2.0","-18.4252","2.0","-18.4229","2.0","-18.4229","2.0","-18.4229","2.0","-18.4229","2.0","-18.4229","2.0","-18.4229","2.0"
"10","-18.4273","2.0","-18.4273","2.0","-18.4251","2.0","-18.4251","2.0","-18.4251","2.0","-18.4252","2.0","-18.4252","2.0","-18.4252","2.0","-18.4228","2.0","-18.4228","2.0","-18.4228","2.0","-18.4228","2.0","-18.4228","2.0","-18.4228","2.0"
"11","-18.4204","2.0","-18.4201","2.0","-18.4218","2.0","-18.4216","2.0","-18.4216","2.0","-18.4212","2.0","-18.4212","2.0","-18.4212","2.0","-18.4192","2.0","-18.419","2.0","-18.419","2.0","-18.4192","2.0","-18.419","2.0","-18.419","2.0"
"12","-18.4194","2.0","-18.4196","2.0","-18.4211","2.0","-18.4212","2.0","-18.4212","2.0","-18.4211","2.0","-18.4212","2.0","-18.4211","2.0","-18.4186","2.0","-18.4187","2.0","-18.4187","2.0","-18.4186","2.0","-18.4187","2.0","-18.4187","2.0"
"13","-18.4194","2.0","-18.4194","2.0","-18.4165","2.0","-18.4165","2.0","-18.4165","2.0","-18.4177","2.0","-18.4174","2.0","-18.4174","2.0","-18.4185","2.0","-18.4185","2.0","-18.4185","2.0","-18.4185","2.0","-18.4185","2.0","-18.4185","2.0"
"14","-18.4193","2.0","-18.4193","2.0","-18.4165","2.0","-18.4165","2.0","-18.4165","2.0","-18.4168","2.0","-18.4169","2.0","-18.4169","2.0","-18.4185","2.0","-18.4185","2.0","-18.4185","2.0","-18.4185","2.0","-18.4185","2.0","-18.4185","2.0"
"15","-18.4097","2.0","-18.4095","2.0","-18.4116","2.0","-18.4115","2.0","-18.4115","2.0","-18.4123","2.0","-18.4121","2.0","-18.4121","2.0","-18.414","2.0","-18.4139","2.0","-18.4139","2.0","-18.414","2.0","-18.4139","2.0","-18.4139","2.0"
"16","-18.4091","2.0","-18.4092","2.0","-18.4114","2.0","-18.4114","2.0","-18.4114","2.0","-18.4116","2.0","-18.4117","2.0","-18.4118","2.0","-18.4137","2.0","-18.4138","2.0","-18.4138","2.0","-18.4137","2.0","-18.4138","2.0","-18.4138","2.0"
"17","-18.4034","2.0","-18.4007","2.0","-18.4021","2.0","-18.3994","2.0","-18.3994","2.0","-18.4029","2.0","-18.4001","2.0","-18.4002","2.0","-18.4017","2.0","-18.399","2.0","-18.399","2.0","-18.4017","2.0","-18.399","2.0","-18.399","2.0"
"18","-18.4006","2.0","-18.3979","2.0","-18.4","2.0","-18.3972","2.0","-18.3972","2.0","-18.4015","2.0","-18.3988","2.0","-18.3987","2.0","-18.4007","2.0","-18.398","2.0","-18.3979","2.0","-18.4007","2.0","-18.398","2.0","-18.3979","2.0"
"19","-18.3967","2.0","-18.3953","2.0","-18.3987","2.0","-18.3962","2.0","-18.3962","2.0","-18.3966","2.0","-18.3947","2.0","-18.3947","2.0","-18.3986","2.0","-18.396","2.0","-18.396","2.0","-18.3986","2.0","-18.396","2.0","-18.396","2.0"
"20","-18.3964","2.0","-18.3942","2.0","-18.398","2.0","-18.3952","2.0","-18.3952","2.0","-18.3965","2.0","-18.3941","2.0","-18.3941","2.0","-18.3983","2.0","-18.3956","2.0","-18.3956","2.0","-18.3983","2.0","-18.3956","2.0","-18.3956","2.0"
"21","-18.3925","2.0","-18.3937","2.0","-18.3913","2.0","-18.394","2.0","-18.394","2.0","-18.3919","2.0","-18.3939","2.0","-18.3939","2.0","-18.3908","2.0","-18.3936","2.0","-18.3936","2.0","-18.3908","2.0","-18.3936","2.0","-18.3936","2.0"
"22","-18.3896","2.0","-18.3923","2.0","-18.3888","2.0","-18.3916","2.0","-18.3916","2.0","-18.3905","2.0","-18.3932","2.0","-18.3932","2.0","-18.3896","2.0","-18.3924","2.0","-18.3924","2.0","-18.3896","2.0","-18.3924","2.0","-18.3924","2.0"
"23","-18.3866","2.0","-18.3892","2.0","-18.3883","2.0","-18.391000000000002","2.0","-18.391000000000002","2.0","-18.3864","2.0","-18.389","2.0","-18.389","2.0","-18.3881","2.0","-18.3908","2.0","-18.3907","2.0","-18.3881","2.0","-18.3908","2.0","-18.3907","2.0"
"24","-18.3855","2.0","-18.3883","2.0","-18.3869","2.0","-18.3897","2.0","-18.3897","2.0","-18.3859","2.0","-18.3886","2.0","-18.3886","2.0","-18.3873","2.0","-18.3901","2.0","-18.3901","2.0","-18.3873","2.0","-18.3901","2.0","-18.3901","2.0"
"25","-18.3602","2.0","-18.3602","2.0","-18.3599","2.0","-18.3599","2.0","-18.3599","2.0","-18.36","2.0","-18.36","2.0","-18.36","2.0","-18.3598","2.0","-18.3598","2.0","-18.3598","2.0","-18.3598","2.0","-18.3598","2.0","-18.3598","2.0"
"26","-18.3602","2.0","-18.3602","2.0","-18.3599","2.0","-18.3599","2.0","-18.3599","2.0","-18.36","2.0","-18.36","2.0","-18.36","2.0","-18.3598","2.0","-18.3598","2.0","-18.3598","2.0","-18.3598","2.0","-18.3598","2.0","-18.3598","2.0"
"27","-18.3596","2.0","-18.3596","2.0","-18.3595","2.0","-18.3595","2.0","-18.3595","2.0","-18.3597","2.0","-18.3597","2.0","-18.3597","2.0","-18.3595","2.0","-18.3595","2.0","-18.3595","2.0","-18.3595","2.0","-18.3595","2.0","-18.3595","2.0"
